"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"1000FLOKIUSDT","1000FLOKIUSDT#1685966460000",1685966460000,"0.0310900","0.0311000","0.0310500","0.0310500","553491",1685966519999,"17200.9673000",96,"98515","3061.3295700"
"1000FLOKIUSDT","1000FLOKIUSDT#1685966520000",1685966520000,"0.0310400","0.0310800","0.0310400","0.0310800","162386",1685966579999,"5043.6300100",17,"156720","4867.7573700"
"1000FLOKIUSDT","1000FLOKIUSDT#1685966580000",1685966580000,"0.0310700","0.0310900","0.0310700","0.0310800","330068",1685966639999,"10258.3354300",47,"151057","4694.8584800"
"1000FLOKIUSDT","1000FLOKIUSDT#1685966640000",1685966640000,"0.0310700","0.0310700","0.0310200","0.0310200","252500",1685966699999,"7838.0488100",35,"13465","418.0976500"
"1000FLOKIUSDT","1000FLOKIUSDT#1685966700000",1685966700000,"0.0310200","0.0310200","0.0309900","0.0310100","242772",1685966759999,"7526.2034800",48,"163857","5079.8951500"
"1000FLOKIUSDT","1000FLOKIUSDT#1685966760000",1685966760000,"0.0310100","0.0310100","0.0310000","0.0310000","21211",1685966819999,"657.5873300",12,"4633","143.6693300"
"1000FLOKIUSDT","1000FLOKIUSDT#1685966820000",1685966820000,"0.0310000","0.0310200","0.0310000","0.0310200","48840",1685966879999,"1514.3000400",8,"20858","646.8182200"
"1000FLOKIUSDT","1000FLOKIUSDT#1685966880000",1685966880000,"0.0310100","0.0310300","0.0310100","0.0310300","301890",1685966939999,"9364.0171000",35,"214474","6653.0669400"
"1000FLOKIUSDT","1000FLOKIUSDT#1685966940000",1685966940000,"0.0310400","0.0310400","0.0310200","0.0310200","77981",1685966999999,"2419.8077900",15,"7584","235.4073600"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967000000",1685967000000,"0.0310200","0.0310300","0.0310100","0.0310300","281471",1685967059999,"8731.0401400",34,"70075","2173.8689400"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967060000",1685967060000,"0.0310200","0.0310300","0.0310200","0.0310200","25608",1685967119999,"794.3678100",10,"765","23.7379500"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967120000",1685967120000,"0.0310200","0.0310400","0.0310200","0.0310400","71728",1685967179999,"2225.7568700",10,"69793","2165.7331700"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967180000",1685967180000,"0.0310400","0.0310400","0.0310200","0.0310200","128878",1685967239999,"4000.1772000",17,"17608","546.5523200"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967240000",1685967240000,"0.0310300","0.0310300","0.0310100","0.0310300","56859",1685967299999,"1763.8114000",13,"25777","799.8073400"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967300000",1685967300000,"0.0310200","0.0310300","0.0310000","0.0310200","317530",1685967359999,"9848.4493000",47,"150593","4670.7042700"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967360000",1685967360000,"0.0310100","0.0310100","0.0309900","0.0309900","85549",1685967419999,"2652.3855100",12,"0","0.0000000"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967420000",1685967420000,"0.0310000","0.0310000","0.0309900","0.0309900","86374",1685967479999,"2676.9663900",23,"25076","777.3413700"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967480000",1685967480000,"0.0309900","0.0310000","0.0309900","0.0310000","76753",1685967539999,"2379.2928600",18,"21810","676.0598600"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967540000",1685967540000,"0.0310100","0.0310300","0.0310100","0.0310300","225814",1685967599999,"7005.3878400",53,"212395","6589.1992000"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967600000",1685967600000,"0.0310200","0.0310200","0.0310000","0.0310100","114709",1685967659999,"3557.1395700",23,"22075","684.5457500"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967660000",1685967660000,"0.0310000","0.0310100","0.0309900","0.0309900","107597",1685967719999,"3335.4305000",17,"17084","529.6375500"
"1000FLOKIUSDT","1000FLOKIUSDT#1685967720000",1685967720000,"0.0309800","0.0309800","0.0309800","0.0309800","74536",1685967779999,"2309.1252800",11,"0","0.0000000"
