"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"1000XECUSDT","1000XECUSDT#1685948460000",1685948460000,"0.02425","0.02426","0.02424","0.02425","169591",1685948519999,"4112.37693",29,"53330","1293.26438"
"1000XECUSDT","1000XECUSDT#1685948520000",1685948520000,"0.02425","0.02425","0.02424","0.02425","62174",1685948579999,"1507.71435",12,"38992","945.55600"
"1000XECUSDT","1000XECUSDT#1685948580000",1685948580000,"0.02426","0.02426","0.02426","0.02426","18173",1685948639999,"440.87698",5,"17697","429.32922"
"1000XECUSDT","1000XECUSDT#1685948640000",1685948640000,"0.02427","0.02427","0.02427","0.02427","2339",1685948699999,"56.76753",1,"2339","56.76753"
"1000XECUSDT","1000XECUSDT#1685948700000",1685948700000,"0.02426","0.02428","0.02425","0.02426","396679",1685948759999,"9623.02614",47,"176317","4278.75228"
"1000XECUSDT","1000XECUSDT#1685948760000",1685948760000,"0.02427","0.02427","0.02425","0.02427","527741",1685948819999,"12804.20623",40,"418866","10163.51266"
"1000XECUSDT","1000XECUSDT#1685948820000",1685948820000,"0.02428","0.02430","0.02428","0.02430","44582",1685948879999,"1082.74664",9,"40059","972.88297"
"1000XECUSDT","1000XECUSDT#1685948880000",1685948880000,"0.02430","0.02432","0.02430","0.02431","29605",1685948939999,"719.67945",31,"29049","706.16309"
"1000XECUSDT","1000XECUSDT#1685948940000",1685948940000,"0.02431","0.02431","0.02431","0.02431","285",1685948999999,"6.92835",1,"0","0.00000"
"1000XECUSDT","1000XECUSDT#1685949000000",1685949000000,"0.02432","0.02432","0.02428","0.02428","465300",1685949059999,"11300.95058",45,"336","8.17152"
"1000XECUSDT","1000XECUSDT#1685949060000",1685949060000,"0.02429","0.02429","0.02429","0.02429","57452",1685949119999,"1395.50908",5,"57452","1395.50908"
"1000XECUSDT","1000XECUSDT#1685949120000",1685949120000,"0.02430","0.02430","0.02430","0.02430","25104",1685949179999,"610.02720",4,"18455","448.45650"
"1000XECUSDT","1000XECUSDT#1685949180000",1685949180000,"0.02431","0.02431","0.02431","0.02431","38120",1685949239999,"926.69720",15,"38120","926.69720"
"1000XECUSDT","1000XECUSDT#1685949240000",1685949240000,"0.02432","0.02433","0.02432","0.02433","132421",1685949299999,"3221.28411",26,"132421","3221.28411"
"1000XECUSDT","1000XECUSDT#1685949300000",1685949300000,"0.02432","0.02432","0.02430","0.02430","178052",1685949359999,"4329.71381",27,"33250","808.30750"
"1000XECUSDT","1000XECUSDT#1685949360000",1685949360000,"0.02430","0.02430","0.02429","0.02430","136328",1685949419999,"3311.79264",15,"100861","2450.07795"
"1000XECUSDT","1000XECUSDT#1685949420000",1685949420000,"0.02430","0.02430","0.02430","0.02430","19375",1685949479999,"470.81250",13,"0","0.00000"
"1000XECUSDT","1000XECUSDT#1685949480000",1685949480000,"0.02431","0.02432","0.02431","0.02431","73501",1685949539999,"1786.81621",15,"5046","122.67516"
"1000XECUSDT","1000XECUSDT#1685949540000",1685949540000,"0.02431","0.02431","0.02431","0.02431","43345",1685949599999,"1053.71695",6,"14195","345.08045"
"1000XECUSDT","1000XECUSDT#1685949600000",1685949600000,"0.02432","0.02432","0.02431","0.02431","9896",1685949659999,"240.62194",6,"5018","122.03776"
"1000XECUSDT","1000XECUSDT#1685949660000",1685949660000,"0.02431","0.02432","0.02431","0.02432","21194",1685949719999,"515.41879",10,"19265","468.52480"
"1000XECUSDT","1000XECUSDT#1685949720000",1685949720000,"0.02432","0.02432","0.02431","0.02431","893",1685949779999,"21.71376",5,"493","11.98976"
"1000XECUSDT","1000XECUSDT#1685949780000",1685949780000,"0.02431","0.02431","0.02431","0.02431","581",1685949839999,"14.12411",1,"0","0.00000"
"1000XECUSDT","1000XECUSDT#1685949840000",1685949840000,"0.02431","0.02432","0.02431","0.02432","65387",1685949899999,"1589.61240",19,"5443","132.37376"
"1000XECUSDT","1000XECUSDT#1685949900000",1685949900000,"0.02432","0.02432","0.02432","0.02432","17233",1685949959999,"419.10656",1,"0","0.00000"
"1000XECUSDT","1000XECUSDT#1685949960000",1685949960000,"0.02432","0.02434","0.02432","0.02434","71536",1685950019999,"1740.52983",11,"60262","1466.33171"
"1000XECUSDT","1000XECUSDT#1685950020000",1685950020000,"0.02434","0.02434","0.02433","0.02434","36833",1685950079999,"896.47321",12,"5285","128.63690"
"1000XECUSDT","1000XECUSDT#1685950080000",1685950080000,"0.02434","0.02434","0.02434","0.02434","7258",1685950139999,"176.65972",8,"0","0.00000"
"1000XECUSDT","1000XECUSDT#1685950140000",1685950140000,"0.02434","0.02435","0.02434","0.02435","1390",1685950199999,"33.83849",2,"589","14.34215"
"1000XECUSDT","1000XECUSDT#1685950200000",1685950200000,"0.02434","0.02434","0.02433","0.02433","31130",1685950259999,"757.59761",7,"0","0.00000"
"1000XECUSDT","1000XECUSDT#1685950260000",1685950260000,"0.02433","0.02434","0.02433","0.02434","92274",1685950319999,"2245.93529",15,"90173","2194.81082"
