"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ALPHAUSDT","ALPHAUSDT#1685970060000",1685970060000,"0.11193","0.11194","0.11190","0.11191","75993",1685970119999,"8505.26729",102,"18731","2096.37990"
"ALPHAUSDT","ALPHAUSDT#1685970120000",1685970120000,"0.11192","0.11192","0.11168","0.11168","174047",1685970179999,"19453.07844",156,"61434","6865.29778"
"ALPHAUSDT","ALPHAUSDT#1685970180000",1685970180000,"0.11167","0.11168","0.11149","0.11158","333737",1685970239999,"37238.13931",223,"115994","12942.39703"
"ALPHAUSDT","ALPHAUSDT#1685970240000",1685970240000,"0.11157","0.11188","0.11139","0.11188","778533",1685970299999,"86878.11206",493,"544020","60713.44924"
"ALPHAUSDT","ALPHAUSDT#1685970300000",1685970300000,"0.11189","0.11195","0.11168","0.11170","358769",1685970359999,"40100.13536",312,"126076","14091.69008"
"ALPHAUSDT","ALPHAUSDT#1685970360000",1685970360000,"0.11170","0.11174","0.11151","0.11166","404511",1685970419999,"45142.40244",207,"136390","15221.04773"
"ALPHAUSDT","ALPHAUSDT#1685970420000",1685970420000,"0.11164","0.11171","0.11152","0.11164","293035",1685970479999,"32703.34321",192,"144528","16133.20034"
"ALPHAUSDT","ALPHAUSDT#1685970480000",1685970480000,"0.11163","0.11185","0.11156","0.11184","209585",1685970539999,"23407.02151",101,"96664","10803.39502"
"ALPHAUSDT","ALPHAUSDT#1685970540000",1685970540000,"0.11184","0.11184","0.11167","0.11173","212019",1685970599999,"23691.11965",165,"68882","7697.31136"
"ALPHAUSDT","ALPHAUSDT#1685970600000",1685970600000,"0.11173","0.11183","0.11173","0.11181","182176",1685970659999,"20364.05509",126,"119386","13345.61781"
"ALPHAUSDT","ALPHAUSDT#1685970660000",1685970660000,"0.11182","0.11189","0.11179","0.11189","153998",1685970719999,"17226.47784",91,"82828","9265.40711"
"ALPHAUSDT","ALPHAUSDT#1685970720000",1685970720000,"0.11190","0.11190","0.11176","0.11180","241647",1685970779999,"27019.85405",135,"58154","6501.90835"
"ALPHAUSDT","ALPHAUSDT#1685970780000",1685970780000,"0.11179","0.11189","0.11179","0.11189","59103",1685970839999,"6611.56363",65,"40677","4550.14604"
"ALPHAUSDT","ALPHAUSDT#1685970840000",1685970840000,"0.11189","0.11196","0.11186","0.11187","111628",1685970899999,"12491.47156",71,"58191","6511.66577"
"ALPHAUSDT","ALPHAUSDT#1685970900000",1685970900000,"0.11188","0.11188","0.11182","0.11185","88996",1685970959999,"9954.58159",105,"26309","2942.70599"
"ALPHAUSDT","ALPHAUSDT#1685970960000",1685970960000,"0.11185","0.11187","0.11181","0.11186","73236",1685971019999,"8189.98229",74,"23859","2668.23403"
"ALPHAUSDT","ALPHAUSDT#1685971020000",1685971020000,"0.11187","0.11189","0.11176","0.11178","148606",1685971079999,"16618.71746",157,"46868","5241.90930"
"ALPHAUSDT","ALPHAUSDT#1685971080000",1685971080000,"0.11177","0.11178","0.11155","0.11165","191374",1685971139999,"21368.99213",165,"71816","8017.96398"
