"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995260000",1685995260000,"7.28100","7.29300","7.28100","7.28400","762.9",1685995319999,"5559.367100",59,"647.7","4719.818200"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995320000",1685995320000,"7.28700","7.28700","7.28700","7.28700","1.2",1685995379999,"8.744400",1,"1.2","8.744400"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995380000",1685995380000,"7.29000","7.29000","7.28700","7.28700","125.2",1685995439999,"912.482400",9,"2.3","16.761600"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995440000",1685995440000,"7.28500","7.28500","7.28500","7.28500","21.5",1685995499999,"156.627500",1,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995500000",1685995500000,"7.28200","7.28200","7.27700","7.27800","261.6",1685995559999,"1904.170500",23,"112.4","818.212200"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995560000",1685995560000,"7.27800","7.28200","7.27700","7.27700","127.2",1685995619999,"925.788500",10,"117.8","857.360400"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995620000",1685995620000,"7.27900","7.27900","7.27900","7.27900","7.0",1685995679999,"50.953000",1,"7.0","50.953000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995680000",1685995680000,"7.27900","7.27900","7.27900","7.27900","0.8",1685995739999,"5.823200",1,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995740000",1685995740000,"7.27900","7.27900","7.27300","7.27300","922.9",1685995799999,"6713.226900",33,"180.4","1312.049200"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995800000",1685995800000,"7.27300","7.27600","7.27100","7.27100","374.1",1685995859999,"2720.951400",21,"40.7","295.973100"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995860000",1685995860000,"7.27300","7.27600","7.27300","7.27400","419.2",1685995919999,"3049.484100",13,"246.9","1796.106500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995920000",1685995920000,"7.27200","7.27200","7.27100","7.27100","86.7",1685995979999,"630.442500",4,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685995980000",1685995980000,"7.27300","7.27300","7.27300","7.27300","37.5",1685996039999,"272.737500",1,"37.5","272.737500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1685996040000",1685996040000,"7.27300","7.28200","7.27300","7.28000","814.1",1685996099999,"5924.485400",30,"725.9","5282.360400"
