"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BNBBUSD","BNBBUSD#1685952060000",1685952060000,"301.210","301.230","301.100","301.100","297.44",1685952119999,"89589.93460",122,"61.08","18398.22340"
"BNBBUSD","BNBBUSD#1685952120000",1685952120000,"301.110","301.120","301.100","301.110","17.67",1685952179999,"5320.59860",21,"8.06","2426.99710"
"BNBBUSD","BNBBUSD#1685952180000",1685952180000,"301.120","301.190","301.110","301.190","13.91",1685952239999,"4188.78820",13,"12.41","3737.03920"
"BNBBUSD","BNBBUSD#1685952240000",1685952240000,"301.200","301.250","301.190","301.250","56.61",1685952299999,"17051.58820",20,"47.76","14385.87670"
"BNBBUSD","BNBBUSD#1685952300000",1685952300000,"301.250","301.250","301.200","301.200","23.43",1685952359999,"7058.10100",14,"0.33","99.39600"
"BNBBUSD","BNBBUSD#1685952360000",1685952360000,"301.200","301.210","301.200","301.210","15.52",1685952419999,"4674.73380",7,"10.98","3307.28580"
"BNBBUSD","BNBBUSD#1685952420000",1685952420000,"301.210","301.210","301.210","301.210","0.00",1685952479999,"0.00000",0,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685952480000",1685952480000,"301.210","301.210","301.210","301.210","0.10",1685952539999,"30.12100",1,"0.10","30.12100"
"BNBBUSD","BNBBUSD#1685952540000",1685952540000,"301.200","301.280","301.200","301.280","93.57",1685952599999,"28185.71230",36,"88.54","26670.45940"
"BNBBUSD","BNBBUSD#1685952600000",1685952600000,"301.270","301.280","301.270","301.280","7.93",1685952659999,"2389.10280",11,"3.17","955.05760"
"BNBBUSD","BNBBUSD#1685952660000",1685952660000,"301.280","301.280","301.280","301.280","0.14",1685952719999,"42.17920",2,"0.14","42.17920"
"BNBBUSD","BNBBUSD#1685952720000",1685952720000,"301.270","301.280","301.270","301.280","0.34",1685952779999,"102.43480",2,"0.30","90.38400"
"BNBBUSD","BNBBUSD#1685952780000",1685952780000,"301.270","301.280","301.270","301.280","10.14",1685952839999,"3054.97880",9,"10.10","3042.92800"
"BNBBUSD","BNBBUSD#1685952840000",1685952840000,"301.270","301.270","301.230","301.230","56.38",1685952899999,"16985.39250",29,"0.03","9.03720"
"BNBBUSD","BNBBUSD#1685952900000",1685952900000,"301.230","301.230","301.190","301.190","58.14",1685952959999,"17512.79070",25,"6.32","1903.52080"
"BNBBUSD","BNBBUSD#1685952960000",1685952960000,"301.190","301.190","301.190","301.190","3.32",1685953019999,"999.95080",1,"3.32","999.95080"
"BNBBUSD","BNBBUSD#1685953020000",1685953020000,"301.190","301.190","301.190","301.190","0.70",1685953079999,"210.83300",2,"0.70","210.83300"
"BNBBUSD","BNBBUSD#1685953080000",1685953080000,"301.190","301.300","301.190","301.290","105.76",1685953139999,"31859.63440",44,"102.76","30955.79440"
"BNBBUSD","BNBBUSD#1685953140000",1685953140000,"301.280","301.280","301.270","301.270","20.72",1685953199999,"6242.48940",12,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685953200000",1685953200000,"301.270","301.280","301.110","301.120","126.85",1685953259999,"38203.44920",51,"4.28","1288.97040"
"BNBBUSD","BNBBUSD#1685953260000",1685953260000,"301.110","301.110","301.100","301.100","21.28",1685953319999,"6407.60780",11,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685953320000",1685953320000,"301.100","301.100","301.070","301.070","24.45",1685953379999,"7361.63140",12,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685953380000",1685953380000,"301.050","301.050","301.010","301.020","15.81",1685953439999,"4759.20790",12,"0.09","27.09180"
"BNBBUSD","BNBBUSD#1685953440000",1685953440000,"301.010","301.010","301.010","301.010","0.63",1685953499999,"189.63630",2,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685953500000",1685953500000,"301.010","301.060","301.010","301.060","27.61",1685953559999,"8311.35200",35,"19.31","5812.89210"
"BNBBUSD","BNBBUSD#1685953560000",1685953560000,"301.060","301.060","300.990","301.040","108.85",1685953619999,"32766.59940",42,"2.00","602.11600"
"BNBBUSD","BNBBUSD#1685953620000",1685953620000,"301.030","301.040","301.030","301.040","1.05",1685953679999,"316.09160",3,"1.01","304.05040"
"BNBBUSD","BNBBUSD#1685953680000",1685953680000,"301.040","301.090","301.010","301.090","169.03",1685953739999,"50882.24310",55,"147.78","44485.10180"
"BNBBUSD","BNBBUSD#1685953740000",1685953740000,"301.090","301.100","301.090","301.090","20.09",1685953799999,"6049.03120",17,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685953800000",1685953800000,"301.070","301.070","301.020","301.030","7.02",1685953859999,"2113.36700",14,"2.34","704.41110"
"BNBBUSD","BNBBUSD#1685953860000",1685953860000,"301.030","301.030","301.030","301.030","0.93",1685953919999,"279.95790",4,"0.93","279.95790"
"BNBBUSD","BNBBUSD#1685953920000",1685953920000,"301.030","301.060","301.030","301.050","13.08",1685953979999,"3937.62580",14,"12.76","3841.28980"
"BNBBUSD","BNBBUSD#1685953980000",1685953980000,"301.060","301.100","301.060","301.090","6.00",1685954039999,"1806.46030",8,"3.30","993.51730"
"BNBBUSD","BNBBUSD#1685954040000",1685954040000,"301.090","301.160","301.090","301.150","124.91",1685954099999,"37614.26700",46,"39.43","11872.87110"
"BNBBUSD","BNBBUSD#1685954100000",1685954100000,"301.160","301.230","301.160","301.230","36.24",1685954159999,"10914.74890",17,"36.24","10914.74890"
"BNBBUSD","BNBBUSD#1685954160000",1685954160000,"301.230","301.230","301.230","301.230","0.00",1685954219999,"0.00000",0,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685954220000",1685954220000,"301.230","301.230","301.230","301.230","0.94",1685954279999,"283.15620",2,"0.94","283.15620"
"BNBBUSD","BNBBUSD#1685954280000",1685954280000,"301.230","301.230","301.230","301.230","0.00",1685954339999,"0.00000",0,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685954340000",1685954340000,"301.230","301.310","301.230","301.310","19.99",1685954399999,"6022.61390",22,"16.99","5118.71390"
"BNBBUSD","BNBBUSD#1685954400000",1685954400000,"301.320","301.320","301.310","301.310","13.44",1685954459999,"4049.65970",9,"5.33","1606.03560"
"BNBBUSD","BNBBUSD#1685954460000",1685954460000,"301.320","301.330","301.320","301.330","10.01",1685954519999,"3016.22630",9,"10.01","3016.22630"
"BNBBUSD","BNBBUSD#1685954520000",1685954520000,"301.330","301.330","301.320","301.330","5.66",1685954579999,"1705.51380",11,"4.26","1283.66580"
"BNBBUSD","BNBBUSD#1685954580000",1685954580000,"301.330","301.330","301.320","301.320","18.26",1685954639999,"5502.25580",11,"15.26","4598.29580"
"BNBBUSD","BNBBUSD#1685954640000",1685954640000,"301.320","301.330","301.290","301.290","106.28",1685954699999,"32024.15800",53,"4.97","1497.61010"
"BNBBUSD","BNBBUSD#1685954700000",1685954700000,"301.280","301.290","301.280","301.280","45.27",1685954759999,"13638.96130",42,"1.57","473.02530"
"BNBBUSD","BNBBUSD#1685954760000",1685954760000,"301.280","301.280","301.280","301.280","0.02",1685954819999,"6.02560",1,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685954820000",1685954820000,"301.290","301.290","301.240","301.240","22.21",1685954879999,"6690.73580",12,"0.11","33.14010"
"BNBBUSD","BNBBUSD#1685954880000",1685954880000,"301.220","301.220","301.060","301.060","84.51",1685954939999,"25452.50220",35,"1.66","499.75960"
"BNBBUSD","BNBBUSD#1685954940000",1685954940000,"301.060","301.060","301.050","301.060","4.97",1685954999999,"1496.26330",6,"4.48","1348.74880"
"BNBBUSD","BNBBUSD#1685955000000",1685955000000,"301.060","301.190","301.050","301.190","123.77",1685955059999,"37268.61600",61,"108.88","32784.84170"
"BNBBUSD","BNBBUSD#1685955060000",1685955060000,"301.200","301.210","301.200","301.200","3.17",1685955119999,"954.81240",6,"1.17","352.41240"
"BNBBUSD","BNBBUSD#1685955120000",1685955120000,"301.210","301.210","301.200","301.200","0.75",1685955179999,"225.90660",3,"0.66","198.79860"
"BNBBUSD","BNBBUSD#1685955180000",1685955180000,"301.200","301.200","301.200","301.200","0.00",1685955239999,"0.00000",0,"0.00","0.00000"
"BNBBUSD","BNBBUSD#1685955240000",1685955240000,"301.210","301.210","301.160","301.160","104.35",1685955299999,"31428.63990",51,"1.08","325.28600"
"BNBBUSD","BNBBUSD#1685955300000",1685955300000,"301.160","301.180","301.160","301.180","24.63",1685955359999,"7417.83400",11,"24.63","7417.83400"
"BNBBUSD","BNBBUSD#1685955360000",1685955360000,"301.200","301.200","301.190","301.190","8.81",1685955419999,"2653.57040",7,"8.65","2605.38000"
"BNBBUSD","BNBBUSD#1685955420000",1685955420000,"301.200","301.280","301.170","301.280","232.12",1685955479999,"69919.26790",84,"150.14","45223.63980"
"BNBBUSD","BNBBUSD#1685955480000",1685955480000,"301.310","301.420","301.270","301.390","258.15",1685955539999,"77785.92940",93,"212.33","63980.46780"
"BNBBUSD","BNBBUSD#1685955540000",1685955540000,"301.390","301.390","301.390","301.390","3.55",1685955599999,"1069.93450",2,"3.55","1069.93450"
"BNBBUSD","BNBBUSD#1685955600000",1685955600000,"301.390","301.430","301.120","301.120","356.49",1685955659999,"107421.95730",136,"19.73","5945.29580"
