"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"CELRUSDT","CELRUSDT#1685948460000",1685948460000,"0.01963","0.01963","0.01961","0.01962","894148",1685948519999,"17540.57585",91,"423934","8317.70327"
"CELRUSDT","CELRUSDT#1685948520000",1685948520000,"0.01961","0.01962","0.01961","0.01961","300893",1685948579999,"5903.45001",65,"162639","3190.97718"
"CELRUSDT","CELRUSDT#1685948580000",1685948580000,"0.01962","0.01965","0.01962","0.01965","777460",1685948639999,"15266.26596",100,"634852","12465.44484"
"CELRUSDT","CELRUSDT#1685948640000",1685948640000,"0.01964","0.01964","0.01964","0.01964","17811",1685948699999,"349.80804",2,"0","0.00000"
"CELRUSDT","CELRUSDT#1685948700000",1685948700000,"0.01965","0.01967","0.01965","0.01967","1198394",1685948759999,"23561.50036",137,"645527","12689.96694"
"CELRUSDT","CELRUSDT#1685948760000",1685948760000,"0.01967","0.01967","0.01964","0.01966","1238255",1685948819999,"24334.77124",122,"575584","11309.39626"
"CELRUSDT","CELRUSDT#1685948820000",1685948820000,"0.01967","0.01968","0.01967","0.01968","283943",1685948879999,"5585.88348",30,"283943","5585.88348"
"CELRUSDT","CELRUSDT#1685948880000",1685948880000,"0.01968","0.01970","0.01968","0.01969","651074",1685948939999,"12816.90382",62,"211595","4166.84639"
"CELRUSDT","CELRUSDT#1685948940000",1685948940000,"0.01968","0.01971","0.01968","0.01971","240276",1685948999999,"4731.81550",42,"217817","4289.68170"
"CELRUSDT","CELRUSDT#1685949000000",1685949000000,"0.01970","0.01970","0.01968","0.01970","892998",1685949059999,"17578.16883",91,"357355","7034.74348"
"CELRUSDT","CELRUSDT#1685949060000",1685949060000,"0.01970","0.01972","0.01970","0.01972","400277",1685949119999,"7888.77004",54,"400277","7888.77004"
"CELRUSDT","CELRUSDT#1685949120000",1685949120000,"0.01971","0.01973","0.01971","0.01972","1161833",1685949179999,"22911.01378",86,"668849","13189.71792"
"CELRUSDT","CELRUSDT#1685949180000",1685949180000,"0.01972","0.01973","0.01972","0.01973","176932",1685949239999,"3489.35725",22,"25821","509.44833"
"CELRUSDT","CELRUSDT#1685949240000",1685949240000,"0.01972","0.01973","0.01972","0.01973","92090",1685949299999,"1816.74390",18,"72910","1438.51430"
"CELRUSDT","CELRUSDT#1685949300000",1685949300000,"0.01972","0.01973","0.01970","0.01970","919977",1685949359999,"18140.43931",55,"68190","1344.47381"
"CELRUSDT","CELRUSDT#1685949360000",1685949360000,"0.01970","0.01971","0.01969","0.01969","279942",1685949419999,"5515.36793",45,"76237","1502.47779"
"CELRUSDT","CELRUSDT#1685949420000",1685949420000,"0.01969","0.01970","0.01969","0.01970","34673",1685949479999,"682.90788",8,"19651","387.12470"
