"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DOGEUSDT","DOGEUSDT#1685944860000",1685944860000,"0.071680","0.071690","0.071660","0.071660","687030",1685944919999,"49241.065320",222,"41410","2968.437140"
"DOGEUSDT","DOGEUSDT#1685944920000",1685944920000,"0.071670","0.071680","0.071660","0.071670","494867",1685944979999,"35466.426180",58,"376185","26961.588120"
"DOGEUSDT","DOGEUSDT#1685944980000",1685944980000,"0.071670","0.071680","0.071650","0.071680","728269",1685945039999,"52189.764540",126,"165158","11836.221440"
"DOGEUSDT","DOGEUSDT#1685945040000",1685945040000,"0.071670","0.071680","0.071670","0.071670","106791",1685945099999,"7653.790170",53,"7920","567.705600"
"DOGEUSDT","DOGEUSDT#1685945100000",1685945100000,"0.071670","0.071690","0.071670","0.071680","595875",1685945159999,"42711.965410",120,"412886","29596.730010"
"DOGEUSDT","DOGEUSDT#1685945160000",1685945160000,"0.071680","0.071720","0.071680","0.071700","862870",1685945219999,"61870.807680",156,"474355","34015.262560"
"DOGEUSDT","DOGEUSDT#1685945220000",1685945220000,"0.071710","0.071720","0.071700","0.071710","602689",1685945279999,"43216.036200",101,"275913","19785.943750"
"DOGEUSDT","DOGEUSDT#1685945280000",1685945280000,"0.071710","0.071730","0.071710","0.071720","824548",1685945339999,"59134.983010",85,"583758","41867.399910"
"DOGEUSDT","DOGEUSDT#1685945340000",1685945340000,"0.071720","0.071730","0.071720","0.071730","1124490",1685945399999,"80657.877850",72,"945505","67821.073650"
"DOGEUSDT","DOGEUSDT#1685945400000",1685945400000,"0.071730","0.071730","0.071700","0.071700","881287",1685945459999,"63203.445320",128,"134418","9641.430360"
"DOGEUSDT","DOGEUSDT#1685945460000",1685945460000,"0.071700","0.071720","0.071700","0.071720","245476",1685945519999,"17603.067570",54,"166484","11938.905660"
"DOGEUSDT","DOGEUSDT#1685945520000",1685945520000,"0.071720","0.071720","0.071700","0.071700","761773",1685945579999,"54623.616820",99,"56825","4074.941170"
"DOGEUSDT","DOGEUSDT#1685945580000",1685945580000,"0.071710","0.071730","0.071700","0.071720","989365",1685945639999,"70955.256450",115,"724060","51928.091040"
"DOGEUSDT","DOGEUSDT#1685945640000",1685945640000,"0.071720","0.071720","0.071690","0.071700","700434",1685945699999,"50221.465210",71,"72084","5168.441720"
"DOGEUSDT","DOGEUSDT#1685945700000",1685945700000,"0.071700","0.071700","0.071670","0.071680","944161",1685945759999,"67676.744630",94,"167936","12038.146000"
"DOGEUSDT","DOGEUSDT#1685945760000",1685945760000,"0.071680","0.071700","0.071670","0.071690","798701",1685945819999,"57253.192790",85,"232135","16640.425000"
"DOGEUSDT","DOGEUSDT#1685945820000",1685945820000,"0.071690","0.071700","0.071680","0.071690","264937",1685945879999,"18993.340620",66,"21818","1564.152060"
"DOGEUSDT","DOGEUSDT#1685945880000",1685945880000,"0.071690","0.071690","0.071670","0.071670","443825",1685945939999,"31811.856890",59,"186023","13334.337870"
"DOGEUSDT","DOGEUSDT#1685945940000",1685945940000,"0.071670","0.071680","0.071660","0.071660","551537",1685945999999,"39529.129030",72,"248665","17823.323320"
"DOGEUSDT","DOGEUSDT#1685946000000",1685946000000,"0.071660","0.071710","0.071640","0.071700","1149245",1685946059999,"82371.036230",134,"786245","56360.404170"
"DOGEUSDT","DOGEUSDT#1685946060000",1685946060000,"0.071710","0.071730","0.071700","0.071710","1111167",1685946119999,"79690.101840",97,"650110","46626.775010"
"DOGEUSDT","DOGEUSDT#1685946120000",1685946120000,"0.071710","0.071730","0.071700","0.071730","514008",1685946179999,"36864.193940",63,"287589","20625.991980"
"DOGEUSDT","DOGEUSDT#1685946180000",1685946180000,"0.071720","0.071730","0.071710","0.071720","367279",1685946239999,"26341.203490",59,"84661","6071.891200"
"DOGEUSDT","DOGEUSDT#1685946240000",1685946240000,"0.071710","0.071730","0.071700","0.071710","1901384",1685946299999,"136351.830400",144,"799606","57345.973420"
"DOGEUSDT","DOGEUSDT#1685946300000",1685946300000,"0.071710","0.071720","0.071680","0.071680","1730997",1685946359999,"124100.848940",110,"87766","6292.515300"
"DOGEUSDT","DOGEUSDT#1685946360000",1685946360000,"0.071690","0.071690","0.071680","0.071680","166051",1685946419999,"11903.248750",28,"71307","5111.998830"
"DOGEUSDT","DOGEUSDT#1685946420000",1685946420000,"0.071680","0.071690","0.071680","0.071680","72540",1685946479999,"5199.792700",29,"12550","899.709500"
"DOGEUSDT","DOGEUSDT#1685946480000",1685946480000,"0.071680","0.071710","0.071680","0.071710","653692",1685946539999,"46865.428090",73,"508394","36450.404650"
"DOGEUSDT","DOGEUSDT#1685946540000",1685946540000,"0.071700","0.071720","0.071700","0.071700","1272002",1685946599999,"91211.457150",86,"411254","29493.250000"
"DOGEUSDT","DOGEUSDT#1685946600000",1685946600000,"0.071710","0.071710","0.071680","0.071690","1139334",1685946659999,"81685.882470",125,"302789","21709.021510"
"DOGEUSDT","DOGEUSDT#1685946660000",1685946660000,"0.071700","0.071720","0.071690","0.071710","1577177",1685946719999,"113097.696870",143,"1138090","81614.364010"
"DOGEUSDT","DOGEUSDT#1685946720000",1685946720000,"0.071720","0.071720","0.071700","0.071710","485123",1685946779999,"34785.115450",92,"17464","1252.352100"
"DOGEUSDT","DOGEUSDT#1685946780000",1685946780000,"0.071710","0.071710","0.071690","0.071700","616261",1685946839999,"44182.349760",86,"47702","3420.367170"
