"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ENJUSDT","ENJUSDT#1685973660000",1685973660000,"0.34350","0.34520","0.34340","0.34520","288605",1685973719999,"99381.24120",382,"183032","63016.87130"
"ENJUSDT","ENJUSDT#1685973720000",1685973720000,"0.34510","0.34680","0.34510","0.34600","279256",1685973779999,"96629.84250",497,"201697","69797.80420"
"ENJUSDT","ENJUSDT#1685973780000",1685973780000,"0.34600","0.34660","0.34560","0.34640","172634",1685973839999,"59733.95950",289,"69411","24030.40820"
"ENJUSDT","ENJUSDT#1685973840000",1685973840000,"0.34640","0.34750","0.34640","0.34650","595233",1685973899999,"206574.19160",839,"275783","95714.58530"
"ENJUSDT","ENJUSDT#1685973900000",1685973900000,"0.34640","0.34750","0.34590","0.34640","649085",1685973959999,"224976.34130",946,"312872","108473.16260"
"ENJUSDT","ENJUSDT#1685973960000",1685973960000,"0.34640","0.34710","0.34630","0.34630","200439",1685974019999,"69483.95680",364,"101559","35215.80410"
"ENJUSDT","ENJUSDT#1685974020000",1685974020000,"0.34620","0.34690","0.34600","0.34650","180583",1685974079999,"62556.03930",304,"98523","34131.25020"
"ENJUSDT","ENJUSDT#1685974080000",1685974080000,"0.34650","0.34660","0.34600","0.34630","183277",1685974139999,"63473.54630",249,"94779","32829.32070"
"ENJUSDT","ENJUSDT#1685974140000",1685974140000,"0.34640","0.34650","0.34590","0.34610","112043",1685974199999,"38782.56040",149,"39853","13797.07900"
"ENJUSDT","ENJUSDT#1685974200000",1685974200000,"0.34610","0.34610","0.34490","0.34520","306863",1685974259999,"106005.83310",385,"130182","44957.53290"
"ENJUSDT","ENJUSDT#1685974260000",1685974260000,"0.34520","0.34600","0.34500","0.34520","231856",1685974319999,"80112.24420",281,"99696","34459.08760"
"ENJUSDT","ENJUSDT#1685974320000",1685974320000,"0.34530","0.34560","0.34510","0.34520","71424",1685974379999,"24664.76720",100,"44681","15430.98640"
