"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"FLMUSDT","FLMUSDT#1685973660000",1685973660000,"0.0810","0.0811","0.0809","0.0811","78717",1685973719999,"6378.5393",61,"77857","6308.8827"
"FLMUSDT","FLMUSDT#1685973720000",1685973720000,"0.0811","0.0812","0.0810","0.0812","173716",1685973779999,"14092.3215",43,"172634","14004.6795"
"FLMUSDT","FLMUSDT#1685973780000",1685973780000,"0.0811","0.0812","0.0811","0.0812","59620",1685973839999,"4840.6751",22,"54931","4460.3972"
"FLMUSDT","FLMUSDT#1685973840000",1685973840000,"0.0812","0.0812","0.0812","0.0812","223",1685973899999,"18.1076",2,"223","18.1076"
"FLMUSDT","FLMUSDT#1685973900000",1685973900000,"0.0811","0.0812","0.0810","0.0810","152258",1685973959999,"12348.5317",42,"4173","338.8476"
"FLMUSDT","FLMUSDT#1685973960000",1685973960000,"0.0811","0.0812","0.0810","0.0811","120073",1685974019999,"9742.4339",33,"111692","9063.5029"
"FLMUSDT","FLMUSDT#1685974020000",1685974020000,"0.0812","0.0812","0.0811","0.0811","138900",1685974079999,"11264.9628",32,"40511","3285.6149"
"FLMUSDT","FLMUSDT#1685974080000",1685974080000,"0.0812","0.0812","0.0811","0.0812","11748",1685974139999,"953.1238",4,"3610","293.1320"
"FLMUSDT","FLMUSDT#1685974140000",1685974140000,"0.0811","0.0811","0.0810","0.0811","242928",1685974199999,"19687.0496",70,"69796","5654.0872"
"FLMUSDT","FLMUSDT#1685974200000",1685974200000,"0.0810","0.0811","0.0809","0.0809","71420",1685974259999,"5784.1267",21,"350","28.3850"
"FLMUSDT","FLMUSDT#1685974260000",1685974260000,"0.0809","0.0810","0.0809","0.0809","210000",1685974319999,"16989.0100",56,"95768","7747.6412"
"FLMUSDT","FLMUSDT#1685974320000",1685974320000,"0.0809","0.0810","0.0809","0.0810","14845",1685974379999,"1201.4333",5,"4728","382.9680"
"FLMUSDT","FLMUSDT#1685974380000",1685974380000,"0.0810","0.0810","0.0810","0.0810","0",1685974439999,"0.0000",0,"0","0.0000"
"FLMUSDT","FLMUSDT#1685974440000",1685974440000,"0.0809","0.0809","0.0809","0.0809","69478",1685974499999,"5620.7702",26,"0","0.0000"
"FLMUSDT","FLMUSDT#1685974500000",1685974500000,"0.0809","0.0809","0.0808","0.0809","11110",1685974559999,"898.5094",11,"8214","664.5126"
"FLMUSDT","FLMUSDT#1685974560000",1685974560000,"0.0809","0.0810","0.0809","0.0809","172056",1685974619999,"13920.4424",51,"117912","9540.1928"
"FLMUSDT","FLMUSDT#1685974620000",1685974620000,"0.0809","0.0810","0.0809","0.0810","123340",1685974679999,"9980.0675",24,"116094","9393.8661"
"FLMUSDT","FLMUSDT#1685974680000",1685974680000,"0.0809","0.0810","0.0809","0.0810","2382",1685974739999,"192.7588",7,"550","44.5500"
