"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GALABUSD","GALABUSD#1685962860000",1685962860000,"0.0289520","0.0289860","0.0289520","0.0289850","270135",1685962919999,"7825.9595910",29,"190168","5509.5810680"
"GALABUSD","GALABUSD#1685962920000",1685962920000,"0.0289970","0.0290100","0.0289850","0.0290100","131329",1685962979999,"3807.7022100",23,"118997","3450.1598300"
"GALABUSD","GALABUSD#1685962980000",1685962980000,"0.0290200","0.0290280","0.0290200","0.0290210","68378",1685963039999,"1984.4323040",9,"44743","1298.4834990"
"GALABUSD","GALABUSD#1685963040000",1685963040000,"0.0290200","0.0290420","0.0290200","0.0290420","184704",1685963099999,"5362.6658640",18,"126303","3666.7053610"
"GALABUSD","GALABUSD#1685963100000",1685963100000,"0.0290420","0.0290570","0.0290390","0.0290530","117515",1685963159999,"3413.3214960",14,"66516","1932.0096450"
"GALABUSD","GALABUSD#1685963160000",1685963160000,"0.0290510","0.0290800","0.0290500","0.0290800","114213",1685963219999,"3319.6970950",18,"103516","3008.7927330"
"GALABUSD","GALABUSD#1685963220000",1685963220000,"0.0290810","0.0290810","0.0290700","0.0290710","149465",1685963279999,"4346.1758220",14,"0","0.0000000"
"GALABUSD","GALABUSD#1685963280000",1685963280000,"0.0290660","0.0290660","0.0290610","0.0290630","91637",1685963339999,"2663.1117610",7,"85995","2499.1322550"
"GALABUSD","GALABUSD#1685963340000",1685963340000,"0.0290620","0.0290620","0.0290540","0.0290610","172324",1685963399999,"5007.5326970",17,"62562","1817.8780970"
"GALABUSD","GALABUSD#1685963400000",1685963400000,"0.0290600","0.0290660","0.0290580","0.0290660","80756",1685963459999,"2346.7899710",13,"46346","1346.8736510"
"GALABUSD","GALABUSD#1685963460000",1685963460000,"0.0290660","0.0290860","0.0290660","0.0290860","22881",1685963519999,"665.3570640",10,"22881","665.3570640"
"GALABUSD","GALABUSD#1685963520000",1685963520000,"0.0290860","0.0290940","0.0290800","0.0290930","230633",1685963579999,"6708.2744910",24,"91214","2653.4502960"
"GALABUSD","GALABUSD#1685963580000",1685963580000,"0.0290960","0.0291060","0.0290960","0.0291050","109405",1685963639999,"3183.7387510",11,"93245","2713.4019510"
"GALABUSD","GALABUSD#1685963640000",1685963640000,"0.0291020","0.0291040","0.0291000","0.0291000","76720",1685963699999,"2232.8229620",11,"17960","522.6898800"
"GALABUSD","GALABUSD#1685963700000",1685963700000,"0.0291010","0.0291140","0.0290930","0.0291140","325969",1685963759999,"9486.0817390",40,"79983","2327.8366640"
"GALABUSD","GALABUSD#1685963760000",1685963760000,"0.0291200","0.0291400","0.0291200","0.0291280","33459",1685963819999,"974.7790650",10,"31443","916.0408890"
"GALABUSD","GALABUSD#1685963820000",1685963820000,"0.0291340","0.0291380","0.0291300","0.0291300","51981",1685963879999,"1514.2731100",11,"9589","279.3739900"
"GALABUSD","GALABUSD#1685963880000",1685963880000,"0.0291270","0.0291710","0.0291270","0.0291710","107803",1685963939999,"3142.0166950",34,"105605","3077.9876290"
"GALABUSD","GALABUSD#1685963940000",1685963940000,"0.0291690","0.0291830","0.0291690","0.0291830","35980",1685963999999,"1049.6705390",5,"35980","1049.6705390"
"GALABUSD","GALABUSD#1685964000000",1685964000000,"0.0291840","0.0291960","0.0291740","0.0291780","586896",1685964059999,"17127.8035300",58,"226888","6620.9718690"
"GALABUSD","GALABUSD#1685964060000",1685964060000,"0.0291820","0.0292070","0.0291820","0.0292070","106113",1685964119999,"3098.3787060",19,"105730","3087.1928080"
"GALABUSD","GALABUSD#1685964120000",1685964120000,"0.0292100","0.0292110","0.0292100","0.0292110","23821",1685964179999,"695.8159220",4,"19309","564.0158900"
"GALABUSD","GALABUSD#1685964180000",1685964180000,"0.0292120","0.0292390","0.0292120","0.0292330","198458",1685964239999,"5800.3417470",30,"120776","3529.4734180"
"GALABUSD","GALABUSD#1685964240000",1685964240000,"0.0292340","0.0292450","0.0292170","0.0292170","215789",1685964299999,"6307.0949160",32,"21923","640.9598550"
"GALABUSD","GALABUSD#1685964300000",1685964300000,"0.0292110","0.0292180","0.0291950","0.0292180","134341",1685964359999,"3923.1266970",20,"33651","982.8570630"
"GALABUSD","GALABUSD#1685964360000",1685964360000,"0.0292270","0.0292430","0.0292270","0.0292430","43726",1685964419999,"1278.5294640",8,"36881","1078.4706490"
"GALABUSD","GALABUSD#1685964420000",1685964420000,"0.0292520","0.0292880","0.0292520","0.0292870","150559",1685964479999,"4407.0708160",25,"137422","4022.6312780"
"GALABUSD","GALABUSD#1685964480000",1685964480000,"0.0292850","0.0293050","0.0292800","0.0292800","203621",1685964539999,"5964.2886590",34,"129918","3805.8061390"
"GALABUSD","GALABUSD#1685964540000",1685964540000,"0.0292750","0.0292760","0.0292720","0.0292720","178828",1685964599999,"5235.1994230",11,"12483","365.4523080"
"GALABUSD","GALABUSD#1685964600000",1685964600000,"0.0292710","0.0292710","0.0292480","0.0292690","132902",1685964659999,"3888.5369290",32,"57426","1679.8994860"
"GALABUSD","GALABUSD#1685964660000",1685964660000,"0.0292620","0.0293000","0.0292600","0.0293000","92897",1685964719999,"2720.5553250",14,"41385","1211.3121690"
"GALABUSD","GALABUSD#1685964720000",1685964720000,"0.0292910","0.0292910","0.0292800","0.0292800","7586",1685964779999,"222.1656650",3,"0","0.0000000"
"GALABUSD","GALABUSD#1685964780000",1685964780000,"0.0292740","0.0293070","0.0292740","0.0292830","121104",1685964839999,"3547.0328450",19,"64444","1887.4743750"
"GALABUSD","GALABUSD#1685964840000",1685964840000,"0.0292770","0.0292770","0.0292600","0.0292600","29477",1685964899999,"862.6970600",9,"11408","333.7980800"
"GALABUSD","GALABUSD#1685964900000",1685964900000,"0.0292590","0.0292590","0.0292200","0.0292520","135413",1685964959999,"3959.0080310",30,"67440","1970.9804830"
"GALABUSD","GALABUSD#1685964960000",1685964960000,"0.0292660","0.0292710","0.0292660","0.0292710","2434",1685965019999,"71.2356640",3,"2434","71.2356640"
"GALABUSD","GALABUSD#1685965020000",1685965020000,"0.0292740","0.0293760","0.0292740","0.0293540","1559332",1685965079999,"45743.5386090",143,"1062761","31169.4400640"
"GALABUSD","GALABUSD#1685965080000",1685965080000,"0.0293580","0.0293640","0.0293320","0.0293430","657629",1685965139999,"19301.9681440",52,"165938","4870.9417030"
"GALABUSD","GALABUSD#1685965140000",1685965140000,"0.0293430","0.0293490","0.0293210","0.0293490","488398",1685965199999,"14327.3508190",67,"247869","7272.2124420"
"GALABUSD","GALABUSD#1685965200000",1685965200000,"0.0293550","0.0293620","0.0293330","0.0293330","465823",1685965259999,"13670.9838040",49,"60942","1788.4130700"
"GALABUSD","GALABUSD#1685965260000",1685965260000,"0.0293380","0.0293390","0.0293300","0.0293340","34248",1685965319999,"1004.6680990",10,"27725","813.3080530"
"GALABUSD","GALABUSD#1685965320000",1685965320000,"0.0293380","0.0293640","0.0293380","0.0293640","114156",1685965379999,"3350.7104190",18,"114156","3350.7104190"
"GALABUSD","GALABUSD#1685965380000",1685965380000,"0.0293690","0.0293820","0.0293690","0.0293720","51610",1685965439999,"1516.1230610",13,"15369","451.5169880"
"GALABUSD","GALABUSD#1685965440000",1685965440000,"0.0293690","0.0293690","0.0293500","0.0293510","180302",1685965499999,"5292.7684180",16,"73939","2170.2814540"
"GALABUSD","GALABUSD#1685965500000",1685965500000,"0.0293410","0.0293410","0.0293220","0.0293370","152798",1685965559999,"4481.5443220",25,"36716","1076.7694180"
"GALABUSD","GALABUSD#1685965560000",1685965560000,"0.0293440","0.0293540","0.0293400","0.0293400","98802",1685965619999,"2899.5345460",21,"40159","1178.4860880"
"GALABUSD","GALABUSD#1685965620000",1685965620000,"0.0293390","0.0293390","0.0293220","0.0293230","41313",1685965679999,"1211.6451640",9,"0","0.0000000"
"GALABUSD","GALABUSD#1685965680000",1685965680000,"0.0293220","0.0293220","0.0293210","0.0293210","1159",1685965739999,"33.9834640",3,"0","0.0000000"
"GALABUSD","GALABUSD#1685965740000",1685965740000,"0.0293210","0.0293210","0.0292870","0.0292890","13925",1685965799999,"407.9508460",6,"1410","41.2974900"
"GALABUSD","GALABUSD#1685965800000",1685965800000,"0.0292880","0.0293050","0.0292880","0.0293050","39367",1685965859999,"1153.1749170",13,"39367","1153.1749170"
"GALABUSD","GALABUSD#1685965860000",1685965860000,"0.0293040","0.0293040","0.0292770","0.0292770","134793",1685965919999,"3948.4645300",18,"3576","104.7045620"
"GALABUSD","GALABUSD#1685965920000",1685965920000,"0.0292980","0.0293000","0.0292800","0.0292960","175955",1685965979999,"5154.2758090",28,"49234","1442.2980360"
"GALABUSD","GALABUSD#1685965980000",1685965980000,"0.0293000","0.0293000","0.0293000","0.0293000","5426",1685966039999,"158.9818000",2,"3593","105.2749000"
"GALABUSD","GALABUSD#1685966040000",1685966040000,"0.0292950","0.0293300","0.0292730","0.0293200","483734",1685966099999,"14179.4445000",58,"248023","7269.3957330"
"GALABUSD","GALABUSD#1685966100000",1685966100000,"0.0293260","0.0294190","0.0293260","0.0294040","1864266",1685966159999,"54750.6971360",170,"1125972","33072.1989400"
"GALABUSD","GALABUSD#1685966160000",1685966160000,"0.0294060","0.0294090","0.0293980","0.0293990","326592",1685966219999,"9602.3438240",25,"173654","5105.5144940"
"GALABUSD","GALABUSD#1685966220000",1685966220000,"0.0293990","0.0294100","0.0293980","0.0294040","231616",1685966279999,"6810.5271230",40,"118881","3495.4841160"
