"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GMTUSDT","GMTUSDT#1685977260000",1685977260000,"0.26050","0.26050","0.26030","0.26040","167957",1685977319999,"43733.69610",126,"76364","19886.50390"
"GMTUSDT","GMTUSDT#1685977320000",1685977320000,"0.26040","0.26040","0.25910","0.25910","1770389",1685977379999,"459861.76650",920,"714417","185574.63850"
"GMTUSDT","GMTUSDT#1685977380000",1685977380000,"0.25910","0.25960","0.25730","0.25850","2821359",1685977439999,"729412.55280",1517,"1204663","311603.88380"
"GMTUSDT","GMTUSDT#1685977440000",1685977440000,"0.25850","0.25860","0.25680","0.25820","3144062",1685977499999,"809604.76890",1946,"1379009","355194.83790"
"GMTUSDT","GMTUSDT#1685977500000",1685977500000,"0.25820","0.25840","0.25760","0.25780","1474472",1685977559999,"380341.13770",772,"726376","187389.40170"
"GMTUSDT","GMTUSDT#1685977560000",1685977560000,"0.25780","0.25790","0.25710","0.25790","770683",1685977619999,"198488.69040",489,"304689","78482.84110"
"GMTUSDT","GMTUSDT#1685977620000",1685977620000,"0.25790","0.25790","0.25720","0.25730","406328",1685977679999,"104666.73190",322,"175655","45258.55720"
"GMTUSDT","GMTUSDT#1685977680000",1685977680000,"0.25730","0.25780","0.25680","0.25780","1462931",1685977739999,"376294.03110",620,"887112","228234.74830"
"GMTUSDT","GMTUSDT#1685977740000",1685977740000,"0.25780","0.25940","0.25760","0.25880","926992",1685977799999,"239815.18270",637,"567905","146875.55860"
"GMTUSDT","GMTUSDT#1685977800000",1685977800000,"0.25890","0.25900","0.25850","0.25870","930777",1685977859999,"240835.91100",483,"589488","152543.10280"
"GMTUSDT","GMTUSDT#1685977860000",1685977860000,"0.25860","0.25890","0.25830","0.25830","408838",1685977919999,"105723.57120",261,"240626","62235.59680"
"GMTUSDT","GMTUSDT#1685977920000",1685977920000,"0.25840","0.25850","0.25790","0.25810","160435",1685977979999,"41425.62820",189,"71982","18587.16820"
"GMTUSDT","GMTUSDT#1685977980000",1685977980000,"0.25800","0.25800","0.25770","0.25790","176421",1685978039999,"45493.68420",214,"99543","25670.60830"
"GMTUSDT","GMTUSDT#1685978040000",1685978040000,"0.25800","0.25820","0.25760","0.25820","243258",1685978099999,"62737.40790",196,"122339","31555.02530"
"GMTUSDT","GMTUSDT#1685978100000",1685978100000,"0.25810","0.25820","0.25700","0.25710","1262849",1685978159999,"325179.77450",453,"272877","70262.69400"
"GMTUSDT","GMTUSDT#1685978160000",1685978160000,"0.25710","0.25740","0.25640","0.25690","1801285",1685978219999,"462698.38190",812,"667011","171386.30360"
"GMTUSDT","GMTUSDT#1685978220000",1685978220000,"0.25680","0.25720","0.25650","0.25660","721611",1685978279999,"185385.08880",420,"352729","90636.85620"
"GMTUSDT","GMTUSDT#1685978280000",1685978280000,"0.25660","0.25660","0.25560","0.25560","2359535",1685978339999,"604040.13340",1089,"760698","194755.34020"
"GMTUSDT","GMTUSDT#1685978340000",1685978340000,"0.25550","0.25570","0.25280","0.25420","7416333",1685978399999,"1887324.23150",3725,"2646897","673745.12640"
"GMTUSDT","GMTUSDT#1685978400000",1685978400000,"0.25440","0.25530","0.25420","0.25520","1554818",1685978459999,"396044.93860",832,"787565","200630.25310"
"GMTUSDT","GMTUSDT#1685978460000",1685978460000,"0.25520","0.25560","0.25510","0.25560","1017839",1685978519999,"259971.72800",534,"595544","152126.65740"
"GMTUSDT","GMTUSDT#1685978520000",1685978520000,"0.25550","0.25580","0.25530","0.25550","1046166",1685978579999,"267298.22070",481,"509920","130289.16730"
"GMTUSDT","GMTUSDT#1685978580000",1685978580000,"0.25560","0.25590","0.25520","0.25540","689210",1685978639999,"176096.22160",410,"313521","80120.75300"
"GMTUSDT","GMTUSDT#1685978640000",1685978640000,"0.25540","0.25550","0.25490","0.25540","1218569",1685978699999,"310959.52240",575,"628282","160333.69880"
"GMTUSDT","GMTUSDT#1685978700000",1685978700000,"0.25530","0.25530","0.25300","0.25370","2606054",1685978759999,"662278.80400",1249,"1017406","258502.71450"
"GMTUSDT","GMTUSDT#1685978760000",1685978760000,"0.25380","0.25400","0.25190","0.25310","4139777",1685978819999,"1046393.78100",2096,"1511712","382301.56680"
"GMTUSDT","GMTUSDT#1685978820000",1685978820000,"0.25300","0.25440","0.25300","0.25440","1568634",1685978879999,"398124.88250",734,"984653","249949.32190"
"GMTUSDT","GMTUSDT#1685978880000",1685978880000,"0.25430","0.25460","0.25400","0.25440","764954",1685978939999,"194576.50330",438,"382601","97324.35840"
"GMTUSDT","GMTUSDT#1685978940000",1685978940000,"0.25440","0.25470","0.25420","0.25440","498968",1685978999999,"126970.39200",300,"350355","89156.71910"
"GMTUSDT","GMTUSDT#1685979000000",1685979000000,"0.25440","0.25460","0.25390","0.25420","972268",1685979059999,"247164.65300",482,"533848","135737.55880"
"GMTUSDT","GMTUSDT#1685979060000",1685979060000,"0.25420","0.25430","0.25220","0.25240","2356945",1685979119999,"596567.06770",831,"858687","217283.48610"
"GMTUSDT","GMTUSDT#1685979120000",1685979120000,"0.25240","0.25350","0.25190","0.25300","3260113",1685979179999,"823203.07930",1458,"1745239","440708.68350"
"GMTUSDT","GMTUSDT#1685979180000",1685979180000,"0.25300","0.25350","0.25300","0.25330","714635",1685979239999,"181010.65770",462,"348316","88227.98350"
"GMTUSDT","GMTUSDT#1685979240000",1685979240000,"0.25330","0.25340","0.25270","0.25280","736883",1685979299999,"186481.27770",425,"333448","84415.20030"
"GMTUSDT","GMTUSDT#1685979300000",1685979300000,"0.25290","0.25320","0.25250","0.25270","1450302",1685979359999,"366722.24760",620,"810575","204981.74000"
"GMTUSDT","GMTUSDT#1685979360000",1685979360000,"0.25260","0.25280","0.25220","0.25280","1036135",1685979419999,"261566.61520",537,"353805","89354.39540"
"GMTUSDT","GMTUSDT#1685979420000",1685979420000,"0.25280","0.25320","0.25260","0.25300","744021",1685979479999,"188249.59270",374,"569239","144043.44100"
"GMTUSDT","GMTUSDT#1685979480000",1685979480000,"0.25290","0.25330","0.25290","0.25330","597963",1685979539999,"151359.87120",298,"401407","101595.20030"
"GMTUSDT","GMTUSDT#1685979540000",1685979540000,"0.25340","0.25430","0.25340","0.25420","672726",1685979599999,"170845.57770",386,"486158","123470.77590"
"GMTUSDT","GMTUSDT#1685979600000",1685979600000,"0.25420","0.25440","0.25360","0.25370","534941",1685979659999,"135848.62400",308,"111777","28389.97250"
"GMTUSDT","GMTUSDT#1685979660000",1685979660000,"0.25370","0.25420","0.25350","0.25400","696715",1685979719999,"176875.56530",384,"359167","91191.09130"
"GMTUSDT","GMTUSDT#1685979720000",1685979720000,"0.25410","0.25450","0.25400","0.25430","255265",1685979779999,"64925.19770",198,"197041","50118.10650"
"GMTUSDT","GMTUSDT#1685979780000",1685979780000,"0.25440","0.25440","0.25360","0.25370","846201",1685979839999,"214856.95870",467,"185322","47049.34850"
"GMTUSDT","GMTUSDT#1685979840000",1685979840000,"0.25380","0.25390","0.25310","0.25320","550600",1685979899999,"139595.70930",355,"143203","36331.81750"
"GMTUSDT","GMTUSDT#1685979900000",1685979900000,"0.25320","0.25360","0.25310","0.25320","463817",1685979959999,"117532.28200",234,"345876","87645.94130"
"GMTUSDT","GMTUSDT#1685979960000",1685979960000,"0.25320","0.25330","0.25260","0.25270","328131",1685980019999,"82972.68760",292,"97197","24574.92030"
"GMTUSDT","GMTUSDT#1685980020000",1685980020000,"0.25270","0.25310","0.25250","0.25250","638730",1685980079999,"161528.59120",367,"447034","113070.94900"
"GMTUSDT","GMTUSDT#1685980080000",1685980080000,"0.25260","0.25280","0.25170","0.25200","1145278",1685980139999,"288829.87530",507,"625407","157723.90580"
"GMTUSDT","GMTUSDT#1685980140000",1685980140000,"0.25200","0.25290","0.25200","0.25290","599601",1685980199999,"151270.32030",306,"421807","106431.21280"
"GMTUSDT","GMTUSDT#1685980200000",1685980200000,"0.25280","0.25280","0.25170","0.25210","626442",1685980259999,"158098.03270",350,"263155","66415.16260"
"GMTUSDT","GMTUSDT#1685980260000",1685980260000,"0.25200","0.25210","0.25080","0.25100","3021081",1685980319999,"759359.13390",1588,"1232741","309963.05050"
"GMTUSDT","GMTUSDT#1685980320000",1685980320000,"0.25100","0.25100","0.24670","0.24910","11944686",1685980379999,"2974556.59050",5050,"4365929","1087826.78460"
"GMTUSDT","GMTUSDT#1685980380000",1685980380000,"0.24910","0.24930","0.24840","0.24930","2169082",1685980439999,"539961.05370",1243,"1215275","302578.53230"
"GMTUSDT","GMTUSDT#1685980440000",1685980440000,"0.24920","0.25020","0.24920","0.24980","1118853",1685980499999,"279529.66240",626,"565065","141180.90250"
"GMTUSDT","GMTUSDT#1685980500000",1685980500000,"0.24970","0.25000","0.24920","0.24950","978038",1685980559999,"244103.04920",618,"451899","112790.38740"
