"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ICPUSDT","ICPUSDT#1685984460000",1685984460000,"4.281000","4.282000","4.239000","4.247000","70294",1685984519999,"299284.756000",1219,"20985","89373.194000"
"ICPUSDT","ICPUSDT#1685984520000",1685984520000,"4.247000","4.254000","4.242000","4.248000","20315",1685984579999,"86310.767000",492,"11074","47048.632000"
"ICPUSDT","ICPUSDT#1685984580000",1685984580000,"4.247000","4.248000","4.242000","4.245000","9976",1685984639999,"42342.027000",285,"3680","15619.631000"
"ICPUSDT","ICPUSDT#1685984640000",1685984640000,"4.245000","4.249000","4.240000","4.243000","8850",1685984699999,"37555.181000",280,"3542","15031.128000"
"ICPUSDT","ICPUSDT#1685984700000",1685984700000,"4.243000","4.248000","4.240000","4.246000","14157",1685984759999,"60087.890000",353,"8108","34415.805000"
"ICPUSDT","ICPUSDT#1685984760000",1685984760000,"4.246000","4.256000","4.245000","4.255000","12750",1685984819999,"54196.171000",345,"8722","37073.494000"
"ICPUSDT","ICPUSDT#1685984820000",1685984820000,"4.255000","4.255000","4.247000","4.252000","15438",1685984879999,"65624.040000",308,"6059","25752.732000"
"ICPUSDT","ICPUSDT#1685984880000",1685984880000,"4.253000","4.266000","4.251000","4.266000","13939",1685984939999,"59338.948000",284,"9233","39309.755000"
"ICPUSDT","ICPUSDT#1685984940000",1685984940000,"4.265000","4.274000","4.265000","4.272000","19084",1685984999999,"81480.472000",340,"9994","42672.063000"
"ICPUSDT","ICPUSDT#1685985000000",1685985000000,"4.273000","4.280000","4.267000","4.276000","18358",1685985059999,"78441.628000",452,"11268","48149.248000"
"ICPUSDT","ICPUSDT#1685985060000",1685985060000,"4.276000","4.279000","4.274000","4.277000","6026",1685985119999,"25769.675000",190,"2451","10481.003000"
"ICPUSDT","ICPUSDT#1685985120000",1685985120000,"4.278000","4.284000","4.277000","4.284000","15236",1685985179999,"65208.992000",285,"8577","36713.234000"
"ICPUSDT","ICPUSDT#1685985180000",1685985180000,"4.284000","4.289000","4.281000","4.282000","8700",1685985239999,"37281.224000",238,"5198","22275.598000"
"ICPUSDT","ICPUSDT#1685985240000",1685985240000,"4.282000","4.283000","4.272000","4.273000","6406",1685985299999,"27401.179000",218,"2642","11305.319000"
"ICPUSDT","ICPUSDT#1685985300000",1685985300000,"4.273000","4.275000","4.262000","4.267000","25122",1685985359999,"107214.744000",470,"13042","55650.977000"
"ICPUSDT","ICPUSDT#1685985360000",1685985360000,"4.267000","4.267000","4.259000","4.262000","11358",1685985419999,"48407.549000",290,"5976","25470.696000"
"ICPUSDT","ICPUSDT#1685985420000",1685985420000,"4.263000","4.269000","4.262000","4.266000","7199",1685985479999,"30707.485000",237,"3515","14993.427000"
"ICPUSDT","ICPUSDT#1685985480000",1685985480000,"4.268000","4.274000","4.267000","4.274000","4578",1685985539999,"19552.945000",112,"3523","15049.081000"
"ICPUSDT","ICPUSDT#1685985540000",1685985540000,"4.274000","4.283000","4.272000","4.282000","6665",1685985599999,"28505.471000",187,"3624","15501.199000"
"ICPUSDT","ICPUSDT#1685985600000",1685985600000,"4.281000","4.281000","4.270000","4.270000","10943",1685985659999,"46784.919000",286,"2577","11017.589000"
"ICPUSDT","ICPUSDT#1685985660000",1685985660000,"4.271000","4.278000","4.270000","4.277000","18136",1685985719999,"77526.845000",360,"10906","46623.327000"
"ICPUSDT","ICPUSDT#1685985720000",1685985720000,"4.278000","4.285000","4.272000","4.279000","24213",1685985779999,"103583.217000",479,"12796","54742.922000"
"ICPUSDT","ICPUSDT#1685985780000",1685985780000,"4.280000","4.286000","4.276000","4.283000","7789",1685985839999,"33345.884000",244,"3775","16161.520000"
"ICPUSDT","ICPUSDT#1685985840000",1685985840000,"4.284000","4.288000","4.282000","4.288000","7003",1685985899999,"30003.611000",199,"3783","16208.455000"
"ICPUSDT","ICPUSDT#1685985900000",1685985900000,"4.288000","4.289000","4.278000","4.281000","16329",1685985959999,"69941.160000",349,"7097","30397.395000"
"ICPUSDT","ICPUSDT#1685985960000",1685985960000,"4.282000","4.284000","4.278000","4.282000","8743",1685986019999,"37432.128000",236,"3719","15925.199000"
"ICPUSDT","ICPUSDT#1685986020000",1685986020000,"4.282000","4.282000","4.273000","4.276000","7314",1685986079999,"31274.723000",223,"3111","13300.532000"
"ICPUSDT","ICPUSDT#1685986080000",1685986080000,"4.276000","4.277000","4.263000","4.265000","23848",1685986139999,"101854.550000",476,"11349","48475.398000"
"ICPUSDT","ICPUSDT#1685986140000",1685986140000,"4.266000","4.283000","4.265000","4.280000","9687",1685986199999,"41400.013000",227,"3804","16250.691000"
"ICPUSDT","ICPUSDT#1685986200000",1685986200000,"4.280000","4.281000","4.261000","4.261000","13303",1685986259999,"56805.519000",322,"6157","26289.499000"
"ICPUSDT","ICPUSDT#1685986260000",1685986260000,"4.262000","4.263000","4.253000","4.263000","20588",1685986319999,"87638.233000",368,"6166","26257.666000"
"ICPUSDT","ICPUSDT#1685986320000",1685986320000,"4.263000","4.271000","4.263000","4.267000","14359",1685986379999,"61269.833000",345,"7606","32452.071000"
"ICPUSDT","ICPUSDT#1685986380000",1685986380000,"4.266000","4.269000","4.261000","4.267000","14128",1685986439999,"60260.985000",341,"6840","29174.409000"
"ICPUSDT","ICPUSDT#1685986440000",1685986440000,"4.268000","4.278000","4.268000","4.276000","13199",1685986499999,"56384.722000",233,"8018","34248.191000"
"ICPUSDT","ICPUSDT#1685986500000",1685986500000,"4.277000","4.309000","4.276000","4.301000","73454",1685986559999,"315264.345000",827,"56038","240586.182000"
"ICPUSDT","ICPUSDT#1685986560000",1685986560000,"4.301000","4.310000","4.297000","4.309000","20746",1685986619999,"89282.148000",465,"11055","47586.497000"
"ICPUSDT","ICPUSDT#1685986620000",1685986620000,"4.309000","4.312000","4.303000","4.308000","12799",1685986679999,"55148.966000",271,"7513","32376.858000"
"ICPUSDT","ICPUSDT#1685986680000",1685986680000,"4.308000","4.318000","4.308000","4.318000","7345",1685986739999,"31671.100000",182,"4749","20475.693000"
"ICPUSDT","ICPUSDT#1685986740000",1685986740000,"4.317000","4.317000","4.308000","4.313000","18159",1685986799999,"78309.209000",353,"4797","20690.772000"
"ICPUSDT","ICPUSDT#1685986800000",1685986800000,"4.314000","4.319000","4.307000","4.315000","24940",1685986859999,"107567.240000",400,"10819","46674.283000"
"ICPUSDT","ICPUSDT#1685986860000",1685986860000,"4.315000","4.317000","4.314000","4.314000","4723",1685986919999,"20383.290000",174,"1950","8416.131000"
"ICPUSDT","ICPUSDT#1685986920000",1685986920000,"4.314000","4.316000","4.314000","4.314000","2970",1685986979999,"12815.606000",127,"387","1670.010000"
"ICPUSDT","ICPUSDT#1685986980000",1685986980000,"4.314000","4.320000","4.314000","4.318000","3886",1685987039999,"16775.057000",158,"1966","8486.338000"
"ICPUSDT","ICPUSDT#1685987040000",1685987040000,"4.317000","4.324000","4.314000","4.324000","6190",1685987099999,"26725.575000",195,"3921","16934.077000"
"ICPUSDT","ICPUSDT#1685987100000",1685987100000,"4.324000","4.324000","4.316000","4.317000","9630",1685987159999,"41597.663000",248,"3441","14866.835000"
"ICPUSDT","ICPUSDT#1685987160000",1685987160000,"4.316000","4.317000","4.314000","4.314000","2306",1685987219999,"9951.730000",115,"731","3154.972000"
"ICPUSDT","ICPUSDT#1685987220000",1685987220000,"4.315000","4.318000","4.315000","4.317000","2553",1685987279999,"11018.444000",106,"1392","6007.875000"
"ICPUSDT","ICPUSDT#1685987280000",1685987280000,"4.318000","4.318000","4.314000","4.316000","4382",1685987339999,"18911.814000",134,"2146","9261.883000"
"ICPUSDT","ICPUSDT#1685987340000",1685987340000,"4.316000","4.318000","4.311000","4.314000","6793",1685987399999,"29306.967000",177,"2638","11381.814000"
"ICPUSDT","ICPUSDT#1685987400000",1685987400000,"4.313000","4.314000","4.304000","4.308000","7629",1685987459999,"32867.772000",196,"2415","10400.060000"
"ICPUSDT","ICPUSDT#1685987460000",1685987460000,"4.307000","4.312000","4.306000","4.308000","5281",1685987519999,"22753.619000",137,"1345","5794.577000"
"ICPUSDT","ICPUSDT#1685987520000",1685987520000,"4.308000","4.312000","4.308000","4.312000","2838",1685987579999,"12232.691000",91,"1561","6729.003000"
"ICPUSDT","ICPUSDT#1685987580000",1685987580000,"4.313000","4.315000","4.312000","4.315000","4170",1685987639999,"17986.189000",104,"2273","9804.301000"
"ICPUSDT","ICPUSDT#1685987640000",1685987640000,"4.316000","4.317000","4.309000","4.312000","10045",1685987699999,"43320.346000",202,"2398","10343.712000"
"ICPUSDT","ICPUSDT#1685987700000",1685987700000,"4.312000","4.315000","4.310000","4.314000","4522",1685987759999,"19499.413000",137,"2499","10777.071000"
"ICPUSDT","ICPUSDT#1685987760000",1685987760000,"4.313000","4.317000","4.313000","4.315000","4771",1685987819999,"20587.203000",143,"3550","15319.272000"
"ICPUSDT","ICPUSDT#1685987820000",1685987820000,"4.316000","4.318000","4.316000","4.317000","1271",1685987879999,"5485.954000",70,"261","1126.774000"
"ICPUSDT","ICPUSDT#1685987880000",1685987880000,"4.316000","4.323000","4.315000","4.321000","8878",1685987939999,"38343.630000",260,"5977","25818.600000"
"ICPUSDT","ICPUSDT#1685987940000",1685987940000,"4.321000","4.323000","4.320000","4.320000","3853",1685987999999,"16652.162000",112,"1838","7944.540000"
"ICPUSDT","ICPUSDT#1685988000000",1685988000000,"4.320000","4.324000","4.315000","4.317000","21986",1685988059999,"94992.630000",633,"12838","55478.656000"
