"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LPTUSDT","LPTUSDT#1685952060000",1685952060000,"5.009","5.015","5.009","5.010","3422.5",1685952119999,"17155.0595",176,"2571.4","12889.7295"
"LPTUSDT","LPTUSDT#1685952120000",1685952120000,"5.010","5.014","5.007","5.010","1196.1",1685952179999,"5993.1619",70,"420.3","2106.3297"
"LPTUSDT","LPTUSDT#1685952180000",1685952180000,"5.012","5.012","5.011","5.011","64.4",1685952239999,"322.7462",7,"37.8","189.4536"
"LPTUSDT","LPTUSDT#1685952240000",1685952240000,"5.011","5.012","5.011","5.011","23.8",1685952299999,"119.2710",5,"9.2","46.1104"
"LPTUSDT","LPTUSDT#1685952300000",1685952300000,"5.012","5.012","5.011","5.011","732.8",1685952359999,"3672.5988",49,"384.7","1928.1164"
"LPTUSDT","LPTUSDT#1685952360000",1685952360000,"5.011","5.011","5.010","5.011","555.7",1685952419999,"2784.5758",24,"41.8","209.4229"
"LPTUSDT","LPTUSDT#1685952420000",1685952420000,"5.010","5.012","5.010","5.012","497.9",1685952479999,"2494.7456",47,"497.9","2494.7456"
"LPTUSDT","LPTUSDT#1685952480000",1685952480000,"5.012","5.013","5.011","5.013","167.4",1685952539999,"839.0514",14,"117.7","589.9659"
"LPTUSDT","LPTUSDT#1685952540000",1685952540000,"5.012","5.018","5.012","5.015","1084.8",1685952599999,"5442.2184",33,"1065.6","5345.9696"
"LPTUSDT","LPTUSDT#1685952600000",1685952600000,"5.015","5.017","5.015","5.015","453.7",1685952659999,"2275.5801",28,"317.2","1590.8991"
"LPTUSDT","LPTUSDT#1685952660000",1685952660000,"5.016","5.016","5.014","5.014","45.4",1685952719999,"227.6842",6,"5.1","25.5816"
"LPTUSDT","LPTUSDT#1685952720000",1685952720000,"5.015","5.015","5.015","5.015","130.8",1685952779999,"655.9620",15,"130.8","655.9620"
"LPTUSDT","LPTUSDT#1685952780000",1685952780000,"5.015","5.020","5.015","5.016","1782.0",1685952839999,"8940.5348",43,"1577.9","7916.6181"
"LPTUSDT","LPTUSDT#1685952840000",1685952840000,"5.016","5.016","5.016","5.016","0.0",1685952899999,"0.0000",0,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685952900000",1685952900000,"5.017","5.018","5.016","5.018","401.4",1685952959999,"2013.8544",23,"387.4","1943.6304"
"LPTUSDT","LPTUSDT#1685952960000",1685952960000,"5.019","5.020","5.019","5.020","195.1",1685953019999,"979.2872",17,"195.1","979.2872"
"LPTUSDT","LPTUSDT#1685953020000",1685953020000,"5.020","5.022","5.020","5.020","457.5",1685953079999,"2297.1869",21,"398.4","2000.5049"
"LPTUSDT","LPTUSDT#1685953080000",1685953080000,"5.020","5.020","5.020","5.020","2.0",1685953139999,"10.0400",1,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685953140000",1685953140000,"5.020","5.020","5.019","5.020","254.4",1685953199999,"1277.0283",14,"3.2","16.0640"
"LPTUSDT","LPTUSDT#1685953200000",1685953200000,"5.020","5.020","5.017","5.019","894.7",1685953259999,"4489.7677",55,"466.7","2342.1313"
"LPTUSDT","LPTUSDT#1685953260000",1685953260000,"5.019","5.023","5.019","5.019","1798.1",1685953319999,"9028.8839",54,"1614.8","8108.6510"
"LPTUSDT","LPTUSDT#1685953320000",1685953320000,"5.020","5.020","5.020","5.020","180.7",1685953379999,"907.1140",15,"76.7","385.0340"
"LPTUSDT","LPTUSDT#1685953380000",1685953380000,"5.021","5.021","5.020","5.020","4.9",1685953439999,"24.5991",3,"1.1","5.5231"
"LPTUSDT","LPTUSDT#1685953440000",1685953440000,"5.020","5.023","5.020","5.020","1000.3",1685953499999,"5023.3717",28,"1000.3","5023.3717"
"LPTUSDT","LPTUSDT#1685953500000",1685953500000,"5.020","5.020","5.020","5.020","225.7",1685953559999,"1133.0140",25,"213.8","1073.2760"
"LPTUSDT","LPTUSDT#1685953560000",1685953560000,"5.020","5.023","5.020","5.023","301.8",1685953619999,"1515.4285",29,"299.6","1504.3845"
"LPTUSDT","LPTUSDT#1685953620000",1685953620000,"5.022","5.026","5.022","5.025","2134.3",1685953679999,"10724.3526",75,"1730.8","8696.7651"
"LPTUSDT","LPTUSDT#1685953680000",1685953680000,"5.026","5.027","5.024","5.024","290.3",1685953739999,"1459.0348",36,"192.8","969.1506"
"LPTUSDT","LPTUSDT#1685953740000",1685953740000,"5.024","5.026","5.024","5.026","227.9",1685953799999,"1145.2252",19,"205.8","1034.1848"
"LPTUSDT","LPTUSDT#1685953800000",1685953800000,"5.025","5.025","5.021","5.025","1345.5",1685953859999,"6759.4662",73,"413.8","2078.9744"
"LPTUSDT","LPTUSDT#1685953860000",1685953860000,"5.025","5.026","5.025","5.026","197.6",1685953919999,"993.1156",31,"175.6","882.5656"
"LPTUSDT","LPTUSDT#1685953920000",1685953920000,"5.025","5.025","5.025","5.025","69.8",1685953979999,"350.7450",12,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685953980000",1685953980000,"5.024","5.025","5.024","5.025","34.6",1685954039999,"173.8384",3,"8.0","40.2000"
"LPTUSDT","LPTUSDT#1685954040000",1685954040000,"5.025","5.031","5.024","5.027","3005.9",1685954099999,"15113.2496",117,"2683.5","13492.3935"
"LPTUSDT","LPTUSDT#1685954100000",1685954100000,"5.027","5.030","5.027","5.028","997.9",1685954159999,"5017.5610",63,"378.7","1904.3226"
"LPTUSDT","LPTUSDT#1685954160000",1685954160000,"5.028","5.029","5.028","5.029","65.1",1685954219999,"327.3528",10,"65.1","327.3528"
"LPTUSDT","LPTUSDT#1685954220000",1685954220000,"5.029","5.030","5.029","5.030","87.3",1685954279999,"439.0942",6,"87.3","439.0942"
"LPTUSDT","LPTUSDT#1685954280000",1685954280000,"5.030","5.032","5.030","5.032","511.2",1685954339999,"2572.0253",14,"511.2","2572.0253"
"LPTUSDT","LPTUSDT#1685954340000",1685954340000,"5.031","5.031","5.029","5.029","105.3",1685954399999,"529.6731",12,"49.6","249.4880"
"LPTUSDT","LPTUSDT#1685954400000",1685954400000,"5.029","5.032","5.028","5.032","360.6",1685954459999,"1813.7406",24,"308.5","1551.7377"
"LPTUSDT","LPTUSDT#1685954460000",1685954460000,"5.031","5.031","5.031","5.031","384.7",1685954519999,"1935.4257",10,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685954520000",1685954520000,"5.031","5.031","5.029","5.029","43.3",1685954579999,"217.7941",7,"1.5","7.5450"
"LPTUSDT","LPTUSDT#1685954580000",1685954580000,"5.029","5.029","5.022","5.022","1227.9",1685954639999,"6170.5972",27,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685954640000",1685954640000,"5.028","5.030","5.028","5.030","178.4",1685954699999,"897.0060",8,"155.0","779.3508"
"LPTUSDT","LPTUSDT#1685954700000",1685954700000,"5.030","5.031","5.030","5.030","271.2",1685954759999,"1364.2224",12,"177.0","890.3964"
"LPTUSDT","LPTUSDT#1685954760000",1685954760000,"5.030","5.030","5.025","5.025","143.9",1685954819999,"723.6932",11,"9.6","48.2880"
"LPTUSDT","LPTUSDT#1685954820000",1685954820000,"5.025","5.025","5.022","5.023","359.5",1685954879999,"1805.8069",16,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685954880000",1685954880000,"5.023","5.023","5.020","5.020","71.1",1685954939999,"357.0055",5,"1.1","5.5242"
"LPTUSDT","LPTUSDT#1685954940000",1685954940000,"5.022","5.023","5.020","5.020","516.1",1685954999999,"2592.1507",23,"361.9","1817.6609"
"LPTUSDT","LPTUSDT#1685955000000",1685955000000,"5.021","5.025","5.021","5.025","399.2",1685955059999,"2005.4545",27,"320.5","1609.9870"
"LPTUSDT","LPTUSDT#1685955060000",1685955060000,"5.023","5.023","5.023","5.023","12.3",1685955119999,"61.7829",1,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685955120000",1685955120000,"5.022","5.022","5.022","5.022","6.8",1685955179999,"34.1496",2,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685955180000",1685955180000,"5.022","5.022","5.022","5.022","0.0",1685955239999,"0.0000",0,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685955240000",1685955240000,"5.021","5.021","5.018","5.018","340.1",1685955299999,"1706.8777",21,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685955300000",1685955300000,"5.019","5.022","5.019","5.021","379.2",1685955359999,"1903.6464",17,"379.2","1903.6464"
"LPTUSDT","LPTUSDT#1685955360000",1685955360000,"5.020","5.021","5.018","5.021","200.1",1685955419999,"1004.5179",15,"141.5","710.3761"
"LPTUSDT","LPTUSDT#1685955420000",1685955420000,"5.021","5.022","5.021","5.022","162.6",1685955479999,"816.5428",12,"162.6","816.5428"
"LPTUSDT","LPTUSDT#1685955480000",1685955480000,"5.023","5.023","5.023","5.023","9.8",1685955539999,"49.2254",4,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685955540000",1685955540000,"5.023","5.023","5.023","5.023","95.6",1685955599999,"480.1988",6,"0.0","0.0000"
"LPTUSDT","LPTUSDT#1685955600000",1685955600000,"5.022","5.024","5.016","5.016","2125.8",1685955659999,"10673.3921",107,"200.2","1005.5812"
