"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MINAUSDT","MINAUSDT#1685948460000",1685948460000,"0.5332000","0.5333000","0.5327000","0.5328000","9385",1685948519999,"5001.1459000",61,"5131","2734.6283000"
"MINAUSDT","MINAUSDT#1685948520000",1685948520000,"0.5329000","0.5333000","0.5328000","0.5330000","13311",1685948579999,"7095.9333000",66,"6239","3326.2762000"
"MINAUSDT","MINAUSDT#1685948580000",1685948580000,"0.5331000","0.5337000","0.5331000","0.5337000","8532",1685948639999,"4550.6240000",64,"8504","4535.6804000"
"MINAUSDT","MINAUSDT#1685948640000",1685948640000,"0.5337000","0.5340000","0.5337000","0.5339000","10069",1685948699999,"5375.3731000",44,"6672","3561.9650000"
"MINAUSDT","MINAUSDT#1685948700000",1685948700000,"0.5339000","0.5342000","0.5339000","0.5342000","11520",1685948759999,"6152.6513000",46,"5745","3068.2238000"
"MINAUSDT","MINAUSDT#1685948760000",1685948760000,"0.5343000","0.5343000","0.5339000","0.5341000","12723",1685948819999,"6795.5113000",52,"2356","1258.2307000"
"MINAUSDT","MINAUSDT#1685948820000",1685948820000,"0.5342000","0.5350000","0.5342000","0.5350000","11187",1685948879999,"5980.8888000",59,"11002","5881.9878000"
"MINAUSDT","MINAUSDT#1685948880000",1685948880000,"0.5351000","0.5351000","0.5338000","0.5338000","29207",1685948939999,"15608.2346000",81,"1182","632.3096000"
"MINAUSDT","MINAUSDT#1685948940000",1685948940000,"0.5342000","0.5346000","0.5342000","0.5342000","23582",1685948999999,"12600.4599000",60,"7950","4248.5002000"
"MINAUSDT","MINAUSDT#1685949000000",1685949000000,"0.5344000","0.5345000","0.5290000","0.5312000","575540",1685949059999,"305990.3089000",865,"90939","48343.3687000"
"MINAUSDT","MINAUSDT#1685949060000",1685949060000,"0.5312000","0.5320000","0.5312000","0.5319000","55092",1685949119999,"29289.3578000",141,"37606","19991.1752000"
"MINAUSDT","MINAUSDT#1685949120000",1685949120000,"0.5319000","0.5324000","0.5318000","0.5324000","24584",1685949179999,"13080.6210000",81,"14305","7612.6117000"
"MINAUSDT","MINAUSDT#1685949180000",1685949180000,"0.5324000","0.5324000","0.5322000","0.5322000","18066",1685949239999,"9615.4019000",38,"2652","1411.7766000"
"MINAUSDT","MINAUSDT#1685949240000",1685949240000,"0.5323000","0.5325000","0.5323000","0.5325000","7836",1685949299999,"4171.9322000",26,"7503","3994.6763000"
"MINAUSDT","MINAUSDT#1685949300000",1685949300000,"0.5325000","0.5326000","0.5320000","0.5323000","28096",1685949359999,"14958.8924000",65,"11622","6188.9309000"
"MINAUSDT","MINAUSDT#1685949360000",1685949360000,"0.5323000","0.5323000","0.5321000","0.5322000","6923",1685949419999,"3684.1362000",29,"3569","1899.3060000"
