"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RDNTUSDT","RDNTUSDT#1685977260000",1685977260000,"0.3042000","0.3044000","0.3039000","0.3039000","50895",1685977319999,"15478.1907000",145,"30587","9301.7852000"
"RDNTUSDT","RDNTUSDT#1685977320000",1685977320000,"0.3040000","0.3041000","0.3026000","0.3029000","546679",1685977379999,"165712.2159000",432,"91331","27704.4646000"
"RDNTUSDT","RDNTUSDT#1685977380000",1685977380000,"0.3028000","0.3030000","0.3010000","0.3013000","825729",1685977439999,"249550.4527000",582,"161377","48749.7783000"
"RDNTUSDT","RDNTUSDT#1685977440000",1685977440000,"0.3013000","0.3024000","0.2972000","0.2979000","2166284",1685977499999,"648275.2594000",1310,"779085","233035.6356000"
"RDNTUSDT","RDNTUSDT#1685977500000",1685977500000,"0.2980000","0.3011000","0.2954000","0.2984000","5663779",1685977559999,"1686436.4082000",2622,"3756964","1118045.1124000"
"RDNTUSDT","RDNTUSDT#1685977560000",1685977560000,"0.2984000","0.2997000","0.2969000","0.2981000","1318653",1685977619999,"393200.1596000",1345,"564950","168441.3245000"
"RDNTUSDT","RDNTUSDT#1685977620000",1685977620000,"0.2981000","0.2984000","0.2942000","0.2956000","3379714",1685977679999,"998986.3676000",2587,"1898174","560823.2814000"
"RDNTUSDT","RDNTUSDT#1685977680000",1685977680000,"0.2957000","0.2978000","0.2951000","0.2977000","707354",1685977739999,"209761.3128000",766,"387040","114794.4584000"
"RDNTUSDT","RDNTUSDT#1685977740000",1685977740000,"0.2978000","0.2983000","0.2968000","0.2978000","1277013",1685977799999,"379622.4144000",880,"964405","286619.2715000"
"RDNTUSDT","RDNTUSDT#1685977800000",1685977800000,"0.2979000","0.2991000","0.2979000","0.2987000","648159",1685977859999,"193452.0935000",685,"316482","94483.5291000"
"RDNTUSDT","RDNTUSDT#1685977860000",1685977860000,"0.2987000","0.2988000","0.2977000","0.2977000","232301",1685977919999,"69320.6535000",354,"37898","11312.1966000"
"RDNTUSDT","RDNTUSDT#1685977920000",1685977920000,"0.2977000","0.2982000","0.2948000","0.2949000","2269196",1685977979999,"670367.3508000",1295,"816294","240904.5371000"
"RDNTUSDT","RDNTUSDT#1685977980000",1685977980000,"0.2948000","0.2954000","0.2945000","0.2953000","822114",1685978039999,"242478.2841000",930,"476610","140605.4474000"
"RDNTUSDT","RDNTUSDT#1685978040000",1685978040000,"0.2952000","0.2954000","0.2918000","0.2930000","2315185",1685978099999,"679086.6455000",1730,"1125906","330114.9551000"
"RDNTUSDT","RDNTUSDT#1685978100000",1685978100000,"0.2930000","0.2949000","0.2927000","0.2933000","1108439",1685978159999,"325876.9467000",1085,"636638","187120.3734000"
"RDNTUSDT","RDNTUSDT#1685978160000",1685978160000,"0.2933000","0.2939000","0.2915000","0.2925000","1099128",1685978219999,"321720.5999000",1261,"396712","116167.6784000"
"RDNTUSDT","RDNTUSDT#1685978220000",1685978220000,"0.2925000","0.2934000","0.2923000","0.2924000","453313",1685978279999,"132691.4014000",683,"188204","55101.5839000"
"RDNTUSDT","RDNTUSDT#1685978280000",1685978280000,"0.2923000","0.2923000","0.2902000","0.2906000","767464",1685978339999,"223688.8590000",919,"283722","82756.6970000"
"RDNTUSDT","RDNTUSDT#1685978340000",1685978340000,"0.2906000","0.2911000","0.2881000","0.2905000","1211100",1685978399999,"351122.7454000",1189,"449113","130276.9913000"
"RDNTUSDT","RDNTUSDT#1685978400000",1685978400000,"0.2906000","0.2920000","0.2905000","0.2914000","569511",1685978459999,"165898.6622000",623,"279274","81358.1727000"
"RDNTUSDT","RDNTUSDT#1685978460000",1685978460000,"0.2914000","0.2916000","0.2898000","0.2906000","689147",1685978519999,"200177.2398000",561,"370414","107545.1294000"
"RDNTUSDT","RDNTUSDT#1685978520000",1685978520000,"0.2906000","0.2919000","0.2905000","0.2919000","201897",1685978579999,"58818.7586000",306,"116301","33890.0116000"
"RDNTUSDT","RDNTUSDT#1685978580000",1685978580000,"0.2918000","0.2922000","0.2913000","0.2919000","426135",1685978639999,"124321.9429000",461,"256987","74976.5626000"
"RDNTUSDT","RDNTUSDT#1685978640000",1685978640000,"0.2918000","0.2919000","0.2905000","0.2916000","354308",1685978699999,"103247.4178000",459,"131313","38289.4952000"
"RDNTUSDT","RDNTUSDT#1685978700000",1685978700000,"0.2915000","0.2915000","0.2884000","0.2895000","803048",1685978759999,"232769.0620000",879,"311153","90236.1956000"
"RDNTUSDT","RDNTUSDT#1685978760000",1685978760000,"0.2894000","0.2896000","0.2878000","0.2896000","453353",1685978819999,"130864.8519000",526,"210096","60681.7199000"
"RDNTUSDT","RDNTUSDT#1685978820000",1685978820000,"0.2895000","0.2910000","0.2894000","0.2910000","387924",1685978879999,"112550.8576000",428,"235634","68371.3781000"
"RDNTUSDT","RDNTUSDT#1685978880000",1685978880000,"0.2909000","0.2918000","0.2906000","0.2916000","283845",1685978939999,"82686.9192000",314,"210798","61424.3834000"
"RDNTUSDT","RDNTUSDT#1685978940000",1685978940000,"0.2916000","0.2921000","0.2910000","0.2915000","300274",1685978999999,"87597.3746000",335,"152873","44606.3661000"
"RDNTUSDT","RDNTUSDT#1685979000000",1685979000000,"0.2915000","0.2923000","0.2909000","0.2917000","447133",1685979059999,"130400.0755000",519,"261648","76298.6406000"
