"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SSVUSDT","SSVUSDT#1685984460000",1685984460000,"20.300000","20.340000","20.270000","20.290000","4896.94",1685984519999,"99412.39080000",454,"2937.40","59658.38660000"
"SSVUSDT","SSVUSDT#1685984520000",1685984520000,"20.280000","20.300000","20.180000","20.180000","3854.56",1685984579999,"77978.00720000",384,"1222.10","24735.99670000"
"SSVUSDT","SSVUSDT#1685984580000",1685984580000,"20.190000","20.220000","20.160000","20.220000","2163.16",1685984639999,"43673.86180000",247,"1233.57","24910.12800000"
"SSVUSDT","SSVUSDT#1685984640000",1685984640000,"20.220000","20.270000","20.180000","20.210000","3434.33",1685984699999,"69466.54020000",361,"2000.47","40473.38010000"
"SSVUSDT","SSVUSDT#1685984700000",1685984700000,"20.220000","20.220000","20.160000","20.200000","4390.79",1685984759999,"88655.03370000",402,"2419.87","48868.33330000"
"SSVUSDT","SSVUSDT#1685984760000",1685984760000,"20.200000","20.240000","20.200000","20.220000","1383.49",1685984819999,"27973.96750000",164,"711.50","14386.92910000"
"SSVUSDT","SSVUSDT#1685984820000",1685984820000,"20.210000","20.220000","20.180000","20.180000","1546.78",1685984879999,"31239.75310000",182,"604.47","12209.32500000"
"SSVUSDT","SSVUSDT#1685984880000",1685984880000,"20.190000","20.280000","20.190000","20.280000","1613.10",1685984939999,"32638.05100000",143,"1505.22","30457.34080000"
"SSVUSDT","SSVUSDT#1685984940000",1685984940000,"20.270000","20.290000","20.230000","20.250000","1648.63",1685984999999,"33404.06330000",152,"623.69","12634.57170000"
"SSVUSDT","SSVUSDT#1685985000000",1685985000000,"20.260000","20.300000","20.220000","20.250000","2031.08",1685985059999,"41142.86160000",169,"797.80","16166.74980000"
"SSVUSDT","SSVUSDT#1685985060000",1685985060000,"20.250000","20.270000","20.250000","20.250000","766.98",1685985119999,"15538.92470000",95,"540.00","10941.08800000"
"SSVUSDT","SSVUSDT#1685985120000",1685985120000,"20.250000","20.280000","20.220000","20.280000","1951.02",1685985179999,"39499.90430000",160,"956.69","19378.79260000"
"SSVUSDT","SSVUSDT#1685985180000",1685985180000,"20.270000","20.280000","20.260000","20.260000","509.33",1685985239999,"10325.94470000",71,"215.85","4376.58870000"
"SSVUSDT","SSVUSDT#1685985240000",1685985240000,"20.270000","20.270000","20.220000","20.220000","1609.95",1685985299999,"32581.24140000",137,"615.67","12458.86390000"
"SSVUSDT","SSVUSDT#1685985300000",1685985300000,"20.210000","20.240000","20.180000","20.200000","2084.89",1685985359999,"42130.35520000",211,"1260.04","25466.76370000"
"SSVUSDT","SSVUSDT#1685985360000",1685985360000,"20.210000","20.210000","20.160000","20.170000","1717.68",1685985419999,"34661.63960000",172,"812.86","16405.67530000"
"SSVUSDT","SSVUSDT#1685985420000",1685985420000,"20.170000","20.220000","20.170000","20.210000","1154.86",1685985479999,"23328.66250000",113,"764.17","15436.03870000"
