"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SXPUSDT","SXPUSDT#1686002460000",1686002460000,"0.3956","0.3962","0.3956","0.3962","141636.4",1686002519999,"56073.17548",214,"107705.7","42641.06881"
"SXPUSDT","SXPUSDT#1686002520000",1686002520000,"0.3961","0.3961","0.3957","0.3961","77926.4",1686002579999,"30857.56765",137,"27339.7","10825.13909"
"SXPUSDT","SXPUSDT#1686002580000",1686002580000,"0.3961","0.3963","0.3958","0.3962","88531.5",1686002639999,"35060.68779",162,"50691.5","20077.50206"
"SXPUSDT","SXPUSDT#1686002640000",1686002640000,"0.3962","0.3964","0.3961","0.3964","70489.9",1686002699999,"27930.18476",149,"42574.9","16870.47407"
"SXPUSDT","SXPUSDT#1686002700000",1686002700000,"0.3963","0.3965","0.3953","0.3956","239910.0",1686002759999,"94976.71503",301,"45712.0","18104.05843"
"SXPUSDT","SXPUSDT#1686002760000",1686002760000,"0.3956","0.3960","0.3954","0.3954","88077.1",1686002819999,"34857.98325",153,"34095.7","13491.79412"
"SXPUSDT","SXPUSDT#1686002820000",1686002820000,"0.3955","0.3957","0.3953","0.3954","95637.3",1686002879999,"37830.00663",170,"52585.6","20800.88275"
"SXPUSDT","SXPUSDT#1686002880000",1686002880000,"0.3955","0.3957","0.3955","0.3957","29558.4",1686002939999,"11692.09243",72,"21883.6","8656.40454"
"SXPUSDT","SXPUSDT#1686002940000",1686002940000,"0.3956","0.3957","0.3954","0.3955","12858.6",1686002999999,"5087.32346",79,"5646.4","2234.26090"
"SXPUSDT","SXPUSDT#1686003000000",1686003000000,"0.3955","0.3959","0.3954","0.3958","63035.9",1686003059999,"24940.25313",124,"52677.4","20841.26531"
"SXPUSDT","SXPUSDT#1686003060000",1686003060000,"0.3959","0.3959","0.3954","0.3954","22707.5",1686003119999,"8984.57437",75,"1750.7","692.43122"
"SXPUSDT","SXPUSDT#1686003120000",1686003120000,"0.3953","0.3955","0.3950","0.3951","67486.7",1686003179999,"26671.88790",139,"40650.5","16064.67036"
"SXPUSDT","SXPUSDT#1686003180000",1686003180000,"0.3952","0.3952","0.3950","0.3950","17962.6",1686003239999,"7097.93033",55,"9633.0","3806.91160"
"SXPUSDT","SXPUSDT#1686003240000",1686003240000,"0.3950","0.3951","0.3949","0.3949","26863.4",1686003299999,"10610.64068",84,"9376.8","3704.01807"
