"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"TRUUSDT","TRUUSDT#1685959260000",1685959260000,"0.0423500","0.0424700","0.0423400","0.0424400","597016",1685959319999,"25319.3699200",193,"440654","18687.5062700"
"TRUUSDT","TRUUSDT#1685959320000",1685959320000,"0.0424400","0.0424500","0.0424100","0.0424500","160839",1685959379999,"6823.2713600",73,"70913","3008.5949600"
"TRUUSDT","TRUUSDT#1685959380000",1685959380000,"0.0424500","0.0425000","0.0424500","0.0424500","279710",1685959439999,"11883.3453200",81,"133156","5657.7985500"
"TRUUSDT","TRUUSDT#1685959440000",1685959440000,"0.0424500","0.0424700","0.0424100","0.0424400","153174",1685959499999,"6501.1214800",60,"84743","3597.2448800"
"TRUUSDT","TRUUSDT#1685959500000",1685959500000,"0.0424400","0.0424600","0.0423800","0.0424200","464587",1685959559999,"19709.6234900",112,"183429","7784.6479600"
"TRUUSDT","TRUUSDT#1685959560000",1685959560000,"0.0424100","0.0424300","0.0424100","0.0424300","30859",1685959619999,"1309.1541200",29,"29958","1270.9427100"
"TRUUSDT","TRUUSDT#1685959620000",1685959620000,"0.0424300","0.0424500","0.0423800","0.0423900","116530",1685959679999,"4943.4736900",86,"70120","2974.7614300"
"TRUUSDT","TRUUSDT#1685959680000",1685959680000,"0.0423800","0.0424300","0.0423600","0.0424300","238463",1685959739999,"10107.9433600",86,"110378","4680.1868300"
"TRUUSDT","TRUUSDT#1685959740000",1685959740000,"0.0424400","0.0424600","0.0424200","0.0424600","203818",1685959799999,"8651.0522800",78,"123964","5262.2993400"
"TRUUSDT","TRUUSDT#1685959800000",1685959800000,"0.0424700","0.0425000","0.0423800","0.0424700","300868",1685959859999,"12770.3552900",97,"84559","3591.3068300"
"TRUUSDT","TRUUSDT#1685959860000",1685959860000,"0.0424700","0.0425200","0.0424700","0.0425200","80635",1685959919999,"3426.9201900",56,"80635","3426.9201900"
"TRUUSDT","TRUUSDT#1685959920000",1685959920000,"0.0425100","0.0425100","0.0424700","0.0424700","214615",1685959979999,"9119.9365500",76,"30053","1277.0704900"
"TRUUSDT","TRUUSDT#1685959980000",1685959980000,"0.0424700","0.0425000","0.0424300","0.0424400","283112",1685960039999,"12025.4357800",103,"128624","5463.9372100"
"TRUUSDT","TRUUSDT#1685960040000",1685960040000,"0.0424400","0.0425200","0.0424400","0.0425200","501785",1685960099999,"21317.9246000",110,"400410","17012.5172500"
"TRUUSDT","TRUUSDT#1685960100000",1685960100000,"0.0425100","0.0426200","0.0425100","0.0425700","577812",1685960159999,"24601.0341700",155,"385492","16410.4658900"
"TRUUSDT","TRUUSDT#1685960160000",1685960160000,"0.0425600","0.0426500","0.0425600","0.0426500","267849",1685960219999,"11414.1165800",88,"175543","7480.1627100"
"TRUUSDT","TRUUSDT#1685960220000",1685960220000,"0.0426400","0.0426800","0.0426100","0.0426500","209578",1685960279999,"8937.5243700",78,"111719","4764.8896600"
"TRUUSDT","TRUUSDT#1685960280000",1685960280000,"0.0426500","0.0426800","0.0425200","0.0425900","459325",1685960339999,"19564.2360800",138,"74645","3182.5333700"
"TRUUSDT","TRUUSDT#1685960340000",1685960340000,"0.0425800","0.0425900","0.0425200","0.0425700","172246",1685960399999,"7329.0106900",55,"37273","1586.4464700"
"TRUUSDT","TRUUSDT#1685960400000",1685960400000,"0.0425600","0.0426200","0.0425400","0.0426200","220102",1685960459999,"9371.7660100",70,"168713","7185.2703100"
"TRUUSDT","TRUUSDT#1685960460000",1685960460000,"0.0426200","0.0426300","0.0425500","0.0425500","98693",1685960519999,"4202.9975300",41,"31443","1338.2321400"
"TRUUSDT","TRUUSDT#1685960520000",1685960520000,"0.0425600","0.0426100","0.0425600","0.0425800","107117",1685960579999,"4561.5394100",43,"64562","2749.2474700"
"TRUUSDT","TRUUSDT#1685960580000",1685960580000,"0.0425700","0.0425700","0.0425400","0.0425700","92851",1685960639999,"3950.5347300",33,"46653","1985.1182300"
"TRUUSDT","TRUUSDT#1685960640000",1685960640000,"0.0425700","0.0425700","0.0424600","0.0424700","289767",1685960699999,"12316.2126300",96,"64187","2727.5636500"
"TRUUSDT","TRUUSDT#1685960700000",1685960700000,"0.0424600","0.0424600","0.0424100","0.0424100","198764",1685960759999,"8434.8170700",55,"19801","840.5961700"
"TRUUSDT","TRUUSDT#1685960760000",1685960760000,"0.0424000","0.0424300","0.0424000","0.0424300","196822",1685960819999,"8348.9089200",54,"158053","6704.2266900"
"TRUUSDT","TRUUSDT#1685960820000",1685960820000,"0.0424400","0.0424500","0.0424200","0.0424300","207295",1685960879999,"8796.5446300",55,"158430","6723.0239400"
"TRUUSDT","TRUUSDT#1685960880000",1685960880000,"0.0424400","0.0424400","0.0423800","0.0423800","131170",1685960939999,"5563.1872100",54,"11311","479.6808000"
"TRUUSDT","TRUUSDT#1685960940000",1685960940000,"0.0423900","0.0423900","0.0423400","0.0423400","144555",1685960999999,"6123.1085200",58,"11108","470.7491400"
"TRUUSDT","TRUUSDT#1685961000000",1685961000000,"0.0423500","0.0424700","0.0423500","0.0424700","688285",1685961059999,"29190.5695300",164,"597267","25328.1988200"
"TRUUSDT","TRUUSDT#1685961060000",1685961060000,"0.0424700","0.0425000","0.0424400","0.0425000","265009",1685961119999,"11252.1289700",103,"196567","8346.3134200"
"TRUUSDT","TRUUSDT#1685961120000",1685961120000,"0.0425000","0.0425000","0.0423800","0.0423800","505210",1685961179999,"21439.4260200",139,"85720","3639.1955200"
"TRUUSDT","TRUUSDT#1685961180000",1685961180000,"0.0423800","0.0424400","0.0423500","0.0423700","343761",1685961239999,"14571.1462600",121,"140276","5946.8889600"
"TRUUSDT","TRUUSDT#1685961240000",1685961240000,"0.0423700","0.0423900","0.0423600","0.0423700","74731",1685961299999,"3166.5232300",31,"56939","2412.6423400"
"TRUUSDT","TRUUSDT#1685961300000",1685961300000,"0.0423800","0.0424200","0.0423600","0.0423600","163692",1685961359999,"6939.1414300",43,"61292","2598.2216900"
"TRUUSDT","TRUUSDT#1685961360000",1685961360000,"0.0423600","0.0423900","0.0423500","0.0423900","158195",1685961419999,"6703.0726600",48,"104912","4445.6984900"
"TRUUSDT","TRUUSDT#1685961420000",1685961420000,"0.0424100","0.0424100","0.0423500","0.0423800","131492",1685961479999,"5572.0686800",56,"55117","2336.2130500"
"TRUUSDT","TRUUSDT#1685961480000",1685961480000,"0.0423800","0.0423800","0.0423200","0.0423500","185476",1685961539999,"7853.0332400",73,"43532","1843.2273100"
"TRUUSDT","TRUUSDT#1685961540000",1685961540000,"0.0423500","0.0423600","0.0422000","0.0422200","455409",1685961599999,"19249.4954500",154,"158028","6683.4527600"
"TRUUSDT","TRUUSDT#1685961600000",1685961600000,"0.0422200","0.0422700","0.0422100","0.0422300","430225",1685961659999,"18172.0994000",85,"209645","8855.1932400"
"TRUUSDT","TRUUSDT#1685961660000",1685961660000,"0.0422300","0.0422400","0.0421700","0.0421700","296803",1685961719999,"12528.5498000",89,"94352","3983.4042500"
"TRUUSDT","TRUUSDT#1685961720000",1685961720000,"0.0421700","0.0422000","0.0421500","0.0421900","311659",1685961779999,"13141.8226100",90,"139563","5885.5819700"
"TRUUSDT","TRUUSDT#1685961780000",1685961780000,"0.0421900","0.0422100","0.0421200","0.0421700","335262",1685961839999,"14135.2654000",108,"121382","5117.5956500"
