"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"VETUSDT","VETUSDT#1685988060000",1685988060000,"0.018560","0.018570","0.018520","0.018540","4190554",1685988119999,"77686.333910",283,"1798357","33338.516580"
"VETUSDT","VETUSDT#1685988120000",1685988120000,"0.018540","0.018540","0.018530","0.018540","1840265",1685988179999,"34109.267910",173,"1112255","20615.884890"
"VETUSDT","VETUSDT#1685988180000",1685988180000,"0.018550","0.018560","0.018530","0.018550","1358352",1685988239999,"25190.464350",114,"677652","12568.645660"
"VETUSDT","VETUSDT#1685988240000",1685988240000,"0.018550","0.018560","0.018540","0.018560","493448",1685988299999,"9153.317340",39,"208110","3860.480980"
"VETUSDT","VETUSDT#1685988300000",1685988300000,"0.018550","0.018560","0.018510","0.018510","3032788",1685988359999,"56223.281770",216,"812756","15065.878380"
"VETUSDT","VETUSDT#1685988360000",1685988360000,"0.018500","0.018540","0.018500","0.018540","3904164",1685988419999,"72334.495170",241,"2517725","46649.743810"
"VETUSDT","VETUSDT#1685988420000",1685988420000,"0.018540","0.018560","0.018540","0.018550","2643773",1685988479999,"49050.643250",96,"1230844","22837.266470"
"VETUSDT","VETUSDT#1685988480000",1685988480000,"0.018550","0.018550","0.018510","0.018510","1250522",1685988539999,"23172.152270",69,"238409","4415.710510"
"VETUSDT","VETUSDT#1685988540000",1685988540000,"0.018520","0.018560","0.018520","0.018550","858356",1685988599999,"15907.520390",66,"603949","11193.427980"
"VETUSDT","VETUSDT#1685988600000",1685988600000,"0.018550","0.018590","0.018540","0.018580","8164470",1685988659999,"151619.177820",608,"5145968","95553.331330"
"VETUSDT","VETUSDT#1685988660000",1685988660000,"0.018580","0.018600","0.018560","0.018560","844066",1685988719999,"15687.686990",78,"239035","4443.665300"
"VETUSDT","VETUSDT#1685988720000",1685988720000,"0.018560","0.018640","0.018560","0.018600","2956383",1685988779999,"54998.112710",156,"2438021","45345.543850"
"VETUSDT","VETUSDT#1685988780000",1685988780000,"0.018600","0.018630","0.018590","0.018620","1336488",1685988839999,"24865.386990",81,"921628","17148.170580"
"VETUSDT","VETUSDT#1685988840000",1685988840000,"0.018610","0.018620","0.018590","0.018610","2331881",1685988899999,"43384.026410",122,"916891","17061.806920"
"VETUSDT","VETUSDT#1685988900000",1685988900000,"0.018600","0.018600","0.018570","0.018580","1613522",1685988959999,"29994.107920",126,"622408","11570.360170"
"VETUSDT","VETUSDT#1685988960000",1685988960000,"0.018570","0.018610","0.018550","0.018600","3110678",1685989019999,"57805.619550",185,"2238168","41593.860230"
"VETUSDT","VETUSDT#1685989020000",1685989020000,"0.018610","0.018640","0.018600","0.018630","1471961",1685989079999,"27418.441150",95,"754680","14058.584910"
"VETUSDT","VETUSDT#1685989080000",1685989080000,"0.018620","0.018670","0.018620","0.018660","4047550",1685989139999,"75469.350110",235,"3001346","55966.429230"
"VETUSDT","VETUSDT#1685989140000",1685989140000,"0.018670","0.018670","0.018640","0.018650","1730445",1685989199999,"32272.741600",135,"493583","9205.633820"
"VETUSDT","VETUSDT#1685989200000",1685989200000,"0.018650","0.018660","0.018620","0.018620","1938906",1685989259999,"36145.415410",155,"393473","7338.109720"
"VETUSDT","VETUSDT#1685989260000",1685989260000,"0.018630","0.018640","0.018620","0.018620","1101224",1685989319999,"20515.516910",80,"733810","13671.142420"
"VETUSDT","VETUSDT#1685989320000",1685989320000,"0.018620","0.018670","0.018620","0.018660","2328221",1685989379999,"43414.727730",115,"1335465","24896.559020"
"VETUSDT","VETUSDT#1685989380000",1685989380000,"0.018650","0.018660","0.018620","0.018650","1863211",1685989439999,"34733.334980",97,"1103504","20571.340020"
"VETUSDT","VETUSDT#1685989440000",1685989440000,"0.018660","0.018660","0.018640","0.018650","770125",1685989499999,"14362.607130",64,"278418","5192.624590"
"VETUSDT","VETUSDT#1685989500000",1685989500000,"0.018660","0.018660","0.018630","0.018650","1937825",1685989559999,"36119.115660",111,"688152","12827.610880"
"VETUSDT","VETUSDT#1685989560000",1685989560000,"0.018640","0.018670","0.018640","0.018650","2284099",1685989619999,"42597.100420",115,"1090810","20346.522210"
"VETUSDT","VETUSDT#1685989620000",1685989620000,"0.018650","0.018650","0.018630","0.018640","738830",1685989679999,"13770.533130",56,"318748","5941.749700"
"VETUSDT","VETUSDT#1685989680000",1685989680000,"0.018640","0.018670","0.018640","0.018650","1113968",1685989739999,"20775.702330",66,"781898","14583.318350"
"VETUSDT","VETUSDT#1685989740000",1685989740000,"0.018640","0.018710","0.018640","0.018700","3562781",1685989799999,"66565.367160",227,"2323104","43403.670220"
"VETUSDT","VETUSDT#1685989800000",1685989800000,"0.018700","0.018710","0.018670","0.018680","3987566",1685989859999,"74509.796980",187,"1357887","25368.291370"
"VETUSDT","VETUSDT#1685989860000",1685989860000,"0.018680","0.018690","0.018670","0.018680","1613540",1685989919999,"30144.293870",127,"601526","11240.162980"
"VETUSDT","VETUSDT#1685989920000",1685989920000,"0.018670","0.018690","0.018640","0.018650","2982596",1685989979999,"55676.993630",168,"462775","8641.437130"
"VETUSDT","VETUSDT#1685989980000",1685989980000,"0.018640","0.018650","0.018620","0.018640","2856319",1685990039999,"53243.905680",178,"1037392","19337.164570"
