"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"WAVESUSDT","WAVESUSDT#1685995260000",1685995260000,"1.5625","1.5649","1.5624","1.5631","32859.5",1685995319999,"51380.29083",214,"15064.9","23553.50145"
"WAVESUSDT","WAVESUSDT#1685995320000",1685995320000,"1.5635","1.5635","1.5623","1.5629","8436.9",1685995379999,"13185.44684",103,"3290.1","5142.09452"
"WAVESUSDT","WAVESUSDT#1685995380000",1685995380000,"1.5627","1.5630","1.5621","1.5623","6289.3",1685995439999,"9827.71451",105,"1904.3","2975.88667"
"WAVESUSDT","WAVESUSDT#1685995440000",1685995440000,"1.5622","1.5623","1.5611","1.5613","14514.2",1685995499999,"22669.10908",67,"1667.3","2603.29625"
"WAVESUSDT","WAVESUSDT#1685995500000",1685995500000,"1.5612","1.5612","1.5604","1.5607","14438.6",1685995559999,"22533.75733",106,"9382.0","14642.18998"
"WAVESUSDT","WAVESUSDT#1685995560000",1685995560000,"1.5608","1.5614","1.5605","1.5608","5946.3",1685995619999,"9281.37343",61,"1758.6","2745.10204"
"WAVESUSDT","WAVESUSDT#1685995620000",1685995620000,"1.5608","1.5619","1.5608","1.5618","11063.6",1685995679999,"17275.63811",53,"7864.4","12280.59263"
"WAVESUSDT","WAVESUSDT#1685995680000",1685995680000,"1.5618","1.5619","1.5611","1.5614","4728.5",1685995739999,"7383.59830",48,"1915.5","2991.27312"
"WAVESUSDT","WAVESUSDT#1685995740000",1685995740000,"1.5616","1.5616","1.5603","1.5603","9582.7",1685995799999,"14956.21532",64,"5732.5","8946.11344"
"WAVESUSDT","WAVESUSDT#1685995800000",1685995800000,"1.5603","1.5610","1.5602","1.5610","4224.8",1685995859999,"6593.52591",42,"3611.7","5636.70130"
"WAVESUSDT","WAVESUSDT#1685995860000",1685995860000,"1.5613","1.5622","1.5613","1.5618","8815.6",1685995919999,"13768.22247",61,"6794.2","10610.78353"
"WAVESUSDT","WAVESUSDT#1685995920000",1685995920000,"1.5617","1.5617","1.5601","1.5612","6326.3",1685995979999,"9874.26566",45,"3845.6","6001.86905"
"WAVESUSDT","WAVESUSDT#1685995980000",1685995980000,"1.5611","1.5613","1.5610","1.5612","1059.2",1685996039999,"1653.56374",13,"452.4","706.31477"
"WAVESUSDT","WAVESUSDT#1685996040000",1685996040000,"1.5613","1.5624","1.5613","1.5624","9401.3",1685996099999,"14683.67077",72,"6779.8","10588.84113"
"WAVESUSDT","WAVESUSDT#1685996100000",1685996100000,"1.5623","1.5623","1.5599","1.5603","23288.8",1685996159999,"36353.18471",173,"8407.5","13125.81169"
"WAVESUSDT","WAVESUSDT#1685996160000",1685996160000,"1.5604","1.5605","1.5591","1.5594","8891.2",1685996219999,"13869.20013",70,"5995.3","9351.73868"
"WAVESUSDT","WAVESUSDT#1685996220000",1685996220000,"1.5594","1.5605","1.5594","1.5604","7308.9",1685996279999,"11402.17183",71,"4968.8","7751.62820"
"WAVESUSDT","WAVESUSDT#1685996280000",1685996280000,"1.5607","1.5615","1.5605","1.5615","10347.5",1685996339999,"16151.34637",52,"8683.9","13555.04399"
"WAVESUSDT","WAVESUSDT#1685996340000",1685996340000,"1.5613","1.5613","1.5602","1.5603","8437.4",1685996399999,"13166.78884",52,"1422.5","2219.43856"
"WAVESUSDT","WAVESUSDT#1685996400000",1685996400000,"1.5602","1.5602","1.5589","1.5598","15498.5",1685996459999,"24173.77252",123,"8881.3","13853.60834"
"WAVESUSDT","WAVESUSDT#1685996460000",1685996460000,"1.5600","1.5620","1.5599","1.5616","15588.9",1685996519999,"24332.90762",89,"12978.1","20256.86455"
"WAVESUSDT","WAVESUSDT#1685996520000",1685996520000,"1.5614","1.5623","1.5614","1.5620","4883.3",1685996579999,"7628.13252",52,"2759.1","4309.71833"
"WAVESUSDT","WAVESUSDT#1685996580000",1685996580000,"1.5621","1.5627","1.5612","1.5612","5738.7",1685996639999,"8963.85019",54,"1206.6","1885.16052"
"WAVESUSDT","WAVESUSDT#1685996640000",1685996640000,"1.5609","1.5610","1.5607","1.5609","2154.5",1685996699999,"3362.91943",34,"682.2","1064.81286"
"WAVESUSDT","WAVESUSDT#1685996700000",1685996700000,"1.5607","1.5607","1.5588","1.5588","17473.7",1685996759999,"27256.74118",119,"4101.4","6398.57379"
