"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"AAVEUSDT","AAVEUSDT#1686024060000",1686024060000,"60.110","60.120","60.100","60.120","146.6",1686024119999,"8812.5100",110,"64.9","3901.6990"
"AAVEUSDT","AAVEUSDT#1686024120000",1686024120000,"60.120","60.130","60.100","60.120","130.8",1686024179999,"7862.9700",92,"50.3","3023.8350"
"AAVEUSDT","AAVEUSDT#1686024180000",1686024180000,"60.110","60.130","60.090","60.110","215.1",1686024239999,"12929.9320",131,"110.0","6612.6680"
"AAVEUSDT","AAVEUSDT#1686024240000",1686024240000,"60.110","60.110","60.090","60.090","63.7",1686024299999,"3828.0600",39,"27.9","1676.7370"
"AAVEUSDT","AAVEUSDT#1686024300000",1686024300000,"60.080","60.110","60.080","60.100","61.5",1686024359999,"3695.9560",50,"45.8","2752.3900"
"AAVEUSDT","AAVEUSDT#1686024360000",1686024360000,"60.110","60.120","60.110","60.120","283.2",1686024419999,"17025.2910",140,"76.5","4598.8240"
"AAVEUSDT","AAVEUSDT#1686024420000",1686024420000,"60.110","60.130","60.100","60.110","261.7",1686024479999,"15732.5770",112,"62.3","3745.4320"
"AAVEUSDT","AAVEUSDT#1686024480000",1686024480000,"60.110","60.120","60.100","60.110","196.5",1686024539999,"11811.5410",87,"76.7","4610.7980"
"AAVEUSDT","AAVEUSDT#1686024540000",1686024540000,"60.110","60.130","60.090","60.100","313.2",1686024599999,"18825.9100",126,"147.4","8860.4400"
"AAVEUSDT","AAVEUSDT#1686024600000",1686024600000,"60.100","60.120","60.060","60.060","278.9",1686024659999,"16758.5860",78,"40.0","2404.2030"
"AAVEUSDT","AAVEUSDT#1686024660000",1686024660000,"60.060","60.070","60.060","60.060","103.7",1686024719999,"6228.3270",56,"10.5","630.7350"
"AAVEUSDT","AAVEUSDT#1686024720000",1686024720000,"60.060","60.080","60.050","60.050","114.6",1686024779999,"6883.6930",72,"38.6","2318.8770"
"AAVEUSDT","AAVEUSDT#1686024780000",1686024780000,"60.060","60.060","60.050","60.060","178.0",1686024839999,"10690.6430",51,"35.9","2156.1540"
"AAVEUSDT","AAVEUSDT#1686024840000",1686024840000,"60.060","60.060","60.020","60.030","286.5",1686024899999,"17202.8540",59,"27.4","1644.9570"
"AAVEUSDT","AAVEUSDT#1686024900000",1686024900000,"60.040","60.060","60.010","60.040","304.6",1686024959999,"18285.8020",123,"154.3","9263.7280"
"AAVEUSDT","AAVEUSDT#1686024960000",1686024960000,"60.030","60.040","60.020","60.040","126.3",1686025019999,"7582.1260",32,"25.1","1506.7930"
"AAVEUSDT","AAVEUSDT#1686025020000",1686025020000,"60.050","60.060","60.040","60.060","113.4",1686025079999,"6810.2290",66,"51.7","3104.9050"
"AAVEUSDT","AAVEUSDT#1686025080000",1686025080000,"60.060","60.090","60.060","60.080","477.5",1686025139999,"28689.4950",88,"323.0","19406.7080"
"AAVEUSDT","AAVEUSDT#1686025140000",1686025140000,"60.080","60.090","60.080","60.090","264.2",1686025199999,"15875.5990",65,"66.7","4008.0030"
"AAVEUSDT","AAVEUSDT#1686025200000",1686025200000,"60.090","60.100","60.080","60.100","443.7",1686025259999,"26662.9340",145,"133.7","8034.6800"
"AAVEUSDT","AAVEUSDT#1686025260000",1686025260000,"60.110","60.150","60.110","60.130","407.8",1686025319999,"24523.3430",123,"70.2","4220.9750"
"AAVEUSDT","AAVEUSDT#1686025320000",1686025320000,"60.130","60.170","60.130","60.170","178.0",1686025379999,"10705.0030",89,"99.1","5960.0660"
"AAVEUSDT","AAVEUSDT#1686025380000",1686025380000,"60.170","60.200","60.170","60.200","222.3",1686025439999,"13379.4460",88,"124.3","7481.9560"
"AAVEUSDT","AAVEUSDT#1686025440000",1686025440000,"60.200","60.200","60.130","60.170","941.5",1686025499999,"56651.4030",247,"103.4","6219.9200"
"AAVEUSDT","AAVEUSDT#1686025500000",1686025500000,"60.170","60.220","60.160","60.210","145.6",1686025559999,"8765.1840",73,"99.7","6001.7350"
"AAVEUSDT","AAVEUSDT#1686025560000",1686025560000,"60.210","60.260","60.210","60.260","120.1",1686025619999,"7235.0930",112,"69.9","4210.8360"
"AAVEUSDT","AAVEUSDT#1686025620000",1686025620000,"60.250","60.270","60.250","60.270","45.8",1686025679999,"2759.8440",44,"32.6","1964.5030"
"AAVEUSDT","AAVEUSDT#1686025680000",1686025680000,"60.260","60.290","60.260","60.270","411.3",1686025739999,"24792.4520",104,"53.5","3224.5840"
"AAVEUSDT","AAVEUSDT#1686025740000",1686025740000,"60.280","60.290","60.270","60.290","69.8",1686025799999,"4207.7410",44,"64.2","3870.2290"
"AAVEUSDT","AAVEUSDT#1686025800000",1686025800000,"60.290","60.290","60.280","60.290","106.9",1686025859999,"6444.6250",57,"69.3","4178.0970"
"AAVEUSDT","AAVEUSDT#1686025860000",1686025860000,"60.290","60.350","60.280","60.290","1380.8",1686025919999,"83277.9850",341,"621.6","37493.6640"
"AAVEUSDT","AAVEUSDT#1686025920000",1686025920000,"60.290","60.370","60.280","60.360","1090.2",1686025979999,"65776.0410",262,"783.1","47253.1450"
"AAVEUSDT","AAVEUSDT#1686025980000",1686025980000,"60.360","60.370","60.350","60.350","358.0",1686026039999,"21607.6450",148,"7.2","434.6570"
"AAVEUSDT","AAVEUSDT#1686026040000",1686026040000,"60.350","60.400","60.350","60.390","855.6",1686026099999,"51666.3600",191,"641.2","38721.8820"
"AAVEUSDT","AAVEUSDT#1686026100000",1686026100000,"60.380","60.430","60.380","60.390","1299.3",1686026159999,"78485.0410",252,"701.7","42387.8660"
"AAVEUSDT","AAVEUSDT#1686026160000",1686026160000,"60.390","60.400","60.310","60.330","985.9",1686026219999,"59499.4470",423,"175.6","10597.2940"
"AAVEUSDT","AAVEUSDT#1686026220000",1686026220000,"60.320","60.330","60.260","60.260","627.3",1686026279999,"37813.5020",240,"117.5","7083.3000"
"AAVEUSDT","AAVEUSDT#1686026280000",1686026280000,"60.260","60.300","60.250","60.250","469.9",1686026339999,"28318.7380",233,"156.1","9409.5330"
"AAVEUSDT","AAVEUSDT#1686026340000",1686026340000,"60.250","60.250","60.220","60.220","519.8",1686026399999,"31311.6250",197,"77.1","4643.6220"
"AAVEUSDT","AAVEUSDT#1686026400000",1686026400000,"60.230","60.300","60.210","60.290","1021.5",1686026459999,"61563.3790",245,"834.6","50305.0150"
"AAVEUSDT","AAVEUSDT#1686026460000",1686026460000,"60.280","60.280","60.270","60.270","101.8",1686026519999,"6136.1190",75,"2.2","132.6160"
"AAVEUSDT","AAVEUSDT#1686026520000",1686026520000,"60.270","60.270","60.250","60.250","230.1",1686026579999,"13865.6350",129,"44.0","2651.2970"
"AAVEUSDT","AAVEUSDT#1686026580000",1686026580000,"60.260","60.280","60.250","60.270","424.2",1686026639999,"25563.3190",154,"200.2","12066.1830"
"AAVEUSDT","AAVEUSDT#1686026640000",1686026640000,"60.270","60.280","60.260","60.260","35.7",1686026699999,"2151.6090",20,"6.2","373.7140"
"AAVEUSDT","AAVEUSDT#1686026700000",1686026700000,"60.260","60.290","60.260","60.280","173.3",1686026759999,"10445.7880",78,"158.8","9572.0100"
"AAVEUSDT","AAVEUSDT#1686026760000",1686026760000,"60.280","60.300","60.280","60.290","260.7",1686026819999,"15718.2000",111,"119.7","7217.4160"
"AAVEUSDT","AAVEUSDT#1686026820000",1686026820000,"60.280","60.290","60.270","60.280","284.1",1686026879999,"17125.8080",64,"88.2","5317.2700"
"AAVEUSDT","AAVEUSDT#1686026880000",1686026880000,"60.280","60.280","60.230","60.250","483.6",1686026939999,"29140.6090",102,"66.5","4007.0270"
"AAVEUSDT","AAVEUSDT#1686026940000",1686026940000,"60.250","60.270","60.250","60.260","109.5",1686026999999,"6598.3560",53,"106.6","6423.6050"
"AAVEUSDT","AAVEUSDT#1686027000000",1686027000000,"60.270","60.290","60.270","60.280","95.5",1686027059999,"5756.2050",57,"72.4","4363.8160"
