"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ARUSDT","ARUSDT#1686013260000",1686013260000,"6.343","6.345","6.341","6.341","750.4",1686013319999,"4759.9421",55,"232.8","1476.9737"
"ARUSDT","ARUSDT#1686013320000",1686013320000,"6.341","6.341","6.338","6.340","611.1",1686013379999,"3874.1918",33,"441.8","2800.8029"
"ARUSDT","ARUSDT#1686013380000",1686013380000,"6.340","6.343","6.340","6.343","600.5",1686013439999,"3808.2639",41,"517.5","3281.7949"
"ARUSDT","ARUSDT#1686013440000",1686013440000,"6.341","6.341","6.332","6.332","766.2",1686013499999,"4856.3802",40,"58.1","368.3340"
"ARUSDT","ARUSDT#1686013500000",1686013500000,"6.333","6.336","6.331","6.334","1026.3",1686013559999,"6500.7315",55,"511.2","3238.1102"
"ARUSDT","ARUSDT#1686013560000",1686013560000,"6.334","6.334","6.320","6.320","512.9",1686013619999,"3244.8695",44,"4.1","25.9284"
"ARUSDT","ARUSDT#1686013620000",1686013620000,"6.319","6.321","6.312","6.312","764.9",1686013679999,"4832.1279",44,"176.4","1114.9504"
"ARUSDT","ARUSDT#1686013680000",1686013680000,"6.316","6.316","6.311","6.312","253.6",1686013739999,"1601.4237",12,"19.7","124.3500"
"ARUSDT","ARUSDT#1686013740000",1686013740000,"6.311","6.311","6.307","6.310","905.5",1686013799999,"5712.7707",39,"243.3","1535.0025"
"ARUSDT","ARUSDT#1686013800000",1686013800000,"6.308","6.310","6.303","6.310","980.8",1686013859999,"6185.1137",50,"728.8","4596.1892"
"ARUSDT","ARUSDT#1686013860000",1686013860000,"6.309","6.309","6.304","6.304","321.6",1686013919999,"2028.3245",18,"78.1","492.7329"
"ARUSDT","ARUSDT#1686013920000",1686013920000,"6.304","6.307","6.302","6.307","755.0",1686013979999,"4759.6680",51,"513.7","3238.5965"
"ARUSDT","ARUSDT#1686013980000",1686013980000,"6.307","6.307","6.305","6.305","227.5",1686014039999,"1434.6385",14,"0.0","0.0000"
"ARUSDT","ARUSDT#1686014040000",1686014040000,"6.304","6.305","6.294","6.294","1077.6",1686014099999,"6787.7317",58,"176.4","1111.6695"
"ARUSDT","ARUSDT#1686014100000",1686014100000,"6.295","6.308","6.295","6.308","1182.8",1686014159999,"7454.9522",80,"990.7","6244.3177"
"ARUSDT","ARUSDT#1686014160000",1686014160000,"6.308","6.309","6.306","6.308","163.7",1686014219999,"1032.5123",19,"111.1","700.7279"
"ARUSDT","ARUSDT#1686014220000",1686014220000,"6.306","6.307","6.303","6.304","703.6",1686014279999,"4435.6335",32,"122.4","771.7561"
"ARUSDT","ARUSDT#1686014280000",1686014280000,"6.305","6.306","6.300","6.300","618.1",1686014339999,"3895.3170",23,"175.9","1109.0619"
"ARUSDT","ARUSDT#1686014340000",1686014340000,"6.300","6.300","6.295","6.299","583.3",1686014399999,"3673.5339",35,"410.8","2587.2889"
"ARUSDT","ARUSDT#1686014400000",1686014400000,"6.299","6.299","6.294","6.299","731.2",1686014459999,"4604.1998",45,"351.7","2215.0172"
"ARUSDT","ARUSDT#1686014460000",1686014460000,"6.299","6.303","6.296","6.299","876.5",1686014519999,"5522.0468",40,"624.1","3932.0483"
"ARUSDT","ARUSDT#1686014520000",1686014520000,"6.298","6.303","6.298","6.302","205.7",1686014579999,"1296.1052",13,"178.1","1122.1700"
"ARUSDT","ARUSDT#1686014580000",1686014580000,"6.302","6.303","6.300","6.301","388.4",1686014639999,"2447.8003",25,"281.1","1771.7028"
"ARUSDT","ARUSDT#1686014640000",1686014640000,"6.301","6.302","6.299","6.301","293.1",1686014699999,"1846.8870",23,"192.8","1214.9121"
"ARUSDT","ARUSDT#1686014700000",1686014700000,"6.302","6.303","6.293","6.302","1142.9",1686014759999,"7195.7974",51,"259.3","1633.3147"
"ARUSDT","ARUSDT#1686014760000",1686014760000,"6.300","6.304","6.300","6.303","247.8",1686014819999,"1561.7795",17,"213.4","1344.9237"
"ARUSDT","ARUSDT#1686014820000",1686014820000,"6.302","6.302","6.288","6.288","850.0",1686014879999,"5350.8532",51,"134.7","848.6695"
"ARUSDT","ARUSDT#1686014880000",1686014880000,"6.288","6.289","6.277","6.280","1312.9",1686014939999,"8248.1099",78,"479.6","3012.8609"
"ARUSDT","ARUSDT#1686014940000",1686014940000,"6.278","6.281","6.278","6.279","386.5",1686014999999,"2426.7486",32,"158.0","992.1717"
"ARUSDT","ARUSDT#1686015000000",1686015000000,"6.279","6.279","6.275","6.275","781.3",1686015059999,"4903.8677",59,"452.2","2838.2624"
"ARUSDT","ARUSDT#1686015060000",1686015060000,"6.277","6.278","6.276","6.278","133.8",1686015119999,"839.9212",15,"90.1","565.6379"
"ARUSDT","ARUSDT#1686015120000",1686015120000,"6.277","6.277","6.262","6.263","3873.1",1686015179999,"24279.7302",121,"253.1","1585.9640"
"ARUSDT","ARUSDT#1686015180000",1686015180000,"6.264","6.264","6.263","6.264","352.8",1686015239999,"2209.9054",45,"272.9","1709.4456"
"ARUSDT","ARUSDT#1686015240000",1686015240000,"6.264","6.265","6.261","6.263","815.7",1686015299999,"5108.5810",76,"494.0","3094.0385"
