"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BANDUSDT","BANDUSDT#1686052860000",1686052860000,"1.2899","1.2913","1.2896","1.2911","9422.7",1686052919999,"12158.39304",154,"8394.7","10832.14097"
"BANDUSDT","BANDUSDT#1686052920000",1686052920000,"1.2911","1.2914","1.2909","1.2913","4919.2",1686052979999,"6351.16872",77,"4088.2","5278.25850"
"BANDUSDT","BANDUSDT#1686052980000",1686052980000,"1.2914","1.2915","1.2909","1.2912","5155.4",1686053039999,"6656.88780",44,"2857.8","3690.23547"
"BANDUSDT","BANDUSDT#1686053040000",1686053040000,"1.2912","1.2913","1.2904","1.2904","4684.7",1686053099999,"6047.35557",53,"360.9","465.96357"
"BANDUSDT","BANDUSDT#1686053100000",1686053100000,"1.2905","1.2909","1.2894","1.2894","11351.7",1686053159999,"14645.45323",96,"3890.1","5020.07402"
"BANDUSDT","BANDUSDT#1686053160000",1686053160000,"1.2893","1.2899","1.2893","1.2898","2235.7",1686053219999,"2882.79602",37,"1816.6","2342.42453"
"BANDUSDT","BANDUSDT#1686053220000",1686053220000,"1.2898","1.2901","1.2896","1.2896","2672.4",1686053279999,"3447.02712",40,"1567.2","2021.50591"
"BANDUSDT","BANDUSDT#1686053280000",1686053280000,"1.2897","1.2905","1.2897","1.2898","6252.7",1686053339999,"8065.94325",42,"3305.3","4263.11600"
"BANDUSDT","BANDUSDT#1686053340000",1686053340000,"1.2898","1.2903","1.2898","1.2900","2155.2",1686053399999,"2780.13301",36,"1400.6","1806.75753"
"BANDUSDT","BANDUSDT#1686053400000",1686053400000,"1.2900","1.2900","1.2868","1.2876","39339.5",1686053459999,"50694.00861",287,"22286.0","28720.59252"
"BANDUSDT","BANDUSDT#1686053460000",1686053460000,"1.2873","1.2874","1.2777","1.2784","180211.8",1686053519999,"231094.73426",791,"44325.2","56811.62054"
"BANDUSDT","BANDUSDT#1686053520000",1686053520000,"1.2777","1.2810","1.2774","1.2786","40602.0",1686053579999,"51935.69024",244,"17937.3","22938.70745"
"BANDUSDT","BANDUSDT#1686053580000",1686053580000,"1.2790","1.2796","1.2724","1.2730","63602.1",1686053639999,"81202.79160",429,"19291.7","24632.78099"
"BANDUSDT","BANDUSDT#1686053640000",1686053640000,"1.2725","1.2738","1.2640","1.2704","93526.9",1686053699999,"118697.51464",748,"41967.0","53255.20255"
"BANDUSDT","BANDUSDT#1686053700000",1686053700000,"1.2704","1.2787","1.2695","1.2786","46786.4",1686053759999,"59582.87103",297,"20248.2","25796.59726"
"BANDUSDT","BANDUSDT#1686053760000",1686053760000,"1.2787","1.2798","1.2776","1.2793","37071.5",1686053819999,"47409.19006",185,"13466.5","17222.13033"
"BANDUSDT","BANDUSDT#1686053820000",1686053820000,"1.2793","1.2845","1.2793","1.2841","44517.8",1686053879999,"57100.57671",282,"23670.5","30349.23368"
"BANDUSDT","BANDUSDT#1686053880000",1686053880000,"1.2841","1.2888","1.2841","1.2870","75565.0",1686053939999,"97252.55524",364,"34168.4","43969.71852"
"BANDUSDT","BANDUSDT#1686053940000",1686053940000,"1.2868","1.2880","1.2858","1.2868","41419.1",1686053999999,"53314.74758",195,"14597.0","18788.78808"
"BANDUSDT","BANDUSDT#1686054000000",1686054000000,"1.2872","1.2880","1.2850","1.2852","45856.7",1686054059999,"58993.12788",235,"18304.2","23547.00049"
"BANDUSDT","BANDUSDT#1686054060000",1686054060000,"1.2850","1.2869","1.2848","1.2864","7799.6",1686054119999,"10030.39330",88,"4528.5","5824.59378"
"BANDUSDT","BANDUSDT#1686054120000",1686054120000,"1.2866","1.2870","1.2833","1.2835","20687.7",1686054179999,"26579.56131",141,"7782.0","9996.82416"
"BANDUSDT","BANDUSDT#1686054180000",1686054180000,"1.2834","1.2834","1.2815","1.2829","11783.9",1686054239999,"15113.61157",100,"7163.4","9187.24520"
"BANDUSDT","BANDUSDT#1686054240000",1686054240000,"1.2829","1.2830","1.2801","1.2822","20156.9",1686054299999,"25833.84007",167,"13719.6","17583.72033"
"BANDUSDT","BANDUSDT#1686054300000",1686054300000,"1.2819","1.2845","1.2803","1.2827","36459.9",1686054359999,"46750.79864",225,"12615.2","16178.49010"
"BANDUSDT","BANDUSDT#1686054360000",1686054360000,"1.2826","1.2832","1.2805","1.2808","7427.7",1686054419999,"9521.40616",81,"3281.8","4206.37675"
"BANDUSDT","BANDUSDT#1686054420000",1686054420000,"1.2809","1.2809","1.2782","1.2795","17117.8",1686054479999,"21900.97880",114,"9679.2","12385.08977"
"BANDUSDT","BANDUSDT#1686054480000",1686054480000,"1.2791","1.2800","1.2788","1.2798","6808.1",1686054539999,"8708.90308",57,"4784.1","6119.61695"
"BANDUSDT","BANDUSDT#1686054540000",1686054540000,"1.2796","1.2797","1.2780","1.2782","8583.9",1686054599999,"10976.49531",85,"4249.7","5434.75027"
"BANDUSDT","BANDUSDT#1686054600000",1686054600000,"1.2782","1.2801","1.2781","1.2789","23522.2",1686054659999,"30088.77927",168,"11115.8","14218.21943"
"BANDUSDT","BANDUSDT#1686054660000",1686054660000,"1.2790","1.2803","1.2782","1.2786","17021.6",1686054719999,"21775.75723",147,"8105.5","10368.84734"
