"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DENTUSDT","DENTUSDT#1686074460000",1686074460000,"0.000797","0.000798","0.000797","0.000797","1174258",1686074519999,"936.268091",24,"384465","306.803070"
"DENTUSDT","DENTUSDT#1686074520000",1686074520000,"0.000798","0.000798","0.000797","0.000797","2459126",1686074579999,"1961.373903",13,"1450481","1157.483838"
"DENTUSDT","DENTUSDT#1686074580000",1686074580000,"0.000797","0.000798","0.000797","0.000797","202541",1686074639999,"161.426259",10,"1082","0.863436"
"DENTUSDT","DENTUSDT#1686074640000",1686074640000,"0.000798","0.000798","0.000797","0.000797","1173983",1686074699999,"936.098795",13,"434344","346.606512"
"DENTUSDT","DENTUSDT#1686074700000",1686074700000,"0.000797","0.000799","0.000797","0.000798","23565218",1686074759999,"18805.039926",81,"14412781","11501.430536"
"DENTUSDT","DENTUSDT#1686074760000",1686074760000,"0.000798","0.000799","0.000797","0.000798","5328296",1686074819999,"4251.920046",20,"4910168","3918.320330"
"DENTUSDT","DENTUSDT#1686074820000",1686074820000,"0.000797","0.000798","0.000797","0.000797","579422",1686074879999,"462.210956",9,"411622","328.474356"
"DENTUSDT","DENTUSDT#1686074880000",1686074880000,"0.000798","0.000799","0.000798","0.000799","21322358",1686074939999,"17015.260482",59,"11610230","9264.982338"
"DENTUSDT","DENTUSDT#1686074940000",1686074940000,"0.000798","0.000799","0.000797","0.000797","4409052",1686074999999,"3518.310466",36,"322987","258.066613"
"DENTUSDT","DENTUSDT#1686075000000",1686075000000,"0.000798","0.000799","0.000798","0.000798","9936484",1686075059999,"7929.339296",40,"5038966","4021.119932"
"DENTUSDT","DENTUSDT#1686075060000",1686075060000,"0.000799","0.000800","0.000798","0.000799","10771206",1686075119999,"8606.216254",46,"8509474","6799.094758"
"DENTUSDT","DENTUSDT#1686075120000",1686075120000,"0.000799","0.000800","0.000798","0.000798","19602000",1686075179999,"15659.268557",52,"8409886","6719.511430"
"DENTUSDT","DENTUSDT#1686075180000",1686075180000,"0.000799","0.000800","0.000798","0.000798","9289864",1686075239999,"7422.611126",34,"5314037","4245.934337"
"DENTUSDT","DENTUSDT#1686075240000",1686075240000,"0.000799","0.000799","0.000798","0.000798","610820",1686075299999,"487.578046",12,"143686","114.805114"
"DENTUSDT","DENTUSDT#1686075300000",1686075300000,"0.000799","0.000799","0.000798","0.000798","8145586",1686075359999,"6500.332833",38,"2101059","1676.800287"
"DENTUSDT","DENTUSDT#1686075360000",1686075360000,"0.000799","0.000800","0.000798","0.000799","9734200",1686075419999,"7777.629686",32,"5610580","4482.859678"
"DENTUSDT","DENTUSDT#1686075420000",1686075420000,"0.000798","0.000799","0.000798","0.000798","987489",1686075479999,"788.664746",18,"648524","518.170676"
"DENTUSDT","DENTUSDT#1686075480000",1686075480000,"0.000798","0.000799","0.000798","0.000799","1452716",1686075539999,"1159.737882",7,"470514","375.940686"
"DENTUSDT","DENTUSDT#1686075540000",1686075540000,"0.000799","0.000799","0.000798","0.000798","732843",1686075599999,"585.448745",7,"640031","511.384769"
"DENTUSDT","DENTUSDT#1686075600000",1686075600000,"0.000798","0.000798","0.000798","0.000798","1578383",1686075659999,"1259.549634",12,"0","0.000000"
"DENTUSDT","DENTUSDT#1686075660000",1686075660000,"0.000798","0.000798","0.000798","0.000798","835999",1686075719999,"667.127202",11,"0","0.000000"
"DENTUSDT","DENTUSDT#1686075720000",1686075720000,"0.000798","0.000798","0.000798","0.000798","33759",1686075779999,"26.939682",4,"0","0.000000"
"DENTUSDT","DENTUSDT#1686075780000",1686075780000,"0.000799","0.000799","0.000798","0.000799","2551845",1686075839999,"2038.062700",16,"1690390","1350.621610"
"DENTUSDT","DENTUSDT#1686075840000",1686075840000,"0.000799","0.000799","0.000798","0.000798","211324",1686075899999,"168.671056",5,"34504","27.568696"
"DENTUSDT","DENTUSDT#1686075900000",1686075900000,"0.000798","0.000799","0.000798","0.000798","1284934",1686075959999,"1025.478057",16,"100725","80.479275"
"DENTUSDT","DENTUSDT#1686075960000",1686075960000,"0.000799","0.000799","0.000798","0.000798","182744",1686076019999,"145.881657",6,"51945","41.504055"
"DENTUSDT","DENTUSDT#1686076020000",1686076020000,"0.000799","0.000800","0.000798","0.000798","11996836",1686076079999,"9577.979377",42,"3230409","2581.103049"
"DENTUSDT","DENTUSDT#1686076080000",1686076080000,"0.000799","0.000799","0.000798","0.000798","205653",1686076139999,"164.183732",8,"72638","58.037762"
"DENTUSDT","DENTUSDT#1686076140000",1686076140000,"0.000798","0.000799","0.000798","0.000798","23065",1686076199999,"18.406123",6,"253","0.202147"
"DENTUSDT","DENTUSDT#1686076200000",1686076200000,"0.000798","0.000799","0.000797","0.000799","21180423",1686076259999,"16901.993980",75,"10091977","8053.416444"
"DENTUSDT","DENTUSDT#1686076260000",1686076260000,"0.000798","0.000799","0.000797","0.000798","16841777",1686076319999,"13439.767004",79,"4954811","3953.970508"
"DENTUSDT","DENTUSDT#1686076320000",1686076320000,"0.000799","0.000799","0.000797","0.000799","18007650",1686076379999,"14369.014699",73,"8025310","6404.707578"
"DENTUSDT","DENTUSDT#1686076380000",1686076380000,"0.000798","0.000799","0.000797","0.000797","11158343",1686076439999,"8904.982439",54,"4040931","3225.290035"
"DENTUSDT","DENTUSDT#1686076440000",1686076440000,"0.000798","0.000798","0.000797","0.000797","6721922",1686076499999,"5360.091601",26,"2719767","2170.374066"
"DENTUSDT","DENTUSDT#1686076500000",1686076500000,"0.000797","0.000798","0.000796","0.000797","23578789",1686076559999,"18792.110183",124,"11043399","8801.649242"
"DENTUSDT","DENTUSDT#1686076560000",1686076560000,"0.000796","0.000797","0.000796","0.000797","4269431",1686076619999,"3402.721198",14,"3542376","2823.273672"
"DENTUSDT","DENTUSDT#1686076620000",1686076620000,"0.000797","0.000797","0.000797","0.000797","141686",1686076679999,"112.923742",6,"0","0.000000"
"DENTUSDT","DENTUSDT#1686076680000",1686076680000,"0.000797","0.000797","0.000797","0.000797","422218",1686076739999,"336.507746",9,"0","0.000000"
"DENTUSDT","DENTUSDT#1686076740000",1686076740000,"0.000797","0.000797","0.000797","0.000797","1372764",1686076799999,"1094.092908",3,"0","0.000000"
"DENTUSDT","DENTUSDT#1686076800000",1686076800000,"0.000798","0.000799","0.000797","0.000798","19811823",1686076859999,"15810.380222",44,"19596373","15638.451529"
"DENTUSDT","DENTUSDT#1686076860000",1686076860000,"0.000799","0.000799","0.000798","0.000798","293961",1686076919999,"234.786320",6,"205442","164.148158"
"DENTUSDT","DENTUSDT#1686076920000",1686076920000,"0.000798","0.000798","0.000798","0.000798","2373",1686076979999,"1.893654",2,"0","0.000000"
"DENTUSDT","DENTUSDT#1686076980000",1686076980000,"0.000798","0.000798","0.000798","0.000798","2373",1686077039999,"1.893654",2,"0","0.000000"
"DENTUSDT","DENTUSDT#1686077040000",1686077040000,"0.000798","0.000798","0.000798","0.000798","145302",1686077099999,"115.950996",3,"0","0.000000"
"DENTUSDT","DENTUSDT#1686077100000",1686077100000,"0.000799","0.000799","0.000798","0.000798","20296450",1686077159999,"16196.852811",85,"6528676","5210.169159"
"DENTUSDT","DENTUSDT#1686077160000",1686077160000,"0.000798","0.000798","0.000798","0.000798","417400",1686077219999,"333.085200",6,"0","0.000000"
"DENTUSDT","DENTUSDT#1686077220000",1686077220000,"0.000798","0.000798","0.000798","0.000798","812370",1686077279999,"648.271260",10,"0","0.000000"
"DENTUSDT","DENTUSDT#1686077280000",1686077280000,"0.000798","0.000799","0.000798","0.000799","237335",1686077339999,"189.628292",4,"234962","187.734638"
"DENTUSDT","DENTUSDT#1686077340000",1686077340000,"0.000798","0.000798","0.000798","0.000798","385062",1686077399999,"307.279476",8,"0","0.000000"
"DENTUSDT","DENTUSDT#1686077400000",1686077400000,"0.000798","0.000799","0.000798","0.000798","12236561",1686077459999,"9765.082696",60,"5229341","4173.321136"
"DENTUSDT","DENTUSDT#1686077460000",1686077460000,"0.000799","0.000799","0.000798","0.000798","147957",1686077519999,"118.075952",6,"6266","5.006534"
"DENTUSDT","DENTUSDT#1686077520000",1686077520000,"0.000798","0.000798","0.000798","0.000798","69526",1686077579999,"55.481748",5,"0","0.000000"
"DENTUSDT","DENTUSDT#1686077580000",1686077580000,"0.000798","0.000799","0.000797","0.000799","11558300",1686077639999,"9222.790668",55,"6322969","5046.117733"
"DENTUSDT","DENTUSDT#1686077640000",1686077640000,"0.000798","0.000799","0.000798","0.000798","2043492",1686077699999,"1630.912034",9,"205418","164.128982"
"DENTUSDT","DENTUSDT#1686077700000",1686077700000,"0.000798","0.000799","0.000798","0.000798","4593491",1686077759999,"3668.619930",22,"3014112","2408.275488"
