"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DGBUSDT","DGBUSDT#1686024060000",1686024060000,"0.00735","0.00735","0.00734","0.00734","325453",1686024119999,"2390.76875",26,"194373","1428.64155"
"DGBUSDT","DGBUSDT#1686024120000",1686024120000,"0.00734","0.00735","0.00734","0.00735","121143",1686024179999,"890.33002",12,"114040","838.19400"
"DGBUSDT","DGBUSDT#1686024180000",1686024180000,"0.00735","0.00735","0.00734","0.00735","35576",1686024239999,"261.41211",15,"28427","208.93845"
"DGBUSDT","DGBUSDT#1686024240000",1686024240000,"0.00734","0.00735","0.00734","0.00734","53834",1686024299999,"395.15781",8,"1625","11.94375"
"DGBUSDT","DGBUSDT#1686024300000",1686024300000,"0.00735","0.00735","0.00734","0.00735","283748",1686024359999,"2085.31175",17,"260143","1912.05105"
"DGBUSDT","DGBUSDT#1686024360000",1686024360000,"0.00734","0.00735","0.00734","0.00734","123027",1686024419999,"903.30720",11,"28902","212.42970"
"DGBUSDT","DGBUSDT#1686024420000",1686024420000,"0.00735","0.00735","0.00735","0.00735","882",1686024479999,"6.48270",1,"882","6.48270"
"DGBUSDT","DGBUSDT#1686024480000",1686024480000,"0.00734","0.00735","0.00734","0.00735","61679",1686024539999,"453.00750",5,"28364","208.47540"
"DGBUSDT","DGBUSDT#1686024540000",1686024540000,"0.00734","0.00735","0.00734","0.00735","318137",1686024599999,"2337.49677",27,"237119","1742.82465"
"DGBUSDT","DGBUSDT#1686024600000",1686024600000,"0.00734","0.00735","0.00734","0.00735","146378",1686024659999,"1075.25271",7,"83819","616.06965"
"DGBUSDT","DGBUSDT#1686024660000",1686024660000,"0.00735","0.00735","0.00734","0.00734","131729",1686024719999,"967.34913",15,"45827","336.82845"
"DGBUSDT","DGBUSDT#1686024720000",1686024720000,"0.00735","0.00735","0.00735","0.00735","165278",1686024779999,"1214.79330",13,"165278","1214.79330"
"DGBUSDT","DGBUSDT#1686024780000",1686024780000,"0.00735","0.00735","0.00734","0.00734","33226",1686024839999,"244.14059",2,"26175","192.38625"
"DGBUSDT","DGBUSDT#1686024840000",1686024840000,"0.00735","0.00735","0.00735","0.00735","117071",1686024899999,"860.47185",6,"117071","860.47185"
"DGBUSDT","DGBUSDT#1686024900000",1686024900000,"0.00734","0.00735","0.00734","0.00734","135350",1686024959999,"994.61372",9,"114472","841.36920"
"DGBUSDT","DGBUSDT#1686024960000",1686024960000,"0.00735","0.00735","0.00734","0.00735","206240",1686025019999,"1514.63558",11,"83398","612.97530"
"DGBUSDT","DGBUSDT#1686025020000",1686025020000,"0.00734","0.00735","0.00734","0.00734","83397",1686025079999,"612.55886",7,"42488","312.28680"
"DGBUSDT","DGBUSDT#1686025080000",1686025080000,"0.00735","0.00735","0.00734","0.00735","107008",1686025139999,"786.39630",8,"95758","703.82130"
"DGBUSDT","DGBUSDT#1686025140000",1686025140000,"0.00735","0.00735","0.00735","0.00735","24960",1686025199999,"183.45600",2,"24960","183.45600"
"DGBUSDT","DGBUSDT#1686025200000",1686025200000,"0.00734","0.00736","0.00734","0.00736","397106",1686025259999,"2918.54639",31,"323975","2381.33677"
"DGBUSDT","DGBUSDT#1686025260000",1686025260000,"0.00735","0.00736","0.00734","0.00734","2315169",1686025319999,"17016.25187",62,"56700","417.31200"
"DGBUSDT","DGBUSDT#1686025320000",1686025320000,"0.00735","0.00735","0.00735","0.00735","404009",1686025379999,"2969.46615",10,"404009","2969.46615"
"DGBUSDT","DGBUSDT#1686025380000",1686025380000,"0.00735","0.00735","0.00735","0.00735","1026579",1686025439999,"7545.35565",54,"118967","874.40745"
"DGBUSDT","DGBUSDT#1686025440000",1686025440000,"0.00736","0.00736","0.00735","0.00735","114768",1686025499999,"844.67696",9,"113216","833.26976"
"DGBUSDT","DGBUSDT#1686025500000",1686025500000,"0.00736","0.00736","0.00734","0.00735","641578",1686025559999,"4716.25361",48,"226953","1668.85806"
"DGBUSDT","DGBUSDT#1686025560000",1686025560000,"0.00734","0.00735","0.00734","0.00735","155822",1686025619999,"1145.14098",15,"135977","999.43095"
"DGBUSDT","DGBUSDT#1686025620000",1686025620000,"0.00736","0.00736","0.00735","0.00735","33698",1686025679999,"247.82005",3,"13975","102.85600"
"DGBUSDT","DGBUSDT#1686025680000",1686025680000,"0.00735","0.00735","0.00735","0.00735","37716",1686025739999,"277.21260",4,"0","0.00000"
"DGBUSDT","DGBUSDT#1686025740000",1686025740000,"0.00736","0.00736","0.00735","0.00735","139121",1686025799999,"1023.86066",5,"132131","972.48416"
"DGBUSDT","DGBUSDT#1686025800000",1686025800000,"0.00736","0.00737","0.00736","0.00736","1298562",1686025859999,"9558.64134",58,"1217296","8960.52358"
"DGBUSDT","DGBUSDT#1686025860000",1686025860000,"0.00737","0.00737","0.00737","0.00737","142940",1686025919999,"1053.46780",11,"39175","288.71975"
"DGBUSDT","DGBUSDT#1686025920000",1686025920000,"0.00738","0.00738","0.00737","0.00737","199580",1686025979999,"1471.82158",26,"91698","676.73124"
"DGBUSDT","DGBUSDT#1686025980000",1686025980000,"0.00738","0.00738","0.00738","0.00738","66916",1686026039999,"493.84008",5,"66916","493.84008"
"DGBUSDT","DGBUSDT#1686026040000",1686026040000,"0.00737","0.00738","0.00737","0.00737","83469",1686026099999,"615.44998",5,"28345","209.18610"
"DGBUSDT","DGBUSDT#1686026100000",1686026100000,"0.00738","0.00738","0.00737","0.00738","261289",1686026159999,"1927.49739",19,"179746","1326.52548"
"DGBUSDT","DGBUSDT#1686026160000",1686026160000,"0.00737","0.00738","0.00737","0.00737","181564",1686026219999,"1338.42613",10,"29945","220.99410"
"DGBUSDT","DGBUSDT#1686026220000",1686026220000,"0.00737","0.00737","0.00736","0.00737","1074256",1686026279999,"7917.11426",39,"890","6.55930"
"DGBUSDT","DGBUSDT#1686026280000",1686026280000,"0.00736","0.00737","0.00736","0.00736","111010",1686026339999,"817.06878",9,"3518","25.92766"
"DGBUSDT","DGBUSDT#1686026340000",1686026340000,"0.00737","0.00737","0.00736","0.00736","56762",1686026399999,"418.32180",3,"55348","407.91476"
"DGBUSDT","DGBUSDT#1686026400000",1686026400000,"0.00737","0.00737","0.00736","0.00736","282208",1686026459999,"2079.66685",12,"261597","1927.96989"
"DGBUSDT","DGBUSDT#1686026460000",1686026460000,"0.00737","0.00738","0.00737","0.00738","211078",1686026519999,"1556.07630",17,"96252","709.80868"
"DGBUSDT","DGBUSDT#1686026520000",1686026520000,"0.00737","0.00738","0.00737","0.00738","133297",1686026579999,"982.66774",4,"26885","198.41130"
"DGBUSDT","DGBUSDT#1686026580000",1686026580000,"0.00737","0.00738","0.00737","0.00738","74577",1686026639999,"550.17053",3,"53804","397.07352"
"DGBUSDT","DGBUSDT#1686026640000",1686026640000,"0.00737","0.00738","0.00737","0.00738","111724",1686026699999,"823.94087",5,"53499","394.82262"
"DGBUSDT","DGBUSDT#1686026700000",1686026700000,"0.00737","0.00738","0.00737","0.00737","141898",1686026759999,"1046.04842",10,"26016","191.99808"
"DGBUSDT","DGBUSDT#1686026760000",1686026760000,"0.00737","0.00737","0.00737","0.00737","23289",1686026819999,"171.63993",3,"0","0.00000"
"DGBUSDT","DGBUSDT#1686026820000",1686026820000,"0.00738","0.00738","0.00738","0.00738","45200",1686026879999,"333.57600",2,"45200","333.57600"
"DGBUSDT","DGBUSDT#1686026880000",1686026880000,"0.00738","0.00738","0.00737","0.00737","920651",1686026939999,"6786.15107",30,"95320","703.46160"
"DGBUSDT","DGBUSDT#1686026940000",1686026940000,"0.00737","0.00737","0.00737","0.00737","26280",1686026999999,"193.68360",1,"26280","193.68360"
"DGBUSDT","DGBUSDT#1686027000000",1686027000000,"0.00737","0.00738","0.00737","0.00738","1280117",1686027059999,"9434.94236",31,"1237601","9121.59944"
"DGBUSDT","DGBUSDT#1686027060000",1686027060000,"0.00737","0.00738","0.00737","0.00738","76537",1686027119999,"564.34877",6,"27108","200.05704"
"DGBUSDT","DGBUSDT#1686027120000",1686027120000,"0.00737","0.00738","0.00737","0.00738","111860",1686027179999,"825.27214",10,"86394","637.58772"
"DGBUSDT","DGBUSDT#1686027180000",1686027180000,"0.00738","0.00738","0.00738","0.00738","133895",1686027239999,"988.14510",13,"133895","988.14510"
"DGBUSDT","DGBUSDT#1686027240000",1686027240000,"0.00737","0.00738","0.00737","0.00738","317447",1686027299999,"2342.49159",16,"273184","2016.09792"
"DGBUSDT","DGBUSDT#1686027300000",1686027300000,"0.00739","0.00739","0.00738","0.00739","439025",1686027359999,"3240.86932",16,"86482","639.10198"
"DGBUSDT","DGBUSDT#1686027360000",1686027360000,"0.00738","0.00739","0.00738","0.00738","522763",1686027419999,"3858.29259",37,"30165","222.91935"
"DGBUSDT","DGBUSDT#1686027420000",1686027420000,"0.00739","0.00739","0.00738","0.00739","204482",1686027479999,"1510.26218",18,"118502","875.72978"
"DGBUSDT","DGBUSDT#1686027480000",1686027480000,"0.00738","0.00739","0.00738","0.00738","136808",1686027539999,"1009.97184",17,"32880","242.98320"
"DGBUSDT","DGBUSDT#1686027540000",1686027540000,"0.00738","0.00739","0.00738","0.00738","1006267",1686027599999,"7426.74467",33,"418880","3091.82861"
"DGBUSDT","DGBUSDT#1686027600000",1686027600000,"0.00739","0.00739","0.00738","0.00738","656701",1686027659999,"4849.58742",84,"313404","2316.05556"
