"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ETHUSDT","ETHUSDT#1686056460000",1686056460000,"1805.26","1805.57","1805.10","1805.54","1390.030",1686056519999,"2509501.32298",1669,"1003.892","1812381.61017"
"ETHUSDT","ETHUSDT#1686056520000",1686056520000,"1805.55","1806.34","1805.29","1806.13","2576.735",1686056579999,"4653240.27529",1845,"1868.874","3374937.65205"
"ETHUSDT","ETHUSDT#1686056580000",1686056580000,"1806.12","1807.33","1805.76","1806.30","3040.299",1686056639999,"5492789.66159",2700,"1919.204","3467586.60229"
"ETHUSDT","ETHUSDT#1686056640000",1686056640000,"1806.30","1806.71","1805.53","1805.58","1707.351",1686056699999,"3083636.23767",1625,"539.242","973938.67074"
"ETHUSDT","ETHUSDT#1686056700000",1686056700000,"1805.58","1805.59","1804.32","1804.33","1875.253",1686056759999,"3384752.31385",1622,"398.637","719519.45567"
"ETHUSDT","ETHUSDT#1686056760000",1686056760000,"1804.32","1804.33","1802.28","1802.29","4704.327",1686056819999,"8482475.74569",3306,"1181.677","2130764.70296"
"ETHUSDT","ETHUSDT#1686056820000",1686056820000,"1802.30","1803.77","1802.29","1803.75","3217.354",1686056879999,"5801265.73687",3001,"2462.349","4439778.68943"
"ETHUSDT","ETHUSDT#1686056880000",1686056880000,"1803.75","1804.65","1803.74","1803.79","1834.297",1686056939999,"3309245.13040",2361,"833.414","1503502.50276"
"ETHUSDT","ETHUSDT#1686056940000",1686056940000,"1803.78","1803.79","1802.43","1802.52","3647.405",1686056999999,"6576274.79423",2914,"1573.704","2837673.53530"
"ETHUSDT","ETHUSDT#1686057000000",1686057000000,"1802.51","1802.56","1800.74","1802.37","5616.434",1686057059999,"10118776.56938",5236,"2543.910","4583273.70298"
"ETHUSDT","ETHUSDT#1686057060000",1686057060000,"1802.36","1802.37","1801.29","1801.45","2136.438",1686057119999,"3849453.44449",1970,"846.881","1525929.13763"
"ETHUSDT","ETHUSDT#1686057120000",1686057120000,"1801.44","1803.60","1800.29","1803.24","6299.519",1686057179999,"11347355.00387",4576,"3275.427","5900871.78728"
"ETHUSDT","ETHUSDT#1686057180000",1686057180000,"1803.23","1804.03","1801.52","1801.73","2909.137",1686057239999,"5245165.89836",3618,"983.471","1773451.55103"
"ETHUSDT","ETHUSDT#1686057240000",1686057240000,"1801.73","1801.96","1800.43","1800.43","2509.352",1686057299999,"4519290.81791",3510,"1130.145","2035348.72434"
"ETHUSDT","ETHUSDT#1686057300000",1686057300000,"1800.43","1802.94","1800.00","1802.36","4317.468",1686057359999,"7778688.65068",4348,"1997.586","3598949.38593"
"ETHUSDT","ETHUSDT#1686057360000",1686057360000,"1802.36","1802.60","1801.55","1801.67","1944.269",1686057419999,"3504016.82391",2197,"907.100","1634807.24674"
"ETHUSDT","ETHUSDT#1686057420000",1686057420000,"1801.67","1801.95","1800.85","1800.86","2378.900",1686057479999,"4285564.54671",2704,"1081.610","1948573.56945"
"ETHUSDT","ETHUSDT#1686057480000",1686057480000,"1800.85","1802.07","1797.00","1802.07","13258.678",1686057539999,"23858788.98115",10209,"5188.193","9336288.95071"
"ETHUSDT","ETHUSDT#1686057540000",1686057540000,"1802.07","1804.15","1802.06","1802.47","5744.292",1686057599999,"10358500.76217",4917,"3410.172","6149595.71323"
"ETHUSDT","ETHUSDT#1686057600000",1686057600000,"1802.46","1803.58","1802.00","1802.69","3111.547",1686057659999,"5609371.74335",4379,"1980.533","3570501.90797"
"ETHUSDT","ETHUSDT#1686057660000",1686057660000,"1802.69","1804.66","1802.68","1803.94","2250.326",1686057719999,"4059393.30265",2958,"1438.263","2594434.34640"
"ETHUSDT","ETHUSDT#1686057720000",1686057720000,"1803.94","1804.59","1802.84","1804.06","2787.532",1686057779999,"5027607.18359",2991,"1734.711","3128699.25780"
"ETHUSDT","ETHUSDT#1686057780000",1686057780000,"1804.06","1805.36","1803.71","1804.39","2623.072",1686057839999,"4733538.69805",3081,"1646.886","2971891.66333"
"ETHUSDT","ETHUSDT#1686057840000",1686057840000,"1804.40","1806.00","1804.38","1805.40","4128.793",1686057899999,"7453417.89888",3137,"2240.815","4045274.74204"
