"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GMXUSDT","GMXUSDT#1686052860000",1686052860000,"52.120000","52.190000","52.110000","52.190000","266.56",1686052919999,"13898.83160000",147,"222.89","11622.04040000"
"GMXUSDT","GMXUSDT#1686052920000",1686052920000,"52.190000","52.210000","52.190000","52.190000","186.58",1686052979999,"9738.71960000",134,"113.71","5935.44370000"
"GMXUSDT","GMXUSDT#1686052980000",1686052980000,"52.190000","52.240000","52.190000","52.230000","280.00",1686053039999,"14622.79410000",111,"244.47","12768.18800000"
"GMXUSDT","GMXUSDT#1686053040000",1686053040000,"52.230000","52.260000","52.230000","52.230000","202.40",1686053099999,"10574.10440000",89,"97.31","5084.38120000"
"GMXUSDT","GMXUSDT#1686053100000",1686053100000,"52.230000","52.230000","52.200000","52.200000","32.79",1686053159999,"1711.97430000",32,"18.76","979.53430000"
"GMXUSDT","GMXUSDT#1686053160000",1686053160000,"52.200000","52.210000","52.200000","52.210000","10.01",1686053219999,"522.58510000",7,"7.41","386.86510000"
"GMXUSDT","GMXUSDT#1686053220000",1686053220000,"52.200000","52.240000","52.190000","52.210000","212.52",1686053279999,"11095.57190000",64,"113.49","5925.94700000"
"GMXUSDT","GMXUSDT#1686053280000",1686053280000,"52.210000","52.240000","52.200000","52.220000","111.77",1686053339999,"5836.53520000",35,"77.13","4027.44610000"
"GMXUSDT","GMXUSDT#1686053340000",1686053340000,"52.220000","52.220000","52.210000","52.220000","17.95",1686053399999,"937.30800000",9,"13.85","723.24700000"
"GMXUSDT","GMXUSDT#1686053400000",1686053400000,"52.220000","52.230000","52.020000","52.070000","1265.24",1686053459999,"65916.37960000",277,"570.43","29726.67130000"
"GMXUSDT","GMXUSDT#1686053460000",1686053460000,"52.060000","52.060000","51.750000","51.820000","1416.23",1686053519999,"73464.67200000",286,"403.37","20935.98930000"
"GMXUSDT","GMXUSDT#1686053520000",1686053520000,"51.820000","52.050000","51.730000","51.950000","1518.94",1686053579999,"78855.65040000",331,"1060.17","55065.18770000"
