"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GTCUSDT","GTCUSDT#1686085260000",1686085260000,"1.218","1.219","1.218","1.219","988.5",1686085319999,"1204.6637",19,"670.7","817.5833"
"GTCUSDT","GTCUSDT#1686085320000",1686085320000,"1.219","1.219","1.218","1.219","4854.9",1686085379999,"5914.1225",58,"854.3","1041.3917"
"GTCUSDT","GTCUSDT#1686085380000",1686085380000,"1.218","1.221","1.218","1.221","9109.4",1686085439999,"11109.4036",70,"6978.7","8513.0827"
"GTCUSDT","GTCUSDT#1686085440000",1686085440000,"1.221","1.221","1.220","1.220","5084.2",1686085499999,"6204.7853",51,"3593.1","4385.6433"
"GTCUSDT","GTCUSDT#1686085500000",1686085500000,"1.220","1.221","1.219","1.219","6489.7",1686085559999,"7914.7717",67,"1360.8","1660.3059"
"GTCUSDT","GTCUSDT#1686085560000",1686085560000,"1.219","1.220","1.219","1.219","3635.3",1686085619999,"4431.7571",36,"906.7","1105.5937"
"GTCUSDT","GTCUSDT#1686085620000",1686085620000,"1.218","1.218","1.217","1.217","8710.3",1686085679999,"10606.6680",56,"1916.3","2334.0534"
"GTCUSDT","GTCUSDT#1686085680000",1686085680000,"1.217","1.218","1.216","1.218","12348.9",1686085739999,"15025.2504",98,"6608.6","8042.9280"
"GTCUSDT","GTCUSDT#1686085740000",1686085740000,"1.218","1.218","1.216","1.216","13277.4",1686085799999,"16162.5642",79,"6977.5","8496.4586"
"GTCUSDT","GTCUSDT#1686085800000",1686085800000,"1.217","1.219","1.216","1.219","12131.8",1686085859999,"14770.3744",123,"7989.3","9727.1427"
"GTCUSDT","GTCUSDT#1686085860000",1686085860000,"1.219","1.219","1.218","1.218","1770.2",1686085919999,"2156.7454",19,"641.8","782.3542"
"GTCUSDT","GTCUSDT#1686085920000",1686085920000,"1.218","1.220","1.218","1.219","7902.2",1686085979999,"9634.1163",53,"5420.8","6610.0191"
"GTCUSDT","GTCUSDT#1686085980000",1686085980000,"1.219","1.221","1.219","1.221","4943.1",1686086039999,"6030.8326",33,"3053.2","3725.9161"
"GTCUSDT","GTCUSDT#1686086040000",1686086040000,"1.221","1.221","1.220","1.220","2179.1",1686086099999,"2658.7636",29,"261.6","319.4136"
"GTCUSDT","GTCUSDT#1686086100000",1686086100000,"1.220","1.220","1.219","1.219","8436.7",1686086159999,"10285.9239",46,"1989.1","2426.2995"
"GTCUSDT","GTCUSDT#1686086160000",1686086160000,"1.219","1.219","1.218","1.218","1289.4",1686086219999,"1570.6502",16,"161.0","196.2590"
"GTCUSDT","GTCUSDT#1686086220000",1686086220000,"1.219","1.219","1.218","1.218","4432.6",1686086279999,"5401.1427",52,"2535.9","3090.9621"
"GTCUSDT","GTCUSDT#1686086280000",1686086280000,"1.218","1.219","1.217","1.219","9260.8",1686086339999,"11276.8972",71,"6421.8","7821.8342"
"GTCUSDT","GTCUSDT#1686086340000",1686086340000,"1.218","1.219","1.217","1.217","8195.0",1686086399999,"9980.8589",63,"5064.2","6168.8786"
"GTCUSDT","GTCUSDT#1686086400000",1686086400000,"1.217","1.218","1.216","1.218","5296.5",1686086459999,"6447.5299",51,"4112.3","5006.3589"
"GTCUSDT","GTCUSDT#1686086460000",1686086460000,"1.217","1.218","1.217","1.217","2943.8",1686086519999,"3583.6514",30,"1046.8","1275.0024"
"GTCUSDT","GTCUSDT#1686086520000",1686086520000,"1.217","1.218","1.216","1.216","4071.1",1686086579999,"4953.8497",34,"13.2","16.0776"
"GTCUSDT","GTCUSDT#1686086580000",1686086580000,"1.216","1.217","1.215","1.216","3532.1",1686086639999,"4294.1025",27,"336.3","408.9501"
"GTCUSDT","GTCUSDT#1686086640000",1686086640000,"1.215","1.216","1.215","1.215","3276.2",1686086699999,"3981.2688",27,"685.8","833.9328"
"GTCUSDT","GTCUSDT#1686086700000",1686086700000,"1.215","1.216","1.214","1.216","9057.0",1686086759999,"11004.3501",55,"3500.8","4255.1549"
"GTCUSDT","GTCUSDT#1686086760000",1686086760000,"1.216","1.216","1.216","1.216","1128.4",1686086819999,"1372.1344",7,"0.0","0.0000"
"GTCUSDT","GTCUSDT#1686086820000",1686086820000,"1.216","1.216","1.215","1.215","3720.8",1686086879999,"4522.5178",27,"21.5","26.1440"
"GTCUSDT","GTCUSDT#1686086880000",1686086880000,"1.215","1.215","1.214","1.214","4254.1",1686086939999,"5166.2546",31,"208.4","253.2060"
"GTCUSDT","GTCUSDT#1686086940000",1686086940000,"1.214","1.214","1.214","1.214","1210.8",1686086999999,"1469.9112",16,"0.0","0.0000"
"GTCUSDT","GTCUSDT#1686087000000",1686087000000,"1.215","1.215","1.214","1.215","7243.6",1686087059999,"8798.5428",45,"4812.4","5847.0660"
"GTCUSDT","GTCUSDT#1686087060000",1686087060000,"1.215","1.215","1.213","1.214","4949.9",1686087119999,"6008.3358",52,"133.0","161.5031"
"GTCUSDT","GTCUSDT#1686087120000",1686087120000,"1.214","1.214","1.213","1.213","2042.2",1686087179999,"2477.5934",36,"404.8","491.4272"
"GTCUSDT","GTCUSDT#1686087180000",1686087180000,"1.213","1.214","1.213","1.213","1761.6",1686087239999,"2137.3707",27,"549.9","667.5786"
"GTCUSDT","GTCUSDT#1686087240000",1686087240000,"1.213","1.214","1.213","1.214","1393.3",1686087299999,"1690.2377",29,"164.8","200.0672"
"GTCUSDT","GTCUSDT#1686087300000",1686087300000,"1.213","1.214","1.213","1.214","1141.6",1686087359999,"1384.7735",10,"12.7","15.4178"
"GTCUSDT","GTCUSDT#1686087360000",1686087360000,"1.214","1.214","1.213","1.214","1138.1",1686087419999,"1380.5249",21,"9.6","11.6544"
