"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"INJUSDT","INJUSDT#1686034860000",1686034860000,"7.166000","7.170000","7.166000","7.167000","5276.5",1686034919999,"37820.8573000",216,"2757.9","19768.5111000"
"INJUSDT","INJUSDT#1686034920000",1686034920000,"7.167000","7.167000","7.161000","7.162000","6392.2",1686034979999,"45796.6285000",157,"2714.9","19451.2154000"
"INJUSDT","INJUSDT#1686034980000",1686034980000,"7.162000","7.170000","7.161000","7.169000","4327.2",1686035039999,"30998.7500000",159,"2987.9","21404.6381000"
"INJUSDT","INJUSDT#1686035040000",1686035040000,"7.168000","7.170000","7.165000","7.168000","5371.0",1686035099999,"38498.0223000",192,"3595.2","25769.7313000"
"INJUSDT","INJUSDT#1686035100000",1686035100000,"7.167000","7.175000","7.159000","7.164000","21429.4",1686035159999,"153621.1477000",471,"8746.4","62716.6934000"
"INJUSDT","INJUSDT#1686035160000",1686035160000,"7.163000","7.170000","7.163000","7.169000","4623.5",1686035219999,"33137.4413000",169,"2756.2","19753.8382000"
"INJUSDT","INJUSDT#1686035220000",1686035220000,"7.169000","7.173000","7.169000","7.170000","2432.5",1686035279999,"17442.9337000",114,"1499.3","10751.3477000"
"INJUSDT","INJUSDT#1686035280000",1686035280000,"7.171000","7.176000","7.170000","7.172000","6109.0",1686035339999,"43819.1607000",186,"3512.5","25192.9186000"
"INJUSDT","INJUSDT#1686035340000",1686035340000,"7.173000","7.177000","7.172000","7.175000","2825.6",1686035399999,"20270.4958000",109,"1323.7","9496.6721000"
"INJUSDT","INJUSDT#1686035400000",1686035400000,"7.174000","7.177000","7.159000","7.164000","16168.5",1686035459999,"115872.8857000",389,"5439.8","38983.4885000"
"INJUSDT","INJUSDT#1686035460000",1686035460000,"7.164000","7.174000","7.164000","7.170000","8634.0",1686035519999,"61906.0469000",270,"4036.4","28938.6601000"
"INJUSDT","INJUSDT#1686035520000",1686035520000,"7.170000","7.172000","7.169000","7.170000","1864.7",1686035579999,"13370.4272000",81,"1142.1","8188.9247000"
"INJUSDT","INJUSDT#1686035580000",1686035580000,"7.169000","7.171000","7.165000","7.167000","8314.7",1686035639999,"59598.5641000",219,"3191.4","22876.5557000"
"INJUSDT","INJUSDT#1686035640000",1686035640000,"7.167000","7.170000","7.167000","7.168000","3301.3",1686035699999,"23664.2875000",130,"2192.4","15715.8310000"
"INJUSDT","INJUSDT#1686035700000",1686035700000,"7.169000","7.172000","7.155000","7.157000","15464.7",1686035759999,"110789.6827000",324,"6610.6","47374.4137000"
"INJUSDT","INJUSDT#1686035760000",1686035760000,"7.156000","7.157000","7.152000","7.157000","7132.2",1686035819999,"51024.0457000",196,"4542.5","32497.6942000"
"INJUSDT","INJUSDT#1686035820000",1686035820000,"7.157000","7.161000","7.153000","7.159000","8459.1",1686035879999,"60539.6337000",205,"4069.1","29122.5679000"
"INJUSDT","INJUSDT#1686035880000",1686035880000,"7.159000","7.173000","7.159000","7.172000","7038.0",1686035939999,"50449.9947000",228,"3250.8","23298.1215000"
"INJUSDT","INJUSDT#1686035940000",1686035940000,"7.171000","7.178000","7.170000","7.175000","10313.8",1686035999999,"73996.8714000",287,"6632.2","47583.3540000"
"INJUSDT","INJUSDT#1686036000000",1686036000000,"7.175000","7.175000","7.162000","7.170000","16325.4",1686036059999,"117032.8029000",380,"6767.4","48508.8682000"
"INJUSDT","INJUSDT#1686036060000",1686036060000,"7.171000","7.175000","7.169000","7.173000","3955.3",1686036119999,"28364.9918000",141,"2124.0","15232.1963000"
"INJUSDT","INJUSDT#1686036120000",1686036120000,"7.173000","7.173000","7.163000","7.163000","6840.2",1686036179999,"49026.4136000",174,"2501.0","17922.5687000"
"INJUSDT","INJUSDT#1686036180000",1686036180000,"7.163000","7.167000","7.163000","7.167000","4929.0",1686036239999,"35313.1827000",141,"2359.6","16905.3347000"
"INJUSDT","INJUSDT#1686036240000",1686036240000,"7.167000","7.168000","7.159000","7.164000","5509.3",1686036299999,"39464.8569000",223,"2911.1","20852.6545000"
"INJUSDT","INJUSDT#1686036300000",1686036300000,"7.163000","7.175000","7.160000","7.174000","11716.0",1686036359999,"83985.2782000",304,"4772.8","34212.0009000"
"INJUSDT","INJUSDT#1686036360000",1686036360000,"7.174000","7.182000","7.168000","7.177000","16786.5",1686036419999,"120459.1132000",402,"10029.6","71973.7385000"
