"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"IOTXUSDT","IOTXUSDT#1686042060000",1686042060000,"0.02242","0.02243","0.02226","0.02231","6921063",1686042119999,"154517.69456",699,"1276629","28507.69665"
"IOTXUSDT","IOTXUSDT#1686042120000",1686042120000,"0.02230","0.02230","0.02225","0.02227","2203220",1686042179999,"49061.53257",310,"575915","12825.59909"
"IOTXUSDT","IOTXUSDT#1686042180000",1686042180000,"0.02226","0.02230","0.02226","0.02230","419268",1686042239999,"9342.70440",138,"328381","7317.67944"
"IOTXUSDT","IOTXUSDT#1686042240000",1686042240000,"0.02230","0.02231","0.02229","0.02229","804934",1686042299999,"17948.00230",157,"174683","3895.44511"
"IOTXUSDT","IOTXUSDT#1686042300000",1686042300000,"0.02229","0.02230","0.02228","0.02228","560034",1686042359999,"12480.87748",132,"123727","2758.20848"
"IOTXUSDT","IOTXUSDT#1686042360000",1686042360000,"0.02228","0.02230","0.02228","0.02229","99780",1686042419999,"2223.46467",54,"26774","596.81632"
"IOTXUSDT","IOTXUSDT#1686042420000",1686042420000,"0.02229","0.02230","0.02226","0.02226","456779",1686042479999,"10178.75590",61,"16492","367.77160"
"IOTXUSDT","IOTXUSDT#1686042480000",1686042480000,"0.02227","0.02227","0.02225","0.02226","221103",1686042539999,"4922.19486",61,"95360","2123.50102"
"IOTXUSDT","IOTXUSDT#1686042540000",1686042540000,"0.02227","0.02233","0.02227","0.02232","931228",1686042599999,"20771.16885",154,"829510","18502.52546"
"IOTXUSDT","IOTXUSDT#1686042600000",1686042600000,"0.02232","0.02233","0.02231","0.02231","129794",1686042659999,"2897.21230",56,"77117","1721.74627"
"IOTXUSDT","IOTXUSDT#1686042660000",1686042660000,"0.02232","0.02234","0.02232","0.02233","397397",1686042719999,"8870.62117",80,"347590","7758.62050"
"IOTXUSDT","IOTXUSDT#1686042720000",1686042720000,"0.02233","0.02236","0.02233","0.02234","184685",1686042779999,"4126.79408",59,"87253","1949.57293"
"IOTXUSDT","IOTXUSDT#1686042780000",1686042780000,"0.02234","0.02234","0.02231","0.02233","443079",1686042839999,"9893.20782",72,"85305","1904.07217"
"IOTXUSDT","IOTXUSDT#1686042840000",1686042840000,"0.02233","0.02234","0.02231","0.02232","159540",1686042899999,"3560.93457",38,"66020","1474.11027"
"IOTXUSDT","IOTXUSDT#1686042900000",1686042900000,"0.02232","0.02233","0.02230","0.02232","212204",1686042959999,"4735.98095",58,"127204","2839.22378"
"IOTXUSDT","IOTXUSDT#1686042960000",1686042960000,"0.02232","0.02233","0.02231","0.02232","237271",1686043019999,"5296.06427",69,"163864","3657.76924"
"IOTXUSDT","IOTXUSDT#1686043020000",1686043020000,"0.02233","0.02235","0.02233","0.02234","605654",1686043079999,"13528.79650",138,"510359","11400.14582"
"IOTXUSDT","IOTXUSDT#1686043080000",1686043080000,"0.02234","0.02237","0.02234","0.02236","629020",1686043139999,"14062.47045",164,"487854","10907.29610"
"IOTXUSDT","IOTXUSDT#1686043140000",1686043140000,"0.02236","0.02237","0.02235","0.02235","47029",1686043199999,"1051.67988",29,"18276","408.76781"
"IOTXUSDT","IOTXUSDT#1686043200000",1686043200000,"0.02235","0.02236","0.02235","0.02236","30471",1686043259999,"681.28554",24,"25869","578.43084"
"IOTXUSDT","IOTXUSDT#1686043260000",1686043260000,"0.02236","0.02237","0.02234","0.02234","130577",1686043319999,"2919.17340",26,"16309","364.55257"
"IOTXUSDT","IOTXUSDT#1686043320000",1686043320000,"0.02234","0.02234","0.02234","0.02234","17914",1686043379999,"400.19876",4,"0","0.00000"
"IOTXUSDT","IOTXUSDT#1686043380000",1686043380000,"0.02235","0.02237","0.02235","0.02236","196752",1686043439999,"4399.80094",27,"190056","4250.09416"
"IOTXUSDT","IOTXUSDT#1686043440000",1686043440000,"0.02237","0.02238","0.02236","0.02238","219345",1686043499999,"4906.99098",43,"113984","2550.14838"
