"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"JASMYUSDT","JASMYUSDT#1686009660000",1686009660000,"0.004277","0.004280","0.004272","0.004279","7047742",1686009719999,"30136.824576",200,"1938161","8289.632613"
"JASMYUSDT","JASMYUSDT#1686009720000",1686009720000,"0.004280","0.004283","0.004279","0.004279","3776931",1686009779999,"16169.702936",137,"923952","3955.434356"
"JASMYUSDT","JASMYUSDT#1686009780000",1686009780000,"0.004280","0.004281","0.004276","0.004279","3009115",1686009839999,"12874.569060",122,"1042540","4461.014079"
"JASMYUSDT","JASMYUSDT#1686009840000",1686009840000,"0.004278","0.004282","0.004278","0.004280","5867779",1686009899999,"25115.378765",96,"4058859","17372.106834"
"JASMYUSDT","JASMYUSDT#1686009900000",1686009900000,"0.004281","0.004284","0.004280","0.004283","3194913",1686009959999,"13680.704688",105,"2053077","8792.515088"
"JASMYUSDT","JASMYUSDT#1686009960000",1686009960000,"0.004284","0.004285","0.004280","0.004280","3646519",1686010019999,"15616.788011",136,"1107943","4743.374313"
"JASMYUSDT","JASMYUSDT#1686010020000",1686010020000,"0.004280","0.004282","0.004271","0.004271","3655727",1686010079999,"15632.613291",126,"437900","1872.202190"
"JASMYUSDT","JASMYUSDT#1686010080000",1686010080000,"0.004271","0.004272","0.004269","0.004272","3029600",1686010139999,"12937.304395",81,"966918","4129.579884"
"JASMYUSDT","JASMYUSDT#1686010140000",1686010140000,"0.004273","0.004278","0.004272","0.004277","4151598",1686010199999,"17752.787549",102,"1898659","8118.139036"
"JASMYUSDT","JASMYUSDT#1686010200000",1686010200000,"0.004278","0.004281","0.004278","0.004281","2760853",1686010259999,"11816.591996",92,"1327000","5679.902504"
"JASMYUSDT","JASMYUSDT#1686010260000",1686010260000,"0.004281","0.004283","0.004280","0.004283","3002155",1686010319999,"12853.620489",96,"2388624","10227.102145"
"JASMYUSDT","JASMYUSDT#1686010320000",1686010320000,"0.004283","0.004283","0.004278","0.004278","3308063",1686010379999,"14162.929882",120,"1159808","4965.230180"
"JASMYUSDT","JASMYUSDT#1686010380000",1686010380000,"0.004279","0.004284","0.004278","0.004282","4944319",1686010439999,"21168.956124",137,"3969282","16994.046086"
"JASMYUSDT","JASMYUSDT#1686010440000",1686010440000,"0.004282","0.004282","0.004281","0.004281","1229345",1686010499999,"5263.964145",45,"812527","3479.240614"
"JASMYUSDT","JASMYUSDT#1686010500000",1686010500000,"0.004282","0.004288","0.004282","0.004288","7339945",1686010559999,"31447.232134",158,"6219395","26647.229822"
"JASMYUSDT","JASMYUSDT#1686010560000",1686010560000,"0.004288","0.004289","0.004288","0.004289","714787",1686010619999,"3065.217352",28,"519227","2226.656072"
"JASMYUSDT","JASMYUSDT#1686010620000",1686010620000,"0.004289","0.004294","0.004289","0.004290","4287858",1686010679999,"18400.902789",124,"3194501","13708.371391"
"JASMYUSDT","JASMYUSDT#1686010680000",1686010680000,"0.004291","0.004293","0.004290","0.004293","1696662",1686010739999,"7281.418242",65,"1267065","5438.008179"
"JASMYUSDT","JASMYUSDT#1686010740000",1686010740000,"0.004293","0.004296","0.004290","0.004296","5527604",1686010799999,"23731.269053",119,"2808339","12058.833825"
"JASMYUSDT","JASMYUSDT#1686010800000",1686010800000,"0.004296","0.004297","0.004291","0.004292","3087683",1686010859999,"13262.030329",90,"964323","4142.839349"
"JASMYUSDT","JASMYUSDT#1686010860000",1686010860000,"0.004293","0.004303","0.004293","0.004303","5658149",1686010919999,"24323.285712",169,"2897298","12455.375864"
"JASMYUSDT","JASMYUSDT#1686010920000",1686010920000,"0.004302","0.004303","0.004300","0.004301","2213545",1686010979999,"9522.325725",86,"1009554","4343.084351"
"JASMYUSDT","JASMYUSDT#1686010980000",1686010980000,"0.004301","0.004307","0.004301","0.004307","2747487",1686011039999,"11823.768930",103,"2416795","10400.721222"
"JASMYUSDT","JASMYUSDT#1686011040000",1686011040000,"0.004307","0.004310","0.004307","0.004308","1709083",1686011099999,"7362.460041",95,"885642","3815.279124"
"JASMYUSDT","JASMYUSDT#1686011100000",1686011100000,"0.004309","0.004310","0.004308","0.004309","1074513",1686011159999,"4630.228675",69,"638061","2749.679239"
