"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LDOUSDT","LDOUSDT#1686031260000",1686031260000,"2.183700","2.183700","2.182300","2.182500","24970",1686031319999,"54507.582300",250,"10873","23734.090000"
"LDOUSDT","LDOUSDT#1686031320000",1686031320000,"2.182500","2.183300","2.181600","2.183000","19527",1686031379999,"42617.555700",208,"6348","13854.075600"
"LDOUSDT","LDOUSDT#1686031380000",1686031380000,"2.183100","2.187000","2.183100","2.187000","26008",1686031439999,"56828.211800",211,"20418","44608.467800"
"LDOUSDT","LDOUSDT#1686031440000",1686031440000,"2.187000","2.187800","2.186500","2.186900","25275",1686031499999,"55283.369800",234,"5839","12771.461700"
"LDOUSDT","LDOUSDT#1686031500000",1686031500000,"2.186900","2.191900","2.184600","2.191300","76314",1686031559999,"166966.137800",622,"42357","92671.437300"
"LDOUSDT","LDOUSDT#1686031560000",1686031560000,"2.191300","2.195000","2.191300","2.194000","77221",1686031619999,"169428.904600",459,"37065","81313.480700"
"LDOUSDT","LDOUSDT#1686031620000",1686031620000,"2.194100","2.195200","2.190000","2.190000","68289",1686031679999,"149739.015100",449,"24498","53726.304700"
"LDOUSDT","LDOUSDT#1686031680000",1686031680000,"2.190000","2.191200","2.188300","2.188600","32301",1686031739999,"70729.531000",279,"14410","31555.673100"
"LDOUSDT","LDOUSDT#1686031740000",1686031740000,"2.188600","2.189500","2.187700","2.189100","23536",1686031799999,"51509.250200",273,"10745","23516.843300"
"LDOUSDT","LDOUSDT#1686031800000",1686031800000,"2.189200","2.193200","2.189200","2.193100","45423",1686031859999,"99544.141200",347,"34871","76412.681600"
"LDOUSDT","LDOUSDT#1686031860000",1686031860000,"2.193200","2.194300","2.188400","2.189300","90983",1686031919999,"199364.316200",456,"33939","74387.883700"
"LDOUSDT","LDOUSDT#1686031920000",1686031920000,"2.189400","2.189800","2.187900","2.188400","21027",1686031979999,"46023.743700",196,"12421","27187.590000"
"LDOUSDT","LDOUSDT#1686031980000",1686031980000,"2.188000","2.188100","2.185000","2.186700","51624",1686032039999,"112886.908500",322,"24045","52581.828800"
"LDOUSDT","LDOUSDT#1686032040000",1686032040000,"2.186700","2.189300","2.186200","2.188300","25371",1686032099999,"55511.426000",193,"21596","47250.224300"
"LDOUSDT","LDOUSDT#1686032100000",1686032100000,"2.188000","2.192100","2.187900","2.190200","47342",1686032159999,"103727.878800",427,"33588","73595.003500"
"LDOUSDT","LDOUSDT#1686032160000",1686032160000,"2.190200","2.190200","2.187500","2.187500","13604",1686032219999,"29774.035700",127,"5980","13084.339700"
"LDOUSDT","LDOUSDT#1686032220000",1686032220000,"2.187600","2.192300","2.187600","2.190900","57254",1686032279999,"125383.436100",358,"26533","58091.606700"
"LDOUSDT","LDOUSDT#1686032280000",1686032280000,"2.191100","2.194000","2.191000","2.193700","13769",1686032339999,"30184.775100",151,"10593","23222.364800"
"LDOUSDT","LDOUSDT#1686032340000",1686032340000,"2.193700","2.194100","2.193100","2.193800","20572",1686032399999,"45127.863400",172,"13286","29144.447600"
"LDOUSDT","LDOUSDT#1686032400000",1686032400000,"2.194000","2.196100","2.192000","2.196100","74941",1686032459999,"164443.900100",458,"35077","76978.110600"
