"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LINKUSDT","LINKUSDT#1686060060000",1686060060000,"6.121","6.138","6.120","6.138","47972.10",1686060119999,"294160.97879",579,"30715.94","188372.81887"
"LINKUSDT","LINKUSDT#1686060120000",1686060120000,"6.139","6.162","6.138","6.151","176361.80",1686060179999,"1084872.11629",2000,"102025.05","627581.92784"
"LINKUSDT","LINKUSDT#1686060180000",1686060180000,"6.150","6.184","6.149","6.166","178177.15",1686060239999,"1098476.99187",2525,"79374.66","489597.77911"
"LINKUSDT","LINKUSDT#1686060240000",1686060240000,"6.167","6.173","6.157","6.163","123472.12",1686060299999,"761277.60295",1118,"78079.87","481492.00102"
"LINKUSDT","LINKUSDT#1686060300000",1686060300000,"6.163","6.165","6.141","6.142","128313.74",1686060359999,"789570.28711",1191,"42334.39","260494.78565"
"LINKUSDT","LINKUSDT#1686060360000",1686060360000,"6.142","6.172","6.142","6.149","148719.70",1686060419999,"915498.20781",1316,"110692.64","681509.10548"
"LINKUSDT","LINKUSDT#1686060420000",1686060420000,"6.150","6.162","6.150","6.158","36478.45",1686060479999,"224575.05323",739,"15122.61","93107.48289"
"LINKUSDT","LINKUSDT#1686060480000",1686060480000,"6.157","6.176","6.156","6.173","67464.66",1686060539999,"416186.12836",794,"52012.50","320933.97072"
"LINKUSDT","LINKUSDT#1686060540000",1686060540000,"6.173","6.181","6.165","6.181","30566.99",1686060599999,"188681.53679",507,"15352.76","94787.14664"
"LINKUSDT","LINKUSDT#1686060600000",1686060600000,"6.181","6.185","6.176","6.185","64808.27",1686060659999,"400506.45129",595,"34786.17","214988.78510"
"LINKUSDT","LINKUSDT#1686060660000",1686060660000,"6.186","6.189","6.178","6.179","89130.95",1686060719999,"551192.30940",893,"28180.36","174296.45460"
"LINKUSDT","LINKUSDT#1686060720000",1686060720000,"6.180","6.180","6.173","6.176","60906.79",1686060779999,"376197.70058",721,"25280.65","156164.53323"
"LINKUSDT","LINKUSDT#1686060780000",1686060780000,"6.176","6.183","6.176","6.180","33659.86",1686060839999,"207996.55044",375,"19311.57","119339.44078"
"LINKUSDT","LINKUSDT#1686060840000",1686060840000,"6.180","6.186","6.174","6.182","77934.77",1686060899999,"481552.57161",764,"37586.18","232272.48265"
"LINKUSDT","LINKUSDT#1686060900000",1686060900000,"6.180","6.190","6.180","6.185","25784.64",1686060959999,"159519.99531",397,"8381.94","51857.82047"
"LINKUSDT","LINKUSDT#1686060960000",1686060960000,"6.185","6.193","6.184","6.189","35027.55",1686061019999,"216761.57842",571,"19699.59","121907.64641"
"LINKUSDT","LINKUSDT#1686061020000",1686061020000,"6.190","6.193","6.187","6.189","40819.73",1686061079999,"252679.19296",448,"18601.65","115149.49491"
"LINKUSDT","LINKUSDT#1686061080000",1686061080000,"6.189","6.192","6.187","6.189","25277.11",1686061139999,"156468.29730",428,"8429.28","52178.58573"
"LINKUSDT","LINKUSDT#1686061140000",1686061140000,"6.188","6.189","6.174","6.175","73930.85",1686061199999,"457090.58433",1102,"16893.34","104433.66192"
"LINKUSDT","LINKUSDT#1686061200000",1686061200000,"6.175","6.191","6.166","6.191","57308.78",1686061259999,"353996.10180",1071,"27731.19","171298.81475"
"LINKUSDT","LINKUSDT#1686061260000",1686061260000,"6.191","6.195","6.186","6.193","40902.63",1686061319999,"253223.57390",468,"27019.37","167278.80504"
"LINKUSDT","LINKUSDT#1686061320000",1686061320000,"6.192","6.199","6.190","6.192","23239.03",1686061379999,"143953.26818",634,"11089.25","68704.09823"
