"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MANAUSDT","MANAUSDT#1686042060000",1686042060000,"0.4558","0.4561","0.4557","0.4558","109017",1686042119999,"49701.7822",191,"37576","17132.2567"
"MANAUSDT","MANAUSDT#1686042120000",1686042120000,"0.4558","0.4562","0.4557","0.4557","268477",1686042179999,"122436.9228",185,"96210","43877.1472"
"MANAUSDT","MANAUSDT#1686042180000",1686042180000,"0.4558","0.4559","0.4557","0.4559","24274",1686042239999,"11064.1378",73,"19379","8833.3710"
"MANAUSDT","MANAUSDT#1686042240000",1686042240000,"0.4558","0.4562","0.4557","0.4561","111806",1686042299999,"50980.6795",159,"48420","22079.0165"
"MANAUSDT","MANAUSDT#1686042300000",1686042300000,"0.4561","0.4563","0.4561","0.4561","47080",1686042359999,"21477.0506",75,"28232","12878.9243"
"MANAUSDT","MANAUSDT#1686042360000",1686042360000,"0.4562","0.4563","0.4561","0.4563","77785",1686042419999,"35489.7402",113,"49646","22652.8872"
"MANAUSDT","MANAUSDT#1686042420000",1686042420000,"0.4563","0.4564","0.4556","0.4556","137568",1686042479999,"62736.5408",154,"65235","29752.9331"
"MANAUSDT","MANAUSDT#1686042480000",1686042480000,"0.4556","0.4560","0.4556","0.4558","90823",1686042539999,"41409.8141",94,"53795","24528.0797"
"MANAUSDT","MANAUSDT#1686042540000",1686042540000,"0.4558","0.4566","0.4558","0.4566","154592",1686042599999,"70535.5105",153,"144797","66066.6284"
"MANAUSDT","MANAUSDT#1686042600000",1686042600000,"0.4565","0.4573","0.4565","0.4570","281167",1686042659999,"128510.2130",312,"192636","88045.9758"
"MANAUSDT","MANAUSDT#1686042660000",1686042660000,"0.4569","0.4573","0.4569","0.4571","60327",1686042719999,"27574.8136",114,"25724","11758.3727"
"MANAUSDT","MANAUSDT#1686042720000",1686042720000,"0.4570","0.4573","0.4570","0.4573","22365",1686042779999,"10225.5661",78,"8173","3737.3130"
"MANAUSDT","MANAUSDT#1686042780000",1686042780000,"0.4572","0.4576","0.4572","0.4574","41010",1686042839999,"18760.4821",59,"24473","11196.7460"
"MANAUSDT","MANAUSDT#1686042840000",1686042840000,"0.4574","0.4576","0.4563","0.4566","154853",1686042899999,"70785.5951",202,"21351","9758.1357"
"MANAUSDT","MANAUSDT#1686042900000",1686042900000,"0.4566","0.4567","0.4563","0.4563","69918",1686042959999,"31921.2573",133,"38039","17367.9281"
"MANAUSDT","MANAUSDT#1686042960000",1686042960000,"0.4563","0.4563","0.4557","0.4557","91315",1686043019999,"41643.9834",131,"6431","2933.2850"
"MANAUSDT","MANAUSDT#1686043020000",1686043020000,"0.4558","0.4562","0.4558","0.4562","131268",1686043079999,"59855.6756",133,"107756","49132.7226"
"MANAUSDT","MANAUSDT#1686043080000",1686043080000,"0.4561","0.4563","0.4557","0.4563","83620",1686043139999,"38123.2364",142,"45781","20873.4255"
"MANAUSDT","MANAUSDT#1686043140000",1686043140000,"0.4562","0.4562","0.4559","0.4559","38455",1686043199999,"17537.5657",76,"5232","2385.2739"
"MANAUSDT","MANAUSDT#1686043200000",1686043200000,"0.4558","0.4560","0.4557","0.4559","42039",1686043259999,"19161.1087",117,"16119","7347.9298"
"MANAUSDT","MANAUSDT#1686043260000",1686043260000,"0.4558","0.4561","0.4558","0.4559","49838",1686043319999,"22722.7458",119,"22890","10436.0548"
"MANAUSDT","MANAUSDT#1686043320000",1686043320000,"0.4558","0.4560","0.4558","0.4560","22205",1686043379999,"10122.6972",62,"7950","3624.5317"
"MANAUSDT","MANAUSDT#1686043380000",1686043380000,"0.4561","0.4562","0.4561","0.4562","33491",1686043439999,"15277.0902",43,"21863","9973.0559"
