"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MATICBUSD","MATICBUSD#1686074460000",1686074460000,"0.8187000","0.8187000","0.8178000","0.8178000","24255",1686074519999,"19847.6987000",47,"6698","5482.5536000"
"MATICBUSD","MATICBUSD#1686074520000",1686074520000,"0.8177000","0.8183000","0.8177000","0.8182000","21077",1686074579999,"17241.3278000",44,"6538","5348.2442000"
"MATICBUSD","MATICBUSD#1686074580000",1686074580000,"0.8183000","0.8185000","0.8180000","0.8185000","9889",1686074639999,"8091.5788000",15,"3850","3150.2884000"
"MATICBUSD","MATICBUSD#1686074640000",1686074640000,"0.8187000","0.8187000","0.8183000","0.8183000","6485",1686074699999,"5307.7959000",13,"2235","1829.3523000"
"MATICBUSD","MATICBUSD#1686074700000",1686074700000,"0.8183000","0.8192000","0.8183000","0.8188000","11440",1686074759999,"9368.3563000",23,"4662","3817.3815000"
"MATICBUSD","MATICBUSD#1686074760000",1686074760000,"0.8186000","0.8191000","0.8186000","0.8191000","17174",1686074819999,"14061.8387000",22,"15554","12735.7067000"
"MATICBUSD","MATICBUSD#1686074820000",1686074820000,"0.8193000","0.8198000","0.8193000","0.8198000","4919",1686074879999,"4031.1150000",23,"3576","2930.6366000"
"MATICBUSD","MATICBUSD#1686074880000",1686074880000,"0.8200000","0.8210000","0.8200000","0.8210000","12287",1686074939999,"10083.8555000",31,"10976","9007.7248000"
"MATICBUSD","MATICBUSD#1686074940000",1686074940000,"0.8211000","0.8211000","0.8205000","0.8206000","14706",1686074999999,"12070.4561000",26,"200","164.2200000"
"MATICBUSD","MATICBUSD#1686075000000",1686075000000,"0.8207000","0.8221000","0.8207000","0.8221000","22485",1686075059999,"18466.4340000",46,"19175","15748.6506000"
"MATICBUSD","MATICBUSD#1686075060000",1686075060000,"0.8221000","0.8225000","0.8221000","0.8222000","15683",1686075119999,"12896.7171000",38,"8487","6979.0201000"
"MATICBUSD","MATICBUSD#1686075120000",1686075120000,"0.8223000","0.8224000","0.8215000","0.8217000","16928",1686075179999,"13914.5782000",34,"2269","1865.1605000"
"MATICBUSD","MATICBUSD#1686075180000",1686075180000,"0.8216000","0.8225000","0.8215000","0.8215000","11903",1686075239999,"9783.7791000",27,"4850","3987.3783000"
"MATICBUSD","MATICBUSD#1686075240000",1686075240000,"0.8215000","0.8217000","0.8194000","0.8204000","208808",1686075299999,"171273.6980000",374,"72359","59344.8405000"
