"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"NKNUSDT","NKNUSDT#1686081660000",1686081660000,"0.11600","0.11606","0.11595","0.11596","194973",1686081719999,"22616.76480",182,"116541","13518.86761"
"NKNUSDT","NKNUSDT#1686081720000",1686081720000,"0.11595","0.11596","0.11580","0.11580","272314",1686081779999,"31554.71423",172,"71426","8277.19111"
"NKNUSDT","NKNUSDT#1686081780000",1686081780000,"0.11578","0.11578","0.11561","0.11563","205111",1686081839999,"23731.56315",139,"72503","8388.03869"
"NKNUSDT","NKNUSDT#1686081840000",1686081840000,"0.11564","0.11569","0.11545","0.11549","460882",1686081899999,"53251.95671",231,"129078","14921.31593"
"NKNUSDT","NKNUSDT#1686081900000",1686081900000,"0.11548","0.11576","0.11542","0.11560","387070",1686081959999,"44740.31089",212,"189520","21907.10448"
"NKNUSDT","NKNUSDT#1686081960000",1686081960000,"0.11558","0.11578","0.11557","0.11576","106407",1686082019999,"12304.49133",115,"62951","7279.41809"
"NKNUSDT","NKNUSDT#1686082020000",1686082020000,"0.11572","0.11572","0.11552","0.11557","370380",1686082079999,"42816.43384",133,"84806","9803.50238"
"NKNUSDT","NKNUSDT#1686082080000",1686082080000,"0.11556","0.11574","0.11554","0.11565","281330",1686082139999,"32530.80821",160,"239381","27682.03574"
"NKNUSDT","NKNUSDT#1686082140000",1686082140000,"0.11566","0.11575","0.11566","0.11570","68056",1686082199999,"7874.75287",164,"45173","5226.73257"
"NKNUSDT","NKNUSDT#1686082200000",1686082200000,"0.11569","0.11585","0.11568","0.11581","82576",1686082259999,"9560.54116",70,"59606","6900.62872"
"NKNUSDT","NKNUSDT#1686082260000",1686082260000,"0.11583","0.11588","0.11577","0.11580","133866",1686082319999,"15504.80440",68,"41002","4749.42741"
"NKNUSDT","NKNUSDT#1686082320000",1686082320000,"0.11578","0.11589","0.11578","0.11585","51695",1686082379999,"5988.57021",54,"28046","3248.40608"
"NKNUSDT","NKNUSDT#1686082380000",1686082380000,"0.11585","0.11595","0.11583","0.11593","146457",1686082439999,"16973.84873",92,"113097","13108.53472"
"NKNUSDT","NKNUSDT#1686082440000",1686082440000,"0.11593","0.11604","0.11589","0.11590","149690",1686082499999,"17357.30560",111,"79937","9270.65293"
"NKNUSDT","NKNUSDT#1686082500000",1686082500000,"0.11589","0.11599","0.11560","0.11560","293166",1686082559999,"33949.10006",210,"89038","10313.70520"
"NKNUSDT","NKNUSDT#1686082560000",1686082560000,"0.11561","0.11568","0.11537","0.11537","360560",1686082619999,"41645.57484",188,"108849","12574.59706"
"NKNUSDT","NKNUSDT#1686082620000",1686082620000,"0.11537","0.11543","0.11521","0.11527","210755",1686082679999,"24304.32423",134,"93358","10766.68006"
"NKNUSDT","NKNUSDT#1686082680000",1686082680000,"0.11527","0.11532","0.11507","0.11517","185943",1686082739999,"21420.65293",119,"75107","8654.81659"
"NKNUSDT","NKNUSDT#1686082740000",1686082740000,"0.11517","0.11517","0.11500","0.11505","149449",1686082799999,"17194.51981",119,"44355","5102.64700"
"NKNUSDT","NKNUSDT#1686082800000",1686082800000,"0.11502","0.11517","0.11492","0.11512","203645",1686082859999,"23428.36683",137,"100452","11557.84147"
"NKNUSDT","NKNUSDT#1686082860000",1686082860000,"0.11507","0.11518","0.11494","0.11496","152687",1686082919999,"17568.17882",93,"65433","7529.33600"
"NKNUSDT","NKNUSDT#1686082920000",1686082920000,"0.11493","0.11495","0.11484","0.11490","295031",1686082979999,"33893.85024",139,"60504","6951.70153"
"NKNUSDT","NKNUSDT#1686082980000",1686082980000,"0.11488","0.11490","0.11428","0.11428","605130",1686083039999,"69374.50401",305,"55974","6423.44302"
"NKNUSDT","NKNUSDT#1686083040000",1686083040000,"0.11428","0.11459","0.11418","0.11457","630650",1686083099999,"72155.42889",624,"255922","29282.63006"
"NKNUSDT","NKNUSDT#1686083100000",1686083100000,"0.11455","0.11491","0.11452","0.11488","274756",1686083159999,"31534.06536",267,"120867","13873.04710"
"NKNUSDT","NKNUSDT#1686083160000",1686083160000,"0.11485","0.11485","0.11473","0.11478","155659",1686083219999,"17867.73176",79,"74385","8536.55386"
"NKNUSDT","NKNUSDT#1686083220000",1686083220000,"0.11478","0.11478","0.11463","0.11467","152219",1686083279999,"17462.01265",115,"51547","5914.35336"
"NKNUSDT","NKNUSDT#1686083280000",1686083280000,"0.11468","0.11482","0.11468","0.11479","67980",1686083339999,"7799.95386",70,"46362","5318.86785"
"NKNUSDT","NKNUSDT#1686083340000",1686083340000,"0.11482","0.11488","0.11477","0.11480","119804",1686083399999,"13756.22839",70,"44572","5117.98444"
"NKNUSDT","NKNUSDT#1686083400000",1686083400000,"0.11484","0.11495","0.11466","0.11467","255711",1686083459999,"29347.91685",147,"105014","12051.39025"
"NKNUSDT","NKNUSDT#1686083460000",1686083460000,"0.11466","0.11470","0.11452","0.11456","400873",1686083519999,"45940.73582",240,"164169","18816.38578"
"NKNUSDT","NKNUSDT#1686083520000",1686083520000,"0.11458","0.11460","0.11443","0.11443","207691",1686083579999,"23784.86085",156,"70407","8064.06163"
"NKNUSDT","NKNUSDT#1686083580000",1686083580000,"0.11444","0.11457","0.11441","0.11444","148798",1686083639999,"17034.26871",104,"87789","10049.14508"
"NKNUSDT","NKNUSDT#1686083640000",1686083640000,"0.11441","0.11442","0.11433","0.11434","127107",1686083699999,"14536.60495",92,"42789","4893.76355"
"NKNUSDT","NKNUSDT#1686083700000",1686083700000,"0.11435","0.11445","0.11435","0.11439","193538",1686083759999,"22143.72878",127,"106893","12228.63654"
"NKNUSDT","NKNUSDT#1686083760000",1686083760000,"0.11439","0.11451","0.11435","0.11451","183769",1686083819999,"21028.05897",139,"103079","11794.40663"
"NKNUSDT","NKNUSDT#1686083820000",1686083820000,"0.11450","0.11450","0.11407","0.11416","671575",1686083879999,"76723.67023",334,"113661","12979.34678"
"NKNUSDT","NKNUSDT#1686083880000",1686083880000,"0.11413","0.11419","0.11410","0.11412","99309",1686083939999,"11336.79116",87,"52596","6003.99748"
"NKNUSDT","NKNUSDT#1686083940000",1686083940000,"0.11412","0.11418","0.11409","0.11412","114247",1686083999999,"13039.56344",80,"53737","6133.65973"
"NKNUSDT","NKNUSDT#1686084000000",1686084000000,"0.11413","0.11419","0.11385","0.11398","546746",1686084059999,"62343.48248",323,"238041","27151.88467"
"NKNUSDT","NKNUSDT#1686084060000",1686084060000,"0.11398","0.11401","0.11384","0.11384","189141",1686084119999,"21551.97392",105,"96460","10994.40941"
"NKNUSDT","NKNUSDT#1686084120000",1686084120000,"0.11384","0.11396","0.11383","0.11386","130446",1686084179999,"14857.59839",89,"64986","7401.51850"
"NKNUSDT","NKNUSDT#1686084180000",1686084180000,"0.11387","0.11398","0.11373","0.11382","240050",1686084239999,"27330.75092",142,"105540","12019.08307"
"NKNUSDT","NKNUSDT#1686084240000",1686084240000,"0.11384","0.11395","0.11377","0.11385","175963",1686084299999,"20034.49512",99,"103530","11787.49894"
"NKNUSDT","NKNUSDT#1686084300000",1686084300000,"0.11383","0.11417","0.11382","0.11400","235611",1686084359999,"26874.21302",164,"163492","18646.59434"
"NKNUSDT","NKNUSDT#1686084360000",1686084360000,"0.11401","0.11408","0.11389","0.11406","295404",1686084419999,"33666.44674",183,"171227","19516.54269"
"NKNUSDT","NKNUSDT#1686084420000",1686084420000,"0.11406","0.11406","0.11400","0.11400","74979",1686084479999,"8550.30693",55,"27686","3157.15441"
"NKNUSDT","NKNUSDT#1686084480000",1686084480000,"0.11400","0.11400","0.11374","0.11380","175721",1686084539999,"20007.22246",126,"85994","9790.08080"
"NKNUSDT","NKNUSDT#1686084540000",1686084540000,"0.11378","0.11382","0.11375","0.11379","71471",1686084599999,"8132.17915",60,"42628","4850.22416"
"NKNUSDT","NKNUSDT#1686084600000",1686084600000,"0.11379","0.11400","0.11379","0.11394","170566",1686084659999,"19430.31064",113,"96293","10969.13127"
"NKNUSDT","NKNUSDT#1686084660000",1686084660000,"0.11390","0.11390","0.11376","0.11376","142277",1686084719999,"16192.98383",97,"59896","6817.49739"
"NKNUSDT","NKNUSDT#1686084720000",1686084720000,"0.11377","0.11377","0.11361","0.11365","246856",1686084779999,"28060.09020",151,"87510","9947.27058"
"NKNUSDT","NKNUSDT#1686084780000",1686084780000,"0.11365","0.11370","0.11361","0.11370","122785",1686084839999,"13955.61671",71,"64012","7275.65199"
"NKNUSDT","NKNUSDT#1686084840000",1686084840000,"0.11368","0.11373","0.11362","0.11366","71193",1686084899999,"8092.59496",52,"38184","4340.83010"
"NKNUSDT","NKNUSDT#1686084900000",1686084900000,"0.11365","0.11376","0.11361","0.11368","99490",1686084959999,"11311.57854",86,"71983","8183.87186"
"NKNUSDT","NKNUSDT#1686084960000",1686084960000,"0.11370","0.11375","0.11365","0.11373","83410",1686085019999,"9483.47269",54,"63768","7250.68175"
"NKNUSDT","NKNUSDT#1686085020000",1686085020000,"0.11370","0.11377","0.11359","0.11360","213087",1686085079999,"24221.75908",113,"131164","14909.76561"
"NKNUSDT","NKNUSDT#1686085080000",1686085080000,"0.11359","0.11361","0.11339","0.11339","177927",1686085139999,"20196.05683",92,"60661","6886.70906"
"NKNUSDT","NKNUSDT#1686085140000",1686085140000,"0.11341","0.11344","0.11334","0.11342","95572",1686085199999,"10835.05993",80,"32129","3642.71363"
"NKNUSDT","NKNUSDT#1686085200000",1686085200000,"0.11343","0.11380","0.11343","0.11371","273395",1686085259999,"31072.56273",178,"192749","21901.85059"
