"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"QNTUSDT","QNTUSDT#1686060060000",1686060060000,"115.740000","116.440000","115.740000","116.430000","599.1",1686060119999,"69641.3170000",342,"514.6","59829.8260000"
"QNTUSDT","QNTUSDT#1686060120000",1686060120000,"116.420000","117.370000","116.420000","117.130000","1475.8",1686060179999,"172516.2140000",1077,"931.3","108925.2230000"
"QNTUSDT","QNTUSDT#1686060180000",1686060180000,"117.300000","117.500000","116.910000","117.290000","934.4",1686060239999,"109524.9320000",612,"493.6","57900.1730000"
"QNTUSDT","QNTUSDT#1686060240000",1686060240000,"117.340000","117.410000","117.010000","117.150000","753.0",1686060299999,"88252.4580000",384,"328.5","38515.4090000"
"QNTUSDT","QNTUSDT#1686060300000",1686060300000,"117.110000","117.170000","116.420000","116.600000","625.5",1686060359999,"73003.0560000",396,"225.3","26289.5520000"
"QNTUSDT","QNTUSDT#1686060360000",1686060360000,"116.580000","116.810000","116.400000","116.620000","520.8",1686060419999,"60741.8410000",283,"224.8","26229.6620000"
"QNTUSDT","QNTUSDT#1686060420000",1686060420000,"116.640000","117.000000","116.610000","116.860000","308.4",1686060479999,"36038.3320000",229,"126.2","14748.9100000"
"QNTUSDT","QNTUSDT#1686060480000",1686060480000,"116.850000","117.000000","116.650000","116.930000","240.1",1686060539999,"28044.2630000",164,"119.0","13900.9070000"
"QNTUSDT","QNTUSDT#1686060540000",1686060540000,"116.910000","117.100000","116.630000","117.030000","561.0",1686060599999,"65555.7430000",223,"349.6","40851.9620000"
"QNTUSDT","QNTUSDT#1686060600000",1686060600000,"117.090000","117.180000","116.900000","117.080000","371.9",1686060659999,"43523.9640000",231,"194.8","22799.2430000"
"QNTUSDT","QNTUSDT#1686060660000",1686060660000,"117.160000","117.330000","116.740000","117.010000","704.0",1686060719999,"82383.4860000",384,"371.3","43462.1090000"
"QNTUSDT","QNTUSDT#1686060720000",1686060720000,"116.990000","117.020000","116.600000","116.620000","246.7",1686060779999,"28807.9420000",161,"80.8","9436.0200000"
"QNTUSDT","QNTUSDT#1686060780000",1686060780000,"116.650000","116.820000","116.510000","116.600000","339.1",1686060839999,"39542.5940000",191,"204.0","23788.1260000"
"QNTUSDT","QNTUSDT#1686060840000",1686060840000,"116.590000","116.590000","116.230000","116.360000","297.4",1686060899999,"34601.8340000",193,"121.7","14160.0470000"
"QNTUSDT","QNTUSDT#1686060900000",1686060900000,"116.350000","116.660000","116.330000","116.460000","232.0",1686060959999,"27014.1530000",168,"129.9","15127.9140000"
"QNTUSDT","QNTUSDT#1686060960000",1686060960000,"116.500000","116.850000","116.460000","116.780000","328.1",1686061019999,"38279.6030000",210,"200.4","23382.2830000"
"QNTUSDT","QNTUSDT#1686061020000",1686061020000,"116.820000","117.040000","116.720000","116.800000","292.4",1686061079999,"34167.0970000",198,"161.8","18911.5300000"
"QNTUSDT","QNTUSDT#1686061080000",1686061080000,"116.810000","116.850000","116.660000","116.720000","142.0",1686061139999,"16577.9630000",104,"89.1","10403.4520000"
"QNTUSDT","QNTUSDT#1686061140000",1686061140000,"116.720000","116.720000","116.390000","116.430000","107.7",1686061199999,"12550.1530000",89,"38.1","4439.4500000"
"QNTUSDT","QNTUSDT#1686061200000",1686061200000,"116.460000","116.850000","116.330000","116.850000","275.0",1686061259999,"32077.2250000",168,"187.0","21813.9030000"
"QNTUSDT","QNTUSDT#1686061260000",1686061260000,"116.870000","116.960000","116.610000","116.860000","179.1",1686061319999,"20915.3900000",132,"67.6","7893.1150000"
"QNTUSDT","QNTUSDT#1686061320000",1686061320000,"116.870000","117.170000","116.870000","117.110000","437.8",1686061379999,"51239.9050000",222,"282.0","33009.3590000"
"QNTUSDT","QNTUSDT#1686061380000",1686061380000,"117.090000","117.130000","116.980000","117.090000","107.8",1686061439999,"12616.8110000",79,"36.2","4237.8480000"
"QNTUSDT","QNTUSDT#1686061440000",1686061440000,"117.040000","117.320000","116.990000","117.260000","233.4",1686061499999,"27358.4370000",137,"144.7","16966.7630000"
"QNTUSDT","QNTUSDT#1686061500000",1686061500000,"117.260000","117.490000","117.140000","117.190000","405.9",1686061559999,"47607.8230000",235,"217.3","25488.7730000"
"QNTUSDT","QNTUSDT#1686061560000",1686061560000,"117.180000","117.320000","117.160000","117.210000","210.8",1686061619999,"24716.1430000",158,"127.8","14986.6150000"
"QNTUSDT","QNTUSDT#1686061620000",1686061620000,"117.210000","117.290000","117.050000","117.210000","219.9",1686061679999,"25768.9230000",128,"77.5","9082.3350000"
"QNTUSDT","QNTUSDT#1686061680000",1686061680000,"117.200000","117.350000","117.190000","117.300000","169.2",1686061739999,"19841.5640000",97,"102.1","11972.0330000"
"QNTUSDT","QNTUSDT#1686061740000",1686061740000,"117.330000","117.330000","117.050000","117.090000","218.3",1686061799999,"25582.8170000",100,"27.2","3186.6800000"
"QNTUSDT","QNTUSDT#1686061800000",1686061800000,"117.100000","117.350000","117.000000","117.200000","300.6",1686061859999,"35232.4450000",228,"149.8","17559.6500000"
"QNTUSDT","QNTUSDT#1686061860000",1686061860000,"117.190000","117.230000","117.050000","117.120000","142.5",1686061919999,"16688.9130000",121,"49.6","5810.2310000"
"QNTUSDT","QNTUSDT#1686061920000",1686061920000,"117.130000","117.330000","117.000000","117.330000","190.9",1686061979999,"22370.5430000",149,"122.9","14403.4310000"
"QNTUSDT","QNTUSDT#1686061980000",1686061980000,"117.330000","117.590000","117.280000","117.510000","394.3",1686062039999,"46311.9200000",271,"295.9","34760.9180000"
"QNTUSDT","QNTUSDT#1686062040000",1686062040000,"117.510000","117.510000","117.210000","117.270000","457.2",1686062099999,"53641.4110000",277,"138.5","16250.6860000"
"QNTUSDT","QNTUSDT#1686062100000",1686062100000,"117.270000","117.290000","117.070000","117.130000","349.2",1686062159999,"40912.8110000",288,"131.0","15349.3130000"
"QNTUSDT","QNTUSDT#1686062160000",1686062160000,"117.140000","117.400000","117.100000","117.270000","211.2",1686062219999,"24766.5770000",197,"141.6","16605.3580000"
"QNTUSDT","QNTUSDT#1686062220000",1686062220000,"117.300000","117.330000","117.070000","117.270000","289.1",1686062279999,"33884.1840000",219,"167.0","19572.9400000"
"QNTUSDT","QNTUSDT#1686062280000",1686062280000,"117.270000","117.400000","117.130000","117.310000","152.1",1686062339999,"17832.4400000",131,"95.9","11243.5090000"
"QNTUSDT","QNTUSDT#1686062340000",1686062340000,"117.310000","117.310000","117.150000","117.290000","98.7",1686062399999,"11571.6320000",82,"20.8","2438.7340000"
"QNTUSDT","QNTUSDT#1686062400000",1686062400000,"117.300000","117.320000","117.070000","117.110000","211.8",1686062459999,"24822.1960000",161,"66.3","7772.6510000"
"QNTUSDT","QNTUSDT#1686062460000",1686062460000,"117.130000","117.150000","116.950000","117.020000","138.1",1686062519999,"16163.8470000",101,"76.2","8917.7080000"
"QNTUSDT","QNTUSDT#1686062520000",1686062520000,"117.010000","117.020000","116.860000","117.000000","158.1",1686062579999,"18488.4850000",96,"73.2","8559.7300000"
"QNTUSDT","QNTUSDT#1686062580000",1686062580000,"117.000000","117.040000","116.820000","116.860000","237.1",1686062639999,"27719.9970000",166,"80.2","9376.6730000"
"QNTUSDT","QNTUSDT#1686062640000",1686062640000,"116.880000","117.040000","116.820000","117.020000","77.0",1686062699999,"9001.6110000",68,"45.9","5365.4540000"
"QNTUSDT","QNTUSDT#1686062700000",1686062700000,"117.010000","117.300000","117.010000","117.030000","230.1",1686062759999,"26957.0000000",154,"107.5","12594.8460000"
"QNTUSDT","QNTUSDT#1686062760000",1686062760000,"117.010000","117.080000","116.970000","117.040000","232.8",1686062819999,"27240.4330000",114,"81.0","9480.5830000"
"QNTUSDT","QNTUSDT#1686062820000",1686062820000,"117.040000","117.200000","117.020000","117.180000","216.1",1686062879999,"25307.1270000",109,"125.9","14742.4150000"
"QNTUSDT","QNTUSDT#1686062880000",1686062880000,"117.140000","117.140000","116.990000","117.080000","127.6",1686062939999,"14939.5100000",80,"60.3","7059.0490000"
"QNTUSDT","QNTUSDT#1686062940000",1686062940000,"117.100000","117.230000","117.080000","117.230000","149.6",1686062999999,"17524.6690000",106,"86.2","10098.4540000"
"QNTUSDT","QNTUSDT#1686063000000",1686063000000,"117.230000","117.400000","117.200000","117.270000","258.4",1686063059999,"30311.8030000",115,"92.4","10839.8570000"
"QNTUSDT","QNTUSDT#1686063060000",1686063060000,"117.290000","117.360000","117.190000","117.350000","203.8",1686063119999,"23898.7910000",120,"122.7","14388.7540000"
"QNTUSDT","QNTUSDT#1686063120000",1686063120000,"117.330000","117.430000","117.320000","117.430000","149.9",1686063179999,"17594.4110000",58,"111.8","13122.2940000"
"QNTUSDT","QNTUSDT#1686063180000",1686063180000,"117.430000","117.450000","117.270000","117.360000","162.9",1686063239999,"19118.7160000",97,"77.7","9120.2380000"
"QNTUSDT","QNTUSDT#1686063240000",1686063240000,"117.350000","117.480000","117.310000","117.380000","200.8",1686063299999,"23573.8900000",123,"82.3","9663.7620000"
"QNTUSDT","QNTUSDT#1686063300000",1686063300000,"117.380000","117.380000","117.260000","117.340000","50.6",1686063359999,"5936.3410000",43,"20.5","2405.0330000"
"QNTUSDT","QNTUSDT#1686063360000",1686063360000,"117.340000","117.450000","117.340000","117.430000","131.7",1686063419999,"15462.3940000",60,"96.7","11353.0280000"
"QNTUSDT","QNTUSDT#1686063420000",1686063420000,"117.420000","117.480000","117.360000","117.470000","235.9",1686063479999,"27703.4220000",67,"199.1","23382.5510000"
"QNTUSDT","QNTUSDT#1686063480000",1686063480000,"117.470000","117.470000","117.260000","117.300000","132.1",1686063539999,"15508.1850000",92,"41.5","4871.8020000"
"QNTUSDT","QNTUSDT#1686063540000",1686063540000,"117.310000","117.370000","117.270000","117.360000","99.7",1686063599999,"11696.7010000",80,"51.9","6088.8720000"
"QNTUSDT","QNTUSDT#1686063600000",1686063600000,"117.350000","117.370000","117.170000","117.230000","252.1",1686063659999,"29558.4180000",201,"86.7","10166.8070000"
