"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"QTUMUSDT","QTUMUSDT#1686009660000",1686009660000,"2.460","2.462","2.459","2.461","3071.9",1686009719999,"7557.8625",107,"1065.6","2622.1372"
"QTUMUSDT","QTUMUSDT#1686009720000",1686009720000,"2.460","2.461","2.460","2.461","2288.6",1686009779999,"5630.3111",58,"903.2","2222.2271"
"QTUMUSDT","QTUMUSDT#1686009780000",1686009780000,"2.460","2.463","2.459","2.463","4389.1",1686009839999,"10802.2095",76,"3470.0","8540.7849"
"QTUMUSDT","QTUMUSDT#1686009840000",1686009840000,"2.463","2.467","2.461","2.461","11769.8",1686009899999,"29004.5149",143,"6532.4","16102.6833"
"QTUMUSDT","QTUMUSDT#1686009900000",1686009900000,"2.460","2.463","2.460","2.461","2112.8",1686009959999,"5200.6577",49,"928.7","2286.2678"
"QTUMUSDT","QTUMUSDT#1686009960000",1686009960000,"2.462","2.462","2.460","2.460","5738.6",1686010019999,"14122.3036",58,"1180.4","2905.8815"
"QTUMUSDT","QTUMUSDT#1686010020000",1686010020000,"2.460","2.462","2.460","2.462","4193.1",1686010079999,"10319.5700",42,"3963.0","9753.5240"
"QTUMUSDT","QTUMUSDT#1686010080000",1686010080000,"2.462","2.463","2.460","2.461","978.2",1686010139999,"2408.2888",27,"581.3","1431.2716"
"QTUMUSDT","QTUMUSDT#1686010140000",1686010140000,"2.462","2.463","2.462","2.463","91.8",1686010199999,"226.0631",3,"91.8","226.0631"
"QTUMUSDT","QTUMUSDT#1686010200000",1686010200000,"2.462","2.464","2.462","2.463","1595.3",1686010259999,"3928.9232",40,"914.6","2252.9082"
"QTUMUSDT","QTUMUSDT#1686010260000",1686010260000,"2.463","2.463","2.462","2.463","1353.8",1686010319999,"3334.2240",27,"856.5","2109.4301"
"QTUMUSDT","QTUMUSDT#1686010320000",1686010320000,"2.463","2.463","2.462","2.463","333.4",1686010379999,"820.8423",16,"60.1","147.9777"
"QTUMUSDT","QTUMUSDT#1686010380000",1686010380000,"2.463","2.464","2.463","2.464","2954.5",1686010439999,"7279.7971",30,"1524.0","3755.0451"
"QTUMUSDT","QTUMUSDT#1686010440000",1686010440000,"2.464","2.464","2.464","2.464","0.0",1686010499999,"0.0000",0,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1686010500000",1686010500000,"2.464","2.464","2.462","2.464","2528.2",1686010559999,"6226.4705",50,"1099.4","2708.2614"
"QTUMUSDT","QTUMUSDT#1686010560000",1686010560000,"2.463","2.463","2.463","2.463","535.7",1686010619999,"1319.4291",8,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1686010620000",1686010620000,"2.463","2.466","2.463","2.466","3282.9",1686010679999,"8090.6916",43,"2827.8","6968.8895"
"QTUMUSDT","QTUMUSDT#1686010680000",1686010680000,"2.465","2.466","2.464","2.465","1576.4",1686010739999,"3885.6917",25,"625.6","1542.1242"
"QTUMUSDT","QTUMUSDT#1686010740000",1686010740000,"2.465","2.466","2.465","2.465","561.2",1686010799999,"1383.5517",8,"358.2","883.1567"
"QTUMUSDT","QTUMUSDT#1686010800000",1686010800000,"2.465","2.466","2.464","2.464","1660.5",1686010859999,"4092.0931",27,"35.3","87.0498"
"QTUMUSDT","QTUMUSDT#1686010860000",1686010860000,"2.465","2.466","2.465","2.466","1182.3",1686010919999,"2914.9674",26,"776.3","1914.1774"
"QTUMUSDT","QTUMUSDT#1686010920000",1686010920000,"2.465","2.466","2.465","2.465","368.7",1686010979999,"909.1725",4,"327.0","806.3820"
"QTUMUSDT","QTUMUSDT#1686010980000",1686010980000,"2.465","2.467","2.465","2.466","1591.2",1686011039999,"3924.2380",27,"1320.8","3257.4532"
"QTUMUSDT","QTUMUSDT#1686011040000",1686011040000,"2.466","2.467","2.466","2.467","460.3",1686011099999,"1135.3571",5,"257.3","634.7591"
"QTUMUSDT","QTUMUSDT#1686011100000",1686011100000,"2.467","2.467","2.462","2.465","19466.1",1686011159999,"47967.0850",173,"2354.1","5802.1745"
"QTUMUSDT","QTUMUSDT#1686011160000",1686011160000,"2.465","2.465","2.463","2.463","592.6",1686011219999,"1460.2565",14,"189.0","465.7871"
"QTUMUSDT","QTUMUSDT#1686011220000",1686011220000,"2.464","2.464","2.463","2.463","587.2",1686011279999,"1446.3661",14,"200.6","494.1703"
"QTUMUSDT","QTUMUSDT#1686011280000",1686011280000,"2.462","2.462","2.461","2.461","4288.8",1686011339999,"10556.0806",39,"1859.8","4576.9678"
"QTUMUSDT","QTUMUSDT#1686011340000",1686011340000,"2.462","2.462","2.461","2.461","590.8",1686011399999,"1453.9871",10,"28.3","69.6746"
"QTUMUSDT","QTUMUSDT#1686011400000",1686011400000,"2.461","2.462","2.461","2.461","2421.4",1686011459999,"5960.4295",39,"1544.2","3801.0977"
"QTUMUSDT","QTUMUSDT#1686011460000",1686011460000,"2.460","2.461","2.460","2.460","1086.5",1686011519999,"2672.8446",19,"194.6","478.7706"
"QTUMUSDT","QTUMUSDT#1686011520000",1686011520000,"2.461","2.461","2.459","2.460","797.9",1686011579999,"1962.8591",31,"437.2","1075.5573"
"QTUMUSDT","QTUMUSDT#1686011580000",1686011580000,"2.460","2.460","2.460","2.460","0.0",1686011639999,"0.0000",0,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1686011640000",1686011640000,"2.460","2.460","2.460","2.460","937.4",1686011699999,"2306.0040",41,"258.0","634.6800"
"QTUMUSDT","QTUMUSDT#1686011700000",1686011700000,"2.459","2.460","2.459","2.459","642.3",1686011759999,"1579.4279",13,"12.2","30.0120"
"QTUMUSDT","QTUMUSDT#1686011760000",1686011760000,"2.459","2.461","2.459","2.460","389.3",1686011819999,"957.6431",32,"154.1","379.0931"
"QTUMUSDT","QTUMUSDT#1686011820000",1686011820000,"2.460","2.461","2.459","2.461","1415.0",1686011879999,"3482.1549",37,"1272.9","3132.5311"
"QTUMUSDT","QTUMUSDT#1686011880000",1686011880000,"2.461","2.461","2.458","2.458","3313.3",1686011939999,"8149.2586",39,"1700.8","4184.0056"
"QTUMUSDT","QTUMUSDT#1686011940000",1686011940000,"2.459","2.459","2.459","2.459","1898.9",1686011999999,"4669.3951",32,"3.0","7.3770"
"QTUMUSDT","QTUMUSDT#1686012000000",1686012000000,"2.459","2.460","2.458","2.458","5282.8",1686012059999,"12990.1118",118,"2411.8","5931.7020"
"QTUMUSDT","QTUMUSDT#1686012060000",1686012060000,"2.458","2.458","2.457","2.458","405.6",1686012119999,"996.9337",24,"334.1","821.2178"
"QTUMUSDT","QTUMUSDT#1686012120000",1686012120000,"2.458","2.459","2.458","2.458","736.5",1686012179999,"1810.7376",22,"372.0","914.7004"
"QTUMUSDT","QTUMUSDT#1686012180000",1686012180000,"2.458","2.459","2.457","2.458","2090.3",1686012239999,"5139.2331",38,"1150.5","2828.6364"
"QTUMUSDT","QTUMUSDT#1686012240000",1686012240000,"2.458","2.458","2.458","2.458","22.8",1686012299999,"56.0424",3,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1686012300000",1686012300000,"2.459","2.459","2.458","2.458","794.5",1686012359999,"1953.3387",51,"457.7","1125.4843"
"QTUMUSDT","QTUMUSDT#1686012360000",1686012360000,"2.458","2.459","2.457","2.458","2394.8",1686012419999,"5887.1241",39,"1835.6","4512.9952"
"QTUMUSDT","QTUMUSDT#1686012420000",1686012420000,"2.458","2.458","2.456","2.457","2903.7",1686012479999,"7134.1663",65,"205.6","505.2544"
"QTUMUSDT","QTUMUSDT#1686012480000",1686012480000,"2.457","2.457","2.456","2.457","502.7",1686012539999,"1235.1123",29,"171.5","421.3755"
"QTUMUSDT","QTUMUSDT#1686012540000",1686012540000,"2.457","2.457","2.457","2.457","99.0",1686012599999,"243.2430",11,"7.6","18.6732"
"QTUMUSDT","QTUMUSDT#1686012600000",1686012600000,"2.457","2.457","2.452","2.455","4551.2",1686012659999,"11168.9865",119,"1238.3","3039.6683"
"QTUMUSDT","QTUMUSDT#1686012660000",1686012660000,"2.454","2.454","2.453","2.454","363.7",1686012719999,"892.4338",31,"154.6","379.3884"
"QTUMUSDT","QTUMUSDT#1686012720000",1686012720000,"2.453","2.454","2.453","2.454","543.0",1686012779999,"1332.5219",10,"116.8","286.6272"
"QTUMUSDT","QTUMUSDT#1686012780000",1686012780000,"2.453","2.453","2.452","2.453","1453.6",1686012839999,"3565.6568",55,"813.6","1995.7608"
"QTUMUSDT","QTUMUSDT#1686012840000",1686012840000,"2.454","2.454","2.452","2.452","4946.7",1686012899999,"12132.0277",75,"372.7","913.9547"
"QTUMUSDT","QTUMUSDT#1686012900000",1686012900000,"2.452","2.452","2.451","2.451","318.9",1686012959999,"781.7546",17,"48.8","119.6576"
"QTUMUSDT","QTUMUSDT#1686012960000",1686012960000,"2.452","2.454","2.452","2.452","1788.8",1686013019999,"4388.0676",33,"1497.8","3674.5356"
"QTUMUSDT","QTUMUSDT#1686013020000",1686013020000,"2.453","2.453","2.452","2.452","84.8",1686013079999,"208.0084",5,"78.8","193.2964"
"QTUMUSDT","QTUMUSDT#1686013080000",1686013080000,"2.453","2.453","2.453","2.453","390.2",1686013139999,"957.1606",9,"236.3","579.6439"
"QTUMUSDT","QTUMUSDT#1686013140000",1686013140000,"2.453","2.453","2.453","2.453","15.7",1686013199999,"38.5121",1,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1686013200000",1686013200000,"2.453","2.453","2.451","2.452","5504.6",1686013259999,"13497.2854",86,"2730.1","6694.2471"
