"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RADUSDT","RADUSDT#1686045660000",1686045660000,"1.648000","1.649000","1.648000","1.649000","1026",1686045719999,"1691.513000",29,"1025","1689.865000"
"RADUSDT","RADUSDT#1686045720000",1686045720000,"1.649000","1.651000","1.649000","1.651000","1648",1686045779999,"2717.756000",23,"1648","2717.756000"
"RADUSDT","RADUSDT#1686045780000",1686045780000,"1.651000","1.651000","1.651000","1.651000","195",1686045839999,"321.945000",17,"195","321.945000"
"RADUSDT","RADUSDT#1686045840000",1686045840000,"1.651000","1.651000","1.651000","1.651000","273",1686045899999,"450.723000",19,"273","450.723000"
"RADUSDT","RADUSDT#1686045900000",1686045900000,"1.650000","1.651000","1.650000","1.650000","1022",1686045959999,"1686.340000",34,"40","66.040000"
"RADUSDT","RADUSDT#1686045960000",1686045960000,"1.651000","1.652000","1.651000","1.652000","1625",1686046019999,"2683.357000",58,"1356","2239.238000"
"RADUSDT","RADUSDT#1686046020000",1686046020000,"1.651000","1.652000","1.651000","1.652000","260",1686046079999,"429.309000",6,"49","80.948000"
"RADUSDT","RADUSDT#1686046080000",1686046080000,"1.652000","1.652000","1.647000","1.649000","16034",1686046139999,"26443.070000",104,"2027","3342.523000"
"RADUSDT","RADUSDT#1686046140000",1686046140000,"1.649000","1.649000","1.649000","1.649000","846",1686046199999,"1395.054000",29,"846","1395.054000"
"RADUSDT","RADUSDT#1686046200000",1686046200000,"1.649000","1.651000","1.649000","1.650000","3839",1686046259999,"6333.784000",79,"2782","4590.680000"
"RADUSDT","RADUSDT#1686046260000",1686046260000,"1.651000","1.652000","1.651000","1.652000","4260",1686046319999,"7035.370000",57,"3992","6592.634000"
"RADUSDT","RADUSDT#1686046320000",1686046320000,"1.652000","1.652000","1.652000","1.652000","2416",1686046379999,"3991.232000",47,"1581","2611.812000"
"RADUSDT","RADUSDT#1686046380000",1686046380000,"1.652000","1.653000","1.651000","1.653000","5292",1686046439999,"8744.530000",84,"2358","3897.546000"
"RADUSDT","RADUSDT#1686046440000",1686046440000,"1.653000","1.654000","1.652000","1.652000","6007",1686046499999,"9927.424000",28,"2798","4625.587000"
"RADUSDT","RADUSDT#1686046500000",1686046500000,"1.653000","1.655000","1.653000","1.655000","2300",1686046559999,"3804.007000",41,"1083","1791.089000"
"RADUSDT","RADUSDT#1686046560000",1686046560000,"1.654000","1.655000","1.654000","1.655000","592",1686046619999,"979.545000",18,"445","736.407000"
"RADUSDT","RADUSDT#1686046620000",1686046620000,"1.655000","1.655000","1.652000","1.652000","5455",1686046679999,"9018.843000",69,"680","1125.236000"
"RADUSDT","RADUSDT#1686046680000",1686046680000,"1.652000","1.653000","1.651000","1.652000","2813",1686046739999,"4646.988000",35,"73","120.669000"
