"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RNDRUSDT","RNDRUSDT#1686052860000",1686052860000,"2.361300","2.371500","2.360800","2.371100","138760.2",1686052919999,"328485.9019600",1132,"110920.6","262614.3876600"
"RNDRUSDT","RNDRUSDT#1686052920000",1686052920000,"2.371100","2.372500","2.365900","2.366000","70323.4",1686052979999,"166595.3496800",867,"26203.9","62092.0828100"
"RNDRUSDT","RNDRUSDT#1686052980000",1686052980000,"2.366000","2.368400","2.365400","2.365900","21712.5",1686053039999,"51393.1357100",374,"11759.7","27835.2198700"
"RNDRUSDT","RNDRUSDT#1686053040000",1686053040000,"2.365800","2.367700","2.364800","2.366200","26997.7",1686053099999,"63887.0238500",365,"12624.9","29875.2753300"
"RNDRUSDT","RNDRUSDT#1686053100000",1686053100000,"2.366300","2.368200","2.360500","2.360500","58377.3",1686053159999,"138026.1068700",558,"17037.5","40295.1416300"
"RNDRUSDT","RNDRUSDT#1686053160000",1686053160000,"2.360600","2.363200","2.360600","2.361500","16614.9",1686053219999,"39244.5516900",310,"7777.6","18368.9135700"
"RNDRUSDT","RNDRUSDT#1686053220000",1686053220000,"2.361500","2.362300","2.359000","2.359000","19782.2",1686053279999,"46700.0151900",315,"5683.7","13419.3265100"
"RNDRUSDT","RNDRUSDT#1686053280000",1686053280000,"2.359800","2.361700","2.358000","2.359000","32772.4",1686053339999,"77321.4646500",323,"10331.1","24377.9024800"
"RNDRUSDT","RNDRUSDT#1686053340000",1686053340000,"2.359000","2.359900","2.356900","2.357000","14648.5",1686053399999,"34545.5116000",273,"3870.2","9128.9893200"
"RNDRUSDT","RNDRUSDT#1686053400000",1686053400000,"2.357200","2.357900","2.346800","2.346800","235918.2",1686053459999,"554751.4041500",2434,"67795.9","159489.5310100"
"RNDRUSDT","RNDRUSDT#1686053460000",1686053460000,"2.347400","2.347800","2.326100","2.328400","750842.5",1686053519999,"1753644.4878100",5102,"164948.6","385475.9019600"
"RNDRUSDT","RNDRUSDT#1686053520000",1686053520000,"2.328200","2.342700","2.321800","2.327400","590721.2",1686053579999,"1377026.7197700",3937,"219528.2","512276.1781700"
"RNDRUSDT","RNDRUSDT#1686053580000",1686053580000,"2.327100","2.334300","2.315000","2.316200","341518.9",1686053639999,"794382.6695700",2608,"112841.7","262819.4444700"
"RNDRUSDT","RNDRUSDT#1686053640000",1686053640000,"2.316200","2.319600","2.292500","2.307000","718939.1",1686053699999,"1657000.5215300",4127,"254144.3","586053.5588100"
"RNDRUSDT","RNDRUSDT#1686053700000",1686053700000,"2.306800","2.348600","2.303300","2.342900","441701.7",1686053759999,"1028359.2768800",3961,"248707.7","579289.4057300"
"RNDRUSDT","RNDRUSDT#1686053760000",1686053760000,"2.343000","2.348200","2.333300","2.336400","202976.8",1686053819999,"474569.2605100",1993,"95172.2","222542.8038700"
"RNDRUSDT","RNDRUSDT#1686053820000",1686053820000,"2.336200","2.350000","2.335300","2.345300","292111.8",1686053879999,"684289.4278300",2542,"163266.2","382501.4444200"
"RNDRUSDT","RNDRUSDT#1686053880000",1686053880000,"2.345300","2.361200","2.344800","2.351300","354940.1",1686053939999,"835083.0915800",2887,"221795.4","521973.8121600"
"RNDRUSDT","RNDRUSDT#1686053940000",1686053940000,"2.351300","2.358600","2.349600","2.352800","123729.2",1686053999999,"291196.5006000",1272,"58581.9","137886.8867400"
"RNDRUSDT","RNDRUSDT#1686054000000",1686054000000,"2.352600","2.359400","2.350200","2.351000","226671.9",1686054059999,"533623.7669000",1749,"101299.7","238545.6272200"
"RNDRUSDT","RNDRUSDT#1686054060000",1686054060000,"2.351400","2.360200","2.350900","2.355900","166433.4",1686054119999,"392143.4919800",1333,"108610.8","255911.1440900"
"RNDRUSDT","RNDRUSDT#1686054120000",1686054120000,"2.355800","2.358200","2.350900","2.351100","104102.8",1686054179999,"244933.9084100",955,"35177.1","82787.9965500"
"RNDRUSDT","RNDRUSDT#1686054180000",1686054180000,"2.351000","2.352100","2.338100","2.341100","224244.9",1686054239999,"526015.8142500",1869,"93854.6","220032.3878100"
"RNDRUSDT","RNDRUSDT#1686054240000",1686054240000,"2.341000","2.343000","2.332300","2.339400","148861.1",1686054299999,"347848.1325700",1512,"65943.7","154111.5776100"
"RNDRUSDT","RNDRUSDT#1686054300000",1686054300000,"2.339800","2.348500","2.333000","2.341600","188576.5",1686054359999,"441273.0086000",1707,"109763.5","256852.9541100"
"RNDRUSDT","RNDRUSDT#1686054360000",1686054360000,"2.341600","2.341600","2.332500","2.333500","65491.9",1686054419999,"152967.1231400",901,"32418.8","75711.1935300"
"RNDRUSDT","RNDRUSDT#1686054420000",1686054420000,"2.333600","2.335100","2.326600","2.329000","143803.8",1686054479999,"335140.6675200",1460,"63372.8","147689.2731600"
"RNDRUSDT","RNDRUSDT#1686054480000",1686054480000,"2.329000","2.336800","2.327500","2.334100","171928.5",1686054539999,"400978.4226200",1256,"105999.2","247234.9086700"
"RNDRUSDT","RNDRUSDT#1686054540000",1686054540000,"2.334200","2.337000","2.323700","2.330700","248035.5",1686054599999,"577948.9207400",2293,"139070.5","324157.9794000"
"RNDRUSDT","RNDRUSDT#1686054600000",1686054600000,"2.331200","2.339000","2.329800","2.338100","141040.3",1686054659999,"329321.8902900",1406,"68374.8","159657.6066000"
"RNDRUSDT","RNDRUSDT#1686054660000",1686054660000,"2.338500","2.341700","2.334700","2.340100","114893.6",1686054719999,"268673.1214900",1112,"57188.3","133723.5897800"
"RNDRUSDT","RNDRUSDT#1686054720000",1686054720000,"2.339700","2.339800","2.327400","2.327700","116941.7",1686054779999,"272852.1337200",1305,"58796.5","137259.4798100"
"RNDRUSDT","RNDRUSDT#1686054780000",1686054780000,"2.327600","2.333300","2.325000","2.325200","106096.1",1686054839999,"247105.1310000",1154,"60225.4","140295.5182100"
"RNDRUSDT","RNDRUSDT#1686054840000",1686054840000,"2.325100","2.328000","2.320000","2.322900","142812.9",1686054899999,"331808.3756600",1544,"78269.3","181871.1372500"
"RNDRUSDT","RNDRUSDT#1686054900000",1686054900000,"2.322900","2.323400","2.310400","2.314600","233895.0",1686054959999,"541870.2368200",1858,"57223.1","132604.4381200"
