"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SKLUSDT","SKLUSDT#1686088860000",1686088860000,"0.03150","0.03150","0.03148","0.03149","200241",1686088919999,"6305.95250",77,"114792","3615.22949"
"SKLUSDT","SKLUSDT#1686088920000",1686088920000,"0.03150","0.03150","0.03148","0.03149","171548",1686088979999,"5400.88502",52,"70610","2223.32019"
"SKLUSDT","SKLUSDT#1686088980000",1686088980000,"0.03149","0.03152","0.03149","0.03151","196248",1686089039999,"6181.74409",65,"174079","5483.36098"
"SKLUSDT","SKLUSDT#1686089040000",1686089040000,"0.03151","0.03151","0.03147","0.03147","84156",1686089099999,"2650.10108",31,"24678","777.03461"
"SKLUSDT","SKLUSDT#1686089100000",1686089100000,"0.03148","0.03149","0.03148","0.03149","164563",1686089159999,"5180.89026",61,"163908","5160.27086"
"SKLUSDT","SKLUSDT#1686089160000",1686089160000,"0.03150","0.03150","0.03149","0.03149","5936",1686089219999,"186.96498",5,"4034","127.07100"
"SKLUSDT","SKLUSDT#1686089220000",1686089220000,"0.03149","0.03149","0.03148","0.03149","133725",1686089279999,"4210.65121",44,"49740","1566.20814"
"SKLUSDT","SKLUSDT#1686089280000",1686089280000,"0.03149","0.03150","0.03148","0.03148","142424",1686089339999,"4485.69770",36,"45347","1428.43050"
"SKLUSDT","SKLUSDT#1686089340000",1686089340000,"0.03149","0.03149","0.03147","0.03149","44347",1686089399999,"1396.20599",23,"37776","1189.35454"
"SKLUSDT","SKLUSDT#1686089400000",1686089400000,"0.03149","0.03153","0.03149","0.03153","208405",1686089459999,"6567.97523",56,"161013","5073.92940"
"SKLUSDT","SKLUSDT#1686089460000",1686089460000,"0.03153","0.03153","0.03152","0.03152","77482",1686089519999,"2442.90727",29,"67148","2117.17644"
"SKLUSDT","SKLUSDT#1686089520000",1686089520000,"0.03152","0.03152","0.03151","0.03152","34009",1686089579999,"1071.86848",10,"24136","760.76672"
"SKLUSDT","SKLUSDT#1686089580000",1686089580000,"0.03153","0.03156","0.03153","0.03154","164754",1686089639999,"5196.65944",29,"114119","3599.63154"
"SKLUSDT","SKLUSDT#1686089640000",1686089640000,"0.03155","0.03156","0.03153","0.03154","140121",1686089699999,"4419.42829",32,"59406","1873.92773"
"SKLUSDT","SKLUSDT#1686089700000",1686089700000,"0.03153","0.03153","0.03150","0.03151","382664",1686089759999,"12059.27715",67,"189967","5985.98715"
"SKLUSDT","SKLUSDT#1686089760000",1686089760000,"0.03150","0.03151","0.03149","0.03149","93987",1686089819999,"2960.40628",21,"866","27.27900"
"SKLUSDT","SKLUSDT#1686089820000",1686089820000,"0.03149","0.03149","0.03148","0.03148","51285",1686089879999,"1614.72324",22,"27144","854.76456"
"SKLUSDT","SKLUSDT#1686089880000",1686089880000,"0.03147","0.03147","0.03143","0.03144","315455",1686089939999,"9918.42208",46,"195696","6152.87412"
"SKLUSDT","SKLUSDT#1686089940000",1686089940000,"0.03144","0.03144","0.03140","0.03140","159612",1686089999999,"5013.78087",36,"21061","661.57362"
"SKLUSDT","SKLUSDT#1686090000000",1686090000000,"0.03141","0.03147","0.03140","0.03146","137775",1686090059999,"4331.43348",39,"132761","4173.99388"
"SKLUSDT","SKLUSDT#1686090060000",1686090060000,"0.03146","0.03146","0.03143","0.03144","123574",1686090119999,"3885.72895",24,"28482","895.47457"
