"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SOLBUSD","SOLBUSD#1686081660000",1686081660000,"20.6580","20.7010","20.6570","20.6800","8629",1686081719999,"178415.6970",350,"4637","95847.4470"
"SOLBUSD","SOLBUSD#1686081720000",1686081720000,"20.6820","20.6820","20.6360","20.6380","1780",1686081779999,"36757.9670",116,"864","17843.3510"
"SOLBUSD","SOLBUSD#1686081780000",1686081780000,"20.6360","20.6360","20.5910","20.6070","4535",1686081839999,"93447.1130",194,"2623","54045.7380"
"SOLBUSD","SOLBUSD#1686081840000",1686081840000,"20.6100","20.6110","20.5960","20.5980","1146",1686081899999,"23611.2290",50,"516","10629.9440"
"SOLBUSD","SOLBUSD#1686081900000",1686081900000,"20.5990","20.6650","20.5990","20.6490","2086",1686081959999,"43056.8280",105,"727","14987.0080"
"SOLBUSD","SOLBUSD#1686081960000",1686081960000,"20.6460","20.6850","20.6380","20.6850","2070",1686082019999,"42767.2550",98,"837","17297.1100"
"SOLBUSD","SOLBUSD#1686082020000",1686082020000,"20.6860","20.6900","20.6430","20.6590","1617",1686082079999,"33403.6750",99,"906","18713.8840"
"SOLBUSD","SOLBUSD#1686082080000",1686082080000,"20.6590","20.6880","20.6580","20.6790","2096",1686082139999,"43338.8650",89,"1101","22764.1620"
"SOLBUSD","SOLBUSD#1686082140000",1686082140000,"20.6740","20.6770","20.6610","20.6630","746",1686082199999,"15418.8020",35,"171","3534.1270"
"SOLBUSD","SOLBUSD#1686082200000",1686082200000,"20.6640","20.7000","20.6630","20.6660","1152",1686082259999,"23820.1640",69,"643","13293.7380"
"SOLBUSD","SOLBUSD#1686082260000",1686082260000,"20.6670","20.6880","20.6670","20.6730","1050",1686082319999,"21709.3910",52,"586","12113.1960"
"SOLBUSD","SOLBUSD#1686082320000",1686082320000,"20.6650","20.6800","20.6510","20.6510","946",1686082379999,"19543.9880",39,"263","5434.3100"
"SOLBUSD","SOLBUSD#1686082380000",1686082380000,"20.6510","20.6680","20.6440","20.6440","2665",1686082439999,"55058.9730",113,"782","16156.3390"
"SOLBUSD","SOLBUSD#1686082440000",1686082440000,"20.6450","20.6750","20.6410","20.6410","1985",1686082499999,"41007.5290",69,"1397","28861.7550"
"SOLBUSD","SOLBUSD#1686082500000",1686082500000,"20.6410","20.6780","20.5920","20.6120","5764",1686082559999,"118908.8240",216,"2762","56978.9470"
"SOLBUSD","SOLBUSD#1686082560000",1686082560000,"20.6140","20.6220","20.5940","20.5950","1370",1686082619999,"28232.1860",59,"699","14400.4350"
"SOLBUSD","SOLBUSD#1686082620000",1686082620000,"20.5990","20.6030","20.5350","20.5590","8933",1686082679999,"183666.8980",271,"2292","47138.2250"
"SOLBUSD","SOLBUSD#1686082680000",1686082680000,"20.5610","20.5780","20.5370","20.5450","4215",1686082739999,"86690.7290",124,"2790","57378.6490"
"SOLBUSD","SOLBUSD#1686082740000",1686082740000,"20.5450","20.5450","20.4940","20.4970","5320",1686082799999,"109130.3600",223,"2345","48100.3530"
"SOLBUSD","SOLBUSD#1686082800000",1686082800000,"20.4940","20.5240","20.4870","20.5090","4494",1686082859999,"92140.2460",205,"2372","48637.1990"
"SOLBUSD","SOLBUSD#1686082860000",1686082860000,"20.5060","20.5160","20.4780","20.4870","2162",1686082919999,"44307.9770",110,"1296","26562.7660"
