"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"STGUSDT","STGUSDT#1686038460000",1686038460000,"0.6160000","0.6161000","0.6158000","0.6159000","5910",1686038519999,"3640.0639000",55,"2665","1641.3825000"
"STGUSDT","STGUSDT#1686038520000",1686038520000,"0.6159000","0.6161000","0.6159000","0.6159000","8689",1686038579999,"5352.1010000",67,"3052","1879.8677000"
"STGUSDT","STGUSDT#1686038580000",1686038580000,"0.6160000","0.6165000","0.6160000","0.6164000","3782",1686038639999,"2330.5744000",42,"3362","2071.6864000"
"STGUSDT","STGUSDT#1686038640000",1686038640000,"0.6164000","0.6168000","0.6164000","0.6168000","5545",1686038699999,"3419.0561000",60,"5218","3217.4933000"
"STGUSDT","STGUSDT#1686038700000",1686038700000,"0.6169000","0.6172000","0.6169000","0.6172000","8594",1686038759999,"5302.6313000",55,"8559","5281.0398000"
"STGUSDT","STGUSDT#1686038760000",1686038760000,"0.6172000","0.6172000","0.6164000","0.6164000","38299",1686038819999,"23630.1522000",90,"1033","636.9887000"
"STGUSDT","STGUSDT#1686038820000",1686038820000,"0.6163000","0.6165000","0.6162000","0.6163000","9906",1686038879999,"6105.4797000",64,"3921","2416.7486000"
"STGUSDT","STGUSDT#1686038880000",1686038880000,"0.6164000","0.6169000","0.6164000","0.6169000","28135",1686038939999,"17352.2478000",90,"22162","13667.5335000"
"STGUSDT","STGUSDT#1686038940000",1686038940000,"0.6170000","0.6172000","0.6170000","0.6171000","9891",1686038999999,"6103.7885000",59,"4024","2483.2628000"
"STGUSDT","STGUSDT#1686039000000",1686039000000,"0.6171000","0.6175000","0.6167000","0.6170000","14998",1686039059999,"9257.6518000",79,"4081","2518.8332000"
"STGUSDT","STGUSDT#1686039060000",1686039060000,"0.6170000","0.6173000","0.6169000","0.6171000","3708",1686039119999,"2288.2719000",40,"1656","1021.8474000"
"STGUSDT","STGUSDT#1686039120000",1686039120000,"0.6168000","0.6169000","0.6167000","0.6167000","1909",1686039179999,"1177.6562000",21,"1476","910.5444000"
"STGUSDT","STGUSDT#1686039180000",1686039180000,"0.6168000","0.6171000","0.6167000","0.6167000","7531",1686039239999,"4646.2316000",37,"1694","1044.8035000"
"STGUSDT","STGUSDT#1686039240000",1686039240000,"0.6166000","0.6169000","0.6166000","0.6169000","1222",1686039299999,"753.7203000",24,"920","567.4560000"
"STGUSDT","STGUSDT#1686039300000",1686039300000,"0.6169000","0.6170000","0.6166000","0.6170000","7471",1686039359999,"4608.6070000",64,"3413","2105.2231000"
"STGUSDT","STGUSDT#1686039360000",1686039360000,"0.6170000","0.6170000","0.6167000","0.6168000","7958",1686039419999,"4909.1222000",54,"3184","1963.9968000"
