"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"STXUSDT","STXUSDT#1686034860000",1686034860000,"0.5395000","0.5395000","0.5392000","0.5393000","16570",1686034919999,"8937.0897000",102,"6896","3719.3611000"
"STXUSDT","STXUSDT#1686034920000",1686034920000,"0.5393000","0.5394000","0.5393000","0.5394000","9110",1686034979999,"4913.8888000",42,"7763","4187.3622000"
"STXUSDT","STXUSDT#1686034980000",1686034980000,"0.5394000","0.5395000","0.5392000","0.5393000","9121",1686035039999,"4919.5980000",60,"1276","688.2377000"
"STXUSDT","STXUSDT#1686035040000",1686035040000,"0.5393000","0.5393000","0.5386000","0.5387000","114323",1686035099999,"61616.3247000",143,"16761","9037.6172000"
"STXUSDT","STXUSDT#1686035100000",1686035100000,"0.5388000","0.5389000","0.5383000","0.5388000","71999",1686035159999,"38778.3067000",114,"20727","11165.7326000"
"STXUSDT","STXUSDT#1686035160000",1686035160000,"0.5389000","0.5391000","0.5389000","0.5391000","2931",1686035219999,"1579.8419000",22,"2353","1268.2655000"
"STXUSDT","STXUSDT#1686035220000",1686035220000,"0.5391000","0.5392000","0.5389000","0.5389000","20208",1686035279999,"10894.6752000",77,"5311","2863.6912000"
"STXUSDT","STXUSDT#1686035280000",1686035280000,"0.5389000","0.5391000","0.5389000","0.5391000","11710",1686035339999,"6312.6571000",30,"10137","5464.7298000"
"STXUSDT","STXUSDT#1686035340000",1686035340000,"0.5392000","0.5392000","0.5387000","0.5389000","36195",1686035399999,"19506.2620000",54,"8495","4577.8890000"
"STXUSDT","STXUSDT#1686035400000",1686035400000,"0.5389000","0.5390000","0.5388000","0.5388000","7763",1686035459999,"4183.3840000",27,"958","516.3285000"
"STXUSDT","STXUSDT#1686035460000",1686035460000,"0.5389000","0.5391000","0.5389000","0.5390000","24200",1686035519999,"13042.4156000",61,"16514","8899.7035000"
"STXUSDT","STXUSDT#1686035520000",1686035520000,"0.5389000","0.5390000","0.5386000","0.5386000","11552",1686035579999,"6223.3270000",35,"1087","585.6192000"
"STXUSDT","STXUSDT#1686035580000",1686035580000,"0.5385000","0.5385000","0.5382000","0.5382000","28534",1686035639999,"15361.9053000",60,"9915","5337.6309000"
"STXUSDT","STXUSDT#1686035640000",1686035640000,"0.5383000","0.5384000","0.5382000","0.5382000","2988",1686035699999,"1608.4154000",23,"218","117.3529000"
"STXUSDT","STXUSDT#1686035700000",1686035700000,"0.5382000","0.5386000","0.5382000","0.5386000","21323",1686035759999,"11479.9067000",55,"18491","9955.1469000"
"STXUSDT","STXUSDT#1686035760000",1686035760000,"0.5386000","0.5391000","0.5385000","0.5391000","16412",1686035819999,"8842.0386000",59,"12007","6469.4498000"
"STXUSDT","STXUSDT#1686035820000",1686035820000,"0.5392000","0.5392000","0.5389000","0.5391000","55988",1686035879999,"30182.4082000",75,"24512","13215.5989000"
"STXUSDT","STXUSDT#1686035880000",1686035880000,"0.5391000","0.5394000","0.5390000","0.5394000","16871",1686035939999,"9097.2228000",44,"10764","5804.5247000"
"STXUSDT","STXUSDT#1686035940000",1686035940000,"0.5394000","0.5394000","0.5390000","0.5390000","37347",1686035999999,"20138.4610000",51,"4651","2507.8192000"
"STXUSDT","STXUSDT#1686036000000",1686036000000,"0.5389000","0.5394000","0.5385000","0.5393000","128906",1686036059999,"69460.1441000",120,"67399","36327.7153000"
"STXUSDT","STXUSDT#1686036060000",1686036060000,"0.5393000","0.5393000","0.5390000","0.5390000","39674",1686036119999,"21393.6633000",69,"4255","2294.4455000"
"STXUSDT","STXUSDT#1686036120000",1686036120000,"0.5391000","0.5392000","0.5390000","0.5392000","7545",1686036179999,"4067.7993000",28,"6210","3348.1071000"
"STXUSDT","STXUSDT#1686036180000",1686036180000,"0.5393000","0.5393000","0.5390000","0.5392000","10470",1686036239999,"5646.0104000",36,"3142","1694.2235000"
"STXUSDT","STXUSDT#1686036240000",1686036240000,"0.5392000","0.5392000","0.5390000","0.5390000","3840",1686036299999,"2070.0307000",18,"120","64.6920000"
"STXUSDT","STXUSDT#1686036300000",1686036300000,"0.5390000","0.5392000","0.5390000","0.5392000","15850",1686036359999,"8545.2055000",72,"11599","6253.6122000"
"STXUSDT","STXUSDT#1686036360000",1686036360000,"0.5392000","0.5399000","0.5391000","0.5396000","62461",1686036419999,"33706.9635000",81,"30200","16292.1567000"
"STXUSDT","STXUSDT#1686036420000",1686036420000,"0.5397000","0.5400000","0.5397000","0.5399000","6406",1686036479999,"3458.3443000",32,"3837","2071.3697000"
"STXUSDT","STXUSDT#1686036480000",1686036480000,"0.5399000","0.5402000","0.5398000","0.5402000","32236",1686036539999,"17408.8816000",54,"17491","9444.8994000"
"STXUSDT","STXUSDT#1686036540000",1686036540000,"0.5402000","0.5405000","0.5399000","0.5400000","77125",1686036599999,"41669.9424000",86,"32103","17341.1625000"
"STXUSDT","STXUSDT#1686036600000",1686036600000,"0.5401000","0.5405000","0.5399000","0.5404000","28836",1686036659999,"15575.5202000",64,"19284","10417.7624000"
"STXUSDT","STXUSDT#1686036660000",1686036660000,"0.5405000","0.5408000","0.5404000","0.5408000","14460",1686036719999,"7818.1557000",55,"12728","6881.6496000"
"STXUSDT","STXUSDT#1686036720000",1686036720000,"0.5409000","0.5411000","0.5408000","0.5409000","66688",1686036779999,"36081.5007000",98,"29944","16199.8216000"
"STXUSDT","STXUSDT#1686036780000",1686036780000,"0.5409000","0.5417000","0.5409000","0.5417000","49217",1686036839999,"26638.7685000",161,"35535","19234.7821000"
"STXUSDT","STXUSDT#1686036840000",1686036840000,"0.5416000","0.5421000","0.5415000","0.5421000","26156",1686036899999,"14171.2497000",133,"23189","12564.2076000"
"STXUSDT","STXUSDT#1686036900000",1686036900000,"0.5420000","0.5421000","0.5416000","0.5417000","50604",1686036959999,"27421.1194000",94,"15023","8140.6233000"
"STXUSDT","STXUSDT#1686036960000",1686036960000,"0.5416000","0.5418000","0.5413000","0.5418000","45219",1686037019999,"24488.7011000",74,"25894","14023.4554000"
"STXUSDT","STXUSDT#1686037020000",1686037020000,"0.5418000","0.5419000","0.5415000","0.5417000","56276",1686037079999,"30485.3557000",122,"24826","13448.9866000"
"STXUSDT","STXUSDT#1686037080000",1686037080000,"0.5417000","0.5418000","0.5410000","0.5411000","46050",1686037139999,"24928.8396000",86,"7920","4289.8854000"
