"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SUIUSDT","SUIUSDT#1686034860000",1686034860000,"0.807400","0.807400","0.807200","0.807400","88916.7",1686034919999,"71781.5214800",160,"31930.8","25778.5024800"
"SUIUSDT","SUIUSDT#1686034920000",1686034920000,"0.807500","0.807700","0.807200","0.807700","79984.7",1686034979999,"64584.5611800",173,"62961.0","50838.9771100"
"SUIUSDT","SUIUSDT#1686034980000",1686034980000,"0.807700","0.807800","0.807500","0.807700","50461.6",1686035039999,"40755.8290700",111,"23774.8","19202.2315700"
"SUIUSDT","SUIUSDT#1686035040000",1686035040000,"0.807700","0.807700","0.807200","0.807300","65872.6",1686035099999,"53187.5323400",94,"16942.4","13680.8251800"
"SUIUSDT","SUIUSDT#1686035100000",1686035100000,"0.807300","0.808100","0.807200","0.807700","82093.4",1686035159999,"66303.5513600",191,"65268.1","52712.2864000"
"SUIUSDT","SUIUSDT#1686035160000",1686035160000,"0.807700","0.807700","0.807200","0.807700","53960.2",1686035219999,"43572.6386200",135,"33976.5","27439.0293700"
"SUIUSDT","SUIUSDT#1686035220000",1686035220000,"0.807600","0.807800","0.807200","0.807500","93412.8",1686035279999,"75430.1426300",182,"47540.2","38390.4677400"
"SUIUSDT","SUIUSDT#1686035280000",1686035280000,"0.807500","0.807800","0.807100","0.807300","138150.6",1686035339999,"111543.9193900",250,"90568.3","73131.0838200"
"SUIUSDT","SUIUSDT#1686035340000",1686035340000,"0.807400","0.807400","0.806600","0.806800","54510.9",1686035399999,"43990.4575300",86,"4803.6","3876.9420000"
"SUIUSDT","SUIUSDT#1686035400000",1686035400000,"0.806700","0.806800","0.806400","0.806400","20857.8",1686035459999,"16825.4923800",74,"5668.8","4573.4448200"
"SUIUSDT","SUIUSDT#1686035460000",1686035460000,"0.806500","0.806500","0.806100","0.806300","62541.0",1686035519999,"50426.5465200",145,"31831.7","25665.0562600"
"SUIUSDT","SUIUSDT#1686035520000",1686035520000,"0.806300","0.806300","0.804900","0.805200","111090.4",1686035579999,"89478.5201800",256,"43005.4","34633.2824500"
"SUIUSDT","SUIUSDT#1686035580000",1686035580000,"0.805200","0.805300","0.804600","0.804900","408140.0",1686035639999,"328513.8578500",511,"153796.5","123804.1724600"
"SUIUSDT","SUIUSDT#1686035640000",1686035640000,"0.804900","0.805200","0.804300","0.804700","304434.7",1686035699999,"244986.3893200",364,"168247.7","135402.4892000"
"SUIUSDT","SUIUSDT#1686035700000",1686035700000,"0.804700","0.805700","0.804500","0.805500","70675.3",1686035759999,"56905.4566200",231,"37189.4","29945.5234400"
"SUIUSDT","SUIUSDT#1686035760000",1686035760000,"0.805600","0.806100","0.805400","0.805600","78309.0",1686035819999,"63098.9496100",212,"50009.0","40295.5330600"
"SUIUSDT","SUIUSDT#1686035820000",1686035820000,"0.805500","0.805800","0.805300","0.805500","136391.8",1686035879999,"109871.6349800",201,"55416.8","44646.3722600"
"SUIUSDT","SUIUSDT#1686035880000",1686035880000,"0.805600","0.806100","0.805600","0.805800","60455.0",1686035939999,"48716.8158300",144,"37156.7","29941.7254200"
"SUIUSDT","SUIUSDT#1686035940000",1686035940000,"0.805700","0.805800","0.803900","0.804000","396779.8",1686035999999,"319180.7580800",598,"115492.7","92886.9212900"
"SUIUSDT","SUIUSDT#1686036000000",1686036000000,"0.804100","0.805300","0.803100","0.804600","479691.0",1686036059999,"385720.5191000",755,"119321.2","95968.8507100"
"SUIUSDT","SUIUSDT#1686036060000",1686036060000,"0.804600","0.804600","0.803700","0.804100","92733.0",1686036119999,"74570.4287600",240,"46926.8","37738.9667300"
"SUIUSDT","SUIUSDT#1686036120000",1686036120000,"0.804200","0.804400","0.803700","0.804200","86265.4",1686036179999,"69363.5031100",223,"44372.2","35680.4862200"
"SUIUSDT","SUIUSDT#1686036180000",1686036180000,"0.804200","0.804800","0.804200","0.804700","43258.7",1686036239999,"34804.1071800",123,"30751.9","24742.3646200"
"SUIUSDT","SUIUSDT#1686036240000",1686036240000,"0.804700","0.804900","0.804300","0.804600","67551.9",1686036299999,"54346.5588600",180,"23404.6","18832.9282200"
"SUIUSDT","SUIUSDT#1686036300000",1686036300000,"0.804600","0.806200","0.804600","0.805800","165658.1",1686036359999,"133405.7951900",275,"144650.4","116479.4258200"
"SUIUSDT","SUIUSDT#1686036360000",1686036360000,"0.805800","0.806000","0.805100","0.806000","165031.3",1686036419999,"132962.8535800",394,"76810.8","61888.2256900"
"SUIUSDT","SUIUSDT#1686036420000",1686036420000,"0.806000","0.806700","0.805700","0.806400","169962.9",1686036479999,"137052.7376300",336,"132239.8","106633.6423800"
"SUIUSDT","SUIUSDT#1686036480000",1686036480000,"0.806600","0.807200","0.806200","0.807100","116917.0",1686036539999,"94317.5735700",262,"86982.1","70176.9467500"
"SUIUSDT","SUIUSDT#1686036540000",1686036540000,"0.807000","0.807200","0.806600","0.806600","131864.1",1686036599999,"106409.5179700",209,"61241.1","49422.9252200"
"SUIUSDT","SUIUSDT#1686036600000",1686036600000,"0.806700","0.806900","0.806200","0.806600","79472.5",1686036659999,"64093.7799900",216,"40709.8","32833.4143600"
"SUIUSDT","SUIUSDT#1686036660000",1686036660000,"0.806600","0.807200","0.806600","0.807000","51757.6",1686036719999,"41766.1705600",137,"40357.6","32566.6559500"
"SUIUSDT","SUIUSDT#1686036720000",1686036720000,"0.807100","0.807300","0.807000","0.807100","84756.9",1686036779999,"68411.2563200",132,"71021.4","57325.0908700"
"SUIUSDT","SUIUSDT#1686036780000",1686036780000,"0.807100","0.807200","0.806800","0.807000","64320.4",1686036839999,"51908.5689900",163,"46884.0","37837.2435700"
"SUIUSDT","SUIUSDT#1686036840000",1686036840000,"0.807100","0.807100","0.806800","0.807000","48862.0",1686036899999,"39426.9153100",124,"25355.5","20460.0036000"
"SUIUSDT","SUIUSDT#1686036900000",1686036900000,"0.806900","0.807000","0.805800","0.805800","76767.3",1686036959999,"61888.0854900",175,"15884.6","12806.6123200"
"SUIUSDT","SUIUSDT#1686036960000",1686036960000,"0.805900","0.806100","0.805000","0.805000","101418.5",1686037019999,"81706.3478800",286,"46311.2","37314.6509000"
"SUIUSDT","SUIUSDT#1686037020000",1686037020000,"0.805000","0.805100","0.803300","0.803800","292963.4",1686037079999,"235493.1588700",487,"46774.9","37594.5782900"
"SUIUSDT","SUIUSDT#1686037080000",1686037080000,"0.803900","0.804400","0.803800","0.803900","186658.4",1686037139999,"150086.8218600",301,"141663.3","113912.6154600"
"SUIUSDT","SUIUSDT#1686037140000",1686037140000,"0.803800","0.803800","0.802700","0.803400","155277.5",1686037199999,"124712.6499300",331,"60396.4","48514.1479500"
"SUIUSDT","SUIUSDT#1686037200000",1686037200000,"0.803500","0.803500","0.801800","0.802200","573441.4",1686037259999,"460056.2064700",772,"290247.9","232849.5267100"
"SUIUSDT","SUIUSDT#1686037260000",1686037260000,"0.802200","0.802400","0.801700","0.802100","214682.6",1686037319999,"172198.9380600",322,"76101.0","61046.0130900"
"SUIUSDT","SUIUSDT#1686037320000",1686037320000,"0.802000","0.802500","0.801500","0.802500","174762.8",1686037379999,"140153.1036800",362,"119525.4","95861.6811500"
"SUIUSDT","SUIUSDT#1686037380000",1686037380000,"0.802500","0.802500","0.801200","0.801600","260814.8",1686037439999,"209070.6490200",460,"142253.0","114026.1355300"
"SUIUSDT","SUIUSDT#1686037440000",1686037440000,"0.801500","0.801800","0.801200","0.801300","110917.6",1686037499999,"88893.3063100",181,"42717.4","34238.3462600"
"SUIUSDT","SUIUSDT#1686037500000",1686037500000,"0.801400","0.802000","0.801300","0.801500","159647.8",1686037559999,"127966.8146500",359,"111087.4","89044.2615200"
"SUIUSDT","SUIUSDT#1686037560000",1686037560000,"0.801600","0.801800","0.801100","0.801500","167459.0",1686037619999,"134210.1250400",244,"78914.0","63250.5677000"
"SUIUSDT","SUIUSDT#1686037620000",1686037620000,"0.801400","0.801500","0.801100","0.801200","270183.1",1686037679999,"216493.9229600",188,"37084.6","29715.2192400"
"SUIUSDT","SUIUSDT#1686037680000",1686037680000,"0.801200","0.801200","0.800500","0.800900","242319.6",1686037739999,"194063.8668500",332,"83057.3","66522.4819600"
"SUIUSDT","SUIUSDT#1686037740000",1686037740000,"0.800900","0.801000","0.800400","0.800400","100910.0",1686037799999,"80792.6439500",176,"21198.2","16974.5354100"
"SUIUSDT","SUIUSDT#1686037800000",1686037800000,"0.800400","0.800900","0.795900","0.799700","1338042.7",1686037859999,"1068844.2359800",1924,"286448.4","228948.7936000"
"SUIUSDT","SUIUSDT#1686037860000",1686037860000,"0.799700","0.801300","0.799500","0.800700","206448.1",1686037919999,"165227.9744400",454,"139856.7","111936.5053700"
"SUIUSDT","SUIUSDT#1686037920000",1686037920000,"0.800600","0.800700","0.799600","0.799800","272171.9",1686037979999,"217743.7995200",428,"128334.6","102672.1231400"
"SUIUSDT","SUIUSDT#1686037980000",1686037980000,"0.799900","0.800400","0.799900","0.800200","149901.0",1686038039999,"119938.7967900",235,"99051.6","79254.1449300"
"SUIUSDT","SUIUSDT#1686038040000",1686038040000,"0.800200","0.800800","0.800100","0.800600","161590.4",1686038099999,"129346.4566100",281,"91348.4","73120.9525200"
"SUIUSDT","SUIUSDT#1686038100000",1686038100000,"0.800700","0.800800","0.800000","0.800400","118633.1",1686038159999,"94956.1936600",293,"52792.3","42258.7419300"
"SUIUSDT","SUIUSDT#1686038160000",1686038160000,"0.800300","0.800400","0.799400","0.799900","152633.7",1686038219999,"122095.2748100",281,"55220.2","44174.9240000"
"SUIUSDT","SUIUSDT#1686038220000",1686038220000,"0.799900","0.800400","0.799700","0.800400","83283.1",1686038279999,"66629.9031900",246,"55832.9","44669.4410700"
"SUIUSDT","SUIUSDT#1686038280000",1686038280000,"0.800300","0.800500","0.799200","0.799200","161688.7",1686038339999,"129303.5992800",357,"44495.3","35593.0272800"
"SUIUSDT","SUIUSDT#1686038340000",1686038340000,"0.799300","0.800200","0.799100","0.800200","71945.3",1686038399999,"57531.5686400",195,"51857.6","41471.6665200"
"SUIUSDT","SUIUSDT#1686038400000",1686038400000,"0.800300","0.802100","0.800300","0.802100","270794.6",1686038459999,"217033.2501800",535,"197341.8","158150.0052300"
