"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"TUSDT","TUSDT#1686024060000",1686024060000,"0.0227100","0.0227200","0.0227000","0.0227200","167266",1686024119999,"3799.0153100",63,"122934","2792.2702000"
"TUSDT","TUSDT#1686024120000",1686024120000,"0.0227200","0.0227300","0.0227100","0.0227200","37855",1686024179999,"860.1168300",30,"35723","811.6836400"
"TUSDT","TUSDT#1686024180000",1686024180000,"0.0227200","0.0227300","0.0227100","0.0227100","403451",1686024239999,"9166.2876700",38,"10312","234.3917600"
"TUSDT","TUSDT#1686024240000",1686024240000,"0.0227100","0.0227100","0.0227000","0.0227000","241731",1686024299999,"5488.0920900",29,"0","0.0000000"
"TUSDT","TUSDT#1686024300000",1686024300000,"0.0227000","0.0227000","0.0226800","0.0226900","266801",1686024359999,"6053.1501100",71,"50915","1155.2958200"
"TUSDT","TUSDT#1686024360000",1686024360000,"0.0226900","0.0226900","0.0226600","0.0226700","326542",1686024419999,"7403.4263400",65,"67842","1538.5394500"
"TUSDT","TUSDT#1686024420000",1686024420000,"0.0226800","0.0226800","0.0226700","0.0226800","44397",1686024479999,"1006.6290200",21,"14903","338.0000400"
"TUSDT","TUSDT#1686024480000",1686024480000,"0.0226800","0.0226800","0.0226800","0.0226800","0",1686024539999,"0.0000000",0,"0","0.0000000"
"TUSDT","TUSDT#1686024540000",1686024540000,"0.0226800","0.0226800","0.0226800","0.0226800","39416",1686024599999,"893.9548800",30,"39416","893.9548800"
"TUSDT","TUSDT#1686024600000",1686024600000,"0.0226800","0.0226800","0.0226800","0.0226800","5990",1686024659999,"135.8532000",9,"5990","135.8532000"
"TUSDT","TUSDT#1686024660000",1686024660000,"0.0226800","0.0226800","0.0226700","0.0226800","81084",1686024719999,"1838.7419200",32,"56764","1287.4075200"
"TUSDT","TUSDT#1686024720000",1686024720000,"0.0226700","0.0226800","0.0226700","0.0226800","53852",1686024779999,"1221.3098400",24,"48500","1099.9800000"
"TUSDT","TUSDT#1686024780000",1686024780000,"0.0226800","0.0226800","0.0226800","0.0226800","0",1686024839999,"0.0000000",0,"0","0.0000000"
"TUSDT","TUSDT#1686024840000",1686024840000,"0.0226700","0.0226700","0.0226600","0.0226600","180312",1686024899999,"4086.2671600",23,"27089","613.8411500"
"TUSDT","TUSDT#1686024900000",1686024900000,"0.0226500","0.0226600","0.0226500","0.0226600","89400",1686024959999,"2025.7149300",28,"80493","1823.9713800"
"TUSDT","TUSDT#1686024960000",1686024960000,"0.0226600","0.0226600","0.0226600","0.0226600","0",1686025019999,"0.0000000",0,"0","0.0000000"
"TUSDT","TUSDT#1686025020000",1686025020000,"0.0226500","0.0226600","0.0226500","0.0226600","8343",1686025079999,"189.0028100",4,"3386","76.7267600"
"TUSDT","TUSDT#1686025080000",1686025080000,"0.0226500","0.0226600","0.0226500","0.0226500","57035",1686025139999,"1291.9253800",18,"8263","187.2395800"
"TUSDT","TUSDT#1686025140000",1686025140000,"0.0226400","0.0226400","0.0226400","0.0226400","5037",1686025199999,"114.0376800",2,"0","0.0000000"
"TUSDT","TUSDT#1686025200000",1686025200000,"0.0226500","0.0226700","0.0226500","0.0226700","333102",1686025259999,"7546.4009800",52,"329394","7462.4147800"
"TUSDT","TUSDT#1686025260000",1686025260000,"0.0226700","0.0226800","0.0226700","0.0226800","51122",1686025319999,"1159.1011700",14,"49867","1130.6503200"
"TUSDT","TUSDT#1686025320000",1686025320000,"0.0226800","0.0226900","0.0226800","0.0226900","38505",1686025379999,"873.3382600",10,"32939","747.1013800"
"TUSDT","TUSDT#1686025380000",1686025380000,"0.0226800","0.0226900","0.0226800","0.0226900","55000",1686025439999,"1247.9055900",14,"35992","816.6584800"
"TUSDT","TUSDT#1686025440000",1686025440000,"0.0226900","0.0227000","0.0226900","0.0227000","85745",1686025499999,"1945.9002600",16,"69487","1577.0023900"
