"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"UNIUSDT","UNIUSDT#1686070860000",1686070860000,"4.8070","4.8070","4.8020","4.8020","10017",1686070919999,"48125.0470",327,"1574","7562.7040"
"UNIUSDT","UNIUSDT#1686070920000",1686070920000,"4.8020","4.8050","4.8020","4.8020","5236",1686070979999,"25151.1640",228,"2001","9612.3330"
"UNIUSDT","UNIUSDT#1686070980000",1686070980000,"4.8020","4.8030","4.7980","4.7980","9387",1686071039999,"45067.0360",262,"2376","11407.9310"
"UNIUSDT","UNIUSDT#1686071040000",1686071040000,"4.7990","4.7990","4.7940","4.7980","9540",1686071099999,"45761.8930",217,"5332","25578.0130"
"UNIUSDT","UNIUSDT#1686071100000",1686071100000,"4.7980","4.8000","4.7950","4.7960","5364",1686071159999,"25734.1570",158,"1195","5734.5980"
"UNIUSDT","UNIUSDT#1686071160000",1686071160000,"4.7970","4.7980","4.7900","4.7920","11950",1686071219999,"57272.3820",238,"2708","12977.4640"
"UNIUSDT","UNIUSDT#1686071220000",1686071220000,"4.7920","4.7930","4.7910","4.7910","1480",1686071279999,"7091.9820",71,"684","3277.7990"
"UNIUSDT","UNIUSDT#1686071280000",1686071280000,"4.7910","4.7920","4.7900","4.7900","3195",1686071339999,"15306.6110",177,"683","3272.3950"
"UNIUSDT","UNIUSDT#1686071340000",1686071340000,"4.7900","4.7920","4.7890","4.7890","6845",1686071399999,"32788.4090",208,"1377","6597.0430"
"UNIUSDT","UNIUSDT#1686071400000",1686071400000,"4.7890","4.8000","4.7890","4.8000","6135",1686071459999,"29413.9870",193,"4688","22475.4090"
"UNIUSDT","UNIUSDT#1686071460000",1686071460000,"4.8000","4.8040","4.8000","4.8040","4510",1686071519999,"21655.8540",182,"3006","14435.7330"
"UNIUSDT","UNIUSDT#1686071520000",1686071520000,"4.8050","4.8100","4.8040","4.8050","7108",1686071579999,"34167.5240",144,"2936","14113.0010"
"UNIUSDT","UNIUSDT#1686071580000",1686071580000,"4.8060","4.8090","4.8060","4.8080","3939",1686071639999,"18936.9390",121,"2203","10591.2630"
"UNIUSDT","UNIUSDT#1686071640000",1686071640000,"4.8080","4.8080","4.8010","4.8020","9606",1686071699999,"46151.9710",259,"1687","8108.1660"
"UNIUSDT","UNIUSDT#1686071700000",1686071700000,"4.8020","4.8040","4.7990","4.8000","4299",1686071759999,"20641.4970",122,"1899","9118.8050"
"UNIUSDT","UNIUSDT#1686071760000",1686071760000,"4.7990","4.8000","4.7970","4.7990","3174",1686071819999,"15230.1880",112,"783","3756.9830"
"UNIUSDT","UNIUSDT#1686071820000",1686071820000,"4.7980","4.8000","4.7920","4.7990","4873",1686071879999,"23369.6910",128,"2297","11017.1410"
"UNIUSDT","UNIUSDT#1686071880000",1686071880000,"4.7990","4.7990","4.7930","4.7950","3523",1686071939999,"16898.2630",78,"860","4125.6050"
"UNIUSDT","UNIUSDT#1686071940000",1686071940000,"4.7960","4.8000","4.7950","4.7970","4509",1686071999999,"21633.4050",106,"1841","8832.5130"
"UNIUSDT","UNIUSDT#1686072000000",1686072000000,"4.7970","4.8000","4.7950","4.8000","3454",1686072059999,"16571.2600",62,"1739","8345.1750"
"UNIUSDT","UNIUSDT#1686072060000",1686072060000,"4.8010","4.8010","4.7990","4.8000","1908",1686072119999,"9159.5300",47,"326","1565.0880"
"UNIUSDT","UNIUSDT#1686072120000",1686072120000,"4.7990","4.8000","4.7940","4.7980","12348",1686072179999,"59224.8650",131,"2971","14253.6540"
"UNIUSDT","UNIUSDT#1686072180000",1686072180000,"4.7970","4.7980","4.7940","4.7950","6469",1686072239999,"31028.0900",76,"4324","20739.4360"
"UNIUSDT","UNIUSDT#1686072240000",1686072240000,"4.7960","4.7970","4.7960","4.7970","2479",1686072299999,"11891.5610",49,"1371","6576.4850"
"UNIUSDT","UNIUSDT#1686072300000",1686072300000,"4.7970","4.8000","4.7940","4.7970","9929",1686072359999,"47629.9720",133,"3960","18993.7270"
"UNIUSDT","UNIUSDT#1686072360000",1686072360000,"4.7970","4.8010","4.7970","4.7990","8925",1686072419999,"42827.9390",117,"2699","12950.6140"
"UNIUSDT","UNIUSDT#1686072420000",1686072420000,"4.7980","4.8320","4.7980","4.8230","83230",1686072479999,"401176.6040",1098,"52979","255327.3630"
"UNIUSDT","UNIUSDT#1686072480000",1686072480000,"4.8220","4.8300","4.8210","4.8290","15068",1686072539999,"72742.5770",252,"10345","49942.9280"
"UNIUSDT","UNIUSDT#1686072540000",1686072540000,"4.8300","4.8390","4.8300","4.8360","19731",1686072599999,"95389.4160",333,"12343","59669.6530"
"UNIUSDT","UNIUSDT#1686072600000",1686072600000,"4.8350","4.8420","4.8290","4.8300","26666",1686072659999,"128922.5490",741,"10550","51021.9840"
"UNIUSDT","UNIUSDT#1686072660000",1686072660000,"4.8300","4.8300","4.8210","4.8240","32341",1686072719999,"156066.3170",1047,"10219","49315.3130"
"UNIUSDT","UNIUSDT#1686072720000",1686072720000,"4.8240","4.8250","4.8190","4.8200","11164",1686072779999,"53829.8780",573,"3760","18132.5470"
"UNIUSDT","UNIUSDT#1686072780000",1686072780000,"4.8190","4.8190","4.8130","4.8130","17938",1686072839999,"86382.6860",550,"4668","22481.3830"
"UNIUSDT","UNIUSDT#1686072840000",1686072840000,"4.8130","4.8180","4.8110","4.8150","11687",1686072899999,"56254.4700",345,"2895","13935.6790"
"UNIUSDT","UNIUSDT#1686072900000",1686072900000,"4.8160","4.8210","4.8140","4.8200","6366",1686072959999,"30672.9540",224,"4093","19722.4840"
"UNIUSDT","UNIUSDT#1686072960000",1686072960000,"4.8210","4.8250","4.8180","4.8230","5025",1686073019999,"24227.0690",134,"1704","8215.9820"
"UNIUSDT","UNIUSDT#1686073020000",1686073020000,"4.8230","4.8310","4.8230","4.8270","8688",1686073079999,"41939.7280",167,"3732","18015.6480"
"UNIUSDT","UNIUSDT#1686073080000",1686073080000,"4.8260","4.8260","4.8210","4.8230","3659",1686073139999,"17649.1570",83,"546","2633.7020"
"UNIUSDT","UNIUSDT#1686073140000",1686073140000,"4.8230","4.8260","4.8230","4.8240","2436",1686073199999,"11752.2280",78,"1404","6773.5220"
"UNIUSDT","UNIUSDT#1686073200000",1686073200000,"4.8240","4.8280","4.8230","4.8230","5154",1686073259999,"24868.9240",243,"2390","11532.9990"
"UNIUSDT","UNIUSDT#1686073260000",1686073260000,"4.8230","4.8250","4.8210","4.8220","6924",1686073319999,"33389.5290",196,"1431","6902.3380"
"UNIUSDT","UNIUSDT#1686073320000",1686073320000,"4.8220","4.8230","4.8190","4.8190","3161",1686073379999,"15237.8690",235,"1062","5119.6910"
"UNIUSDT","UNIUSDT#1686073380000",1686073380000,"4.8190","4.8210","4.8180","4.8200","3660",1686073439999,"17642.1800",118,"1269","6117.1360"
"UNIUSDT","UNIUSDT#1686073440000",1686073440000,"4.8200","4.8230","4.8170","4.8180","4428",1686073499999,"21345.7990",132,"1912","9217.9990"
"UNIUSDT","UNIUSDT#1686073500000",1686073500000,"4.8180","4.8230","4.8170","4.8220","6312",1686073559999,"30418.8220",187,"3725","17953.6530"
"UNIUSDT","UNIUSDT#1686073560000",1686073560000,"4.8220","4.8230","4.8220","4.8230","1137",1686073619999,"5482.6270",30,"645","3110.2030"
"UNIUSDT","UNIUSDT#1686073620000",1686073620000,"4.8220","4.8220","4.8180","4.8180","2451",1686073679999,"11814.5690",48,"99","477.1630"
"UNIUSDT","UNIUSDT#1686073680000",1686073680000,"4.8170","4.8170","4.8080","4.8100","10809",1686073739999,"52018.5060",275,"3110","14967.4170"
"UNIUSDT","UNIUSDT#1686073740000",1686073740000,"4.8100","4.8110","4.8060","4.8090","4069",1686073799999,"19562.5990",165,"2870","13797.7010"
"UNIUSDT","UNIUSDT#1686073800000",1686073800000,"4.8100","4.8140","4.8080","4.8130","3921",1686073859999,"18866.6600",92,"2513","12090.4770"
"UNIUSDT","UNIUSDT#1686073860000",1686073860000,"4.8130","4.8140","4.8110","4.8120","2214",1686073919999,"10655.2580",51,"1096","5275.2000"
"UNIUSDT","UNIUSDT#1686073920000",1686073920000,"4.8130","4.8170","4.8120","4.8150","3258",1686073979999,"15687.4340",75,"1509","7264.6670"
"UNIUSDT","UNIUSDT#1686073980000",1686073980000,"4.8150","4.8170","4.8120","4.8120","5121",1686074039999,"24655.1470",75,"1210","5826.9780"
"UNIUSDT","UNIUSDT#1686074040000",1686074040000,"4.8130","4.8150","4.8120","4.8150","2192",1686074099999,"10551.0730",52,"1809","8707.4570"
"UNIUSDT","UNIUSDT#1686074100000",1686074100000,"4.8140","4.8150","4.8100","4.8140","14827",1686074159999,"71350.0250",165,"5992","28835.2970"
"UNIUSDT","UNIUSDT#1686074160000",1686074160000,"4.8150","4.8180","4.8130","4.8180","5865",1686074219999,"28244.2780",69,"5355","25789.1430"
"UNIUSDT","UNIUSDT#1686074220000",1686074220000,"4.8180","4.8180","4.8160","4.8160","859",1686074279999,"4137.7100",31,"263","1266.8800"
"UNIUSDT","UNIUSDT#1686074280000",1686074280000,"4.8160","4.8180","4.8150","4.8160","1910",1686074339999,"9198.7700",46,"153","736.8800"
"UNIUSDT","UNIUSDT#1686074340000",1686074340000,"4.8160","4.8160","4.8150","4.8160","2362",1686074399999,"11374.6290",33,"80","385.2800"
"UNIUSDT","UNIUSDT#1686074400000",1686074400000,"4.8160","4.8190","4.8160","4.8170","3457",1686074459999,"16652.9930",81,"1680","8093.2830"
