"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"XMRUSDT","XMRUSDT#1686027660000",1686027660000,"142.75","142.75","142.74","142.75","23.936",1686027719999,"3416.82815",32,"20.351","2905.10525"
"XMRUSDT","XMRUSDT#1686027720000",1686027720000,"142.75","142.78","142.73","142.73","105.660",1686027779999,"15082.83297",125,"61.495","8778.41805"
"XMRUSDT","XMRUSDT#1686027780000",1686027780000,"142.72","142.73","142.69","142.71","65.712",1686027839999,"9377.30320",72,"30.424","4341.78999"
"XMRUSDT","XMRUSDT#1686027840000",1686027840000,"142.71","142.71","142.68","142.71","100.398",1686027899999,"14326.08167",53,"29.392","4194.06509"
"XMRUSDT","XMRUSDT#1686027900000",1686027900000,"142.71","142.71","142.55","142.56","129.176",1686027959999,"18425.02579",103,"15.790","2252.42067"
"XMRUSDT","XMRUSDT#1686027960000",1686027960000,"142.55","142.56","142.52","142.53","64.139",1686028019999,"9141.86892",87,"41.750","5950.71204"
"XMRUSDT","XMRUSDT#1686028020000",1686028020000,"142.53","142.53","142.44","142.45","142.155",1686028079999,"20255.86331",99,"51.717","7369.47423"
"XMRUSDT","XMRUSDT#1686028080000",1686028080000,"142.44","142.44","142.40","142.42","61.125",1686028139999,"8705.15356",71,"15.253","2172.24064"
"XMRUSDT","XMRUSDT#1686028140000",1686028140000,"142.42","142.42","142.40","142.41","12.430",1686028199999,"1770.20123",24,"8.897","1267.09419"
"XMRUSDT","XMRUSDT#1686028200000",1686028200000,"142.41","142.41","142.27","142.28","130.706",1686028259999,"18604.91145",80,"17.745","2525.15548"
"XMRUSDT","XMRUSDT#1686028260000",1686028260000,"142.29","142.38","142.29","142.33","76.374",1686028319999,"10870.27539",91,"40.407","5751.25094"
"XMRUSDT","XMRUSDT#1686028320000",1686028320000,"142.33","142.36","142.31","142.36","51.824",1686028379999,"7376.27750",58,"7.853","1117.78457"
"XMRUSDT","XMRUSDT#1686028380000",1686028380000,"142.36","142.36","142.36","142.36","15.353",1686028439999,"2185.65308",10,"15.353","2185.65308"
"XMRUSDT","XMRUSDT#1686028440000",1686028440000,"142.38","142.39","142.37","142.39","7.715",1686028499999,"1098.41469",16,"2.964","422.01482"
"XMRUSDT","XMRUSDT#1686028500000",1686028500000,"142.39","142.49","142.35","142.35","130.979",1686028559999,"18655.03295",105,"87.417","12450.36487"
"XMRUSDT","XMRUSDT#1686028560000",1686028560000,"142.36","142.36","142.28","142.28","30.548",1686028619999,"4346.93168",49,"2.906","413.50070"
"XMRUSDT","XMRUSDT#1686028620000",1686028620000,"142.28","142.28","142.27","142.28","14.057",1686028679999,"1999.95282",32,"6.343","902.48204"
"XMRUSDT","XMRUSDT#1686028680000",1686028680000,"142.27","142.30","142.26","142.30","42.937",1686028739999,"6108.61016",50,"18.889","2687.49314"
"XMRUSDT","XMRUSDT#1686028740000",1686028740000,"142.30","142.33","142.29","142.33","12.940",1686028799999,"1841.54306",21,"12.443","1770.82493"
"XMRUSDT","XMRUSDT#1686028800000",1686028800000,"142.33","142.36","142.29","142.31","56.322",1686028859999,"8015.75209",113,"15.400","2191.91041"
"XMRUSDT","XMRUSDT#1686028860000",1686028860000,"142.31","142.31","142.30","142.30","1.909",1686028919999,"271.66301",4,"1.231","175.18361"
"XMRUSDT","XMRUSDT#1686028920000",1686028920000,"142.31","142.31","142.26","142.28","43.075",1686028979999,"6128.48636",69,"29.375","4179.42107"
"XMRUSDT","XMRUSDT#1686028980000",1686028980000,"142.28","142.32","142.28","142.31","17.970",1686029039999,"2557.17683",26,"13.848","1970.57501"
"XMRUSDT","XMRUSDT#1686029040000",1686029040000,"142.31","142.31","142.20","142.23","103.315",1686029099999,"14695.06238",93,"12.186","1733.18922"
"XMRUSDT","XMRUSDT#1686029100000",1686029100000,"142.23","142.23","142.23","142.23","16.573",1686029159999,"2357.17779",45,"16.573","2357.17779"
"XMRUSDT","XMRUSDT#1686029160000",1686029160000,"142.23","142.23","142.20","142.20","23.232",1686029219999,"3303.68491",56,"16.821","2391.95331"
"XMRUSDT","XMRUSDT#1686029220000",1686029220000,"142.20","142.24","142.20","142.21","30.836",1686029279999,"4385.14352",76,"20.047","2850.80674"
"XMRUSDT","XMRUSDT#1686029280000",1686029280000,"142.21","142.22","142.20","142.20","7.322",1686029339999,"1041.25950",12,"0.830","118.03218"
"XMRUSDT","XMRUSDT#1686029340000",1686029340000,"142.20","142.20","142.16","142.17","14.043",1686029399999,"1996.63920",41,"5.496","781.37223"
"XMRUSDT","XMRUSDT#1686029400000",1686029400000,"142.17","142.18","142.16","142.18","62.075",1686029459999,"8825.19982",65,"60.779","8640.96046"
"XMRUSDT","XMRUSDT#1686029460000",1686029460000,"142.17","142.18","142.10","142.10","51.107",1686029519999,"7264.89609",70,"9.347","1328.44490"
"XMRUSDT","XMRUSDT#1686029520000",1686029520000,"142.10","142.10","141.96","141.97","217.325",1686029579999,"30861.24318",182,"33.838","4805.14571"
