"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"XRPUSDT","XRPUSDT#1686078060000",1686078060000,"0.5163","0.5164","0.5161","0.5163","314910.5",1686078119999,"162579.60516",361,"128346.1","66260.09520"
"XRPUSDT","XRPUSDT#1686078120000",1686078120000,"0.5163","0.5166","0.5161","0.5164","698627.1",1686078179999,"360788.19495",429,"415307.4","214488.15033"
"XRPUSDT","XRPUSDT#1686078180000",1686078180000,"0.5164","0.5164","0.5161","0.5163","198363.3",1686078239999,"102402.92140",252,"71884.0","37109.12460"
"XRPUSDT","XRPUSDT#1686078240000",1686078240000,"0.5164","0.5166","0.5163","0.5165","115488.6",1686078299999,"59633.99576",190,"55763.5","28796.69538"
"XRPUSDT","XRPUSDT#1686078300000",1686078300000,"0.5165","0.5172","0.5165","0.5167","1374276.5",1686078359999,"710422.60033",620,"706795.2","365373.58474"
"XRPUSDT","XRPUSDT#1686078360000",1686078360000,"0.5168","0.5172","0.5167","0.5169","830508.1",1686078419999,"429329.34937",433,"353629.3","182805.83914"
"XRPUSDT","XRPUSDT#1686078420000",1686078420000,"0.5169","0.5172","0.5167","0.5170","774826.7",1686078479999,"400499.47544",382,"300574.2","155373.93622"
"XRPUSDT","XRPUSDT#1686078480000",1686078480000,"0.5170","0.5172","0.5169","0.5170","468628.2",1686078539999,"242303.08914",276,"187259.2","96816.71235"
"XRPUSDT","XRPUSDT#1686078540000",1686078540000,"0.5170","0.5172","0.5169","0.5172","279525.0",1686078599999,"144534.20980",270,"162001.2","83768.46326"
"XRPUSDT","XRPUSDT#1686078600000",1686078600000,"0.5171","0.5173","0.5171","0.5172","365418.2",1686078659999,"189006.58005",326,"249926.7","129277.87284"
"XRPUSDT","XRPUSDT#1686078660000",1686078660000,"0.5173","0.5178","0.5172","0.5177","904365.4",1686078719999,"468096.40540",1022,"538278.5","278605.07735"
"XRPUSDT","XRPUSDT#1686078720000",1686078720000,"0.5177","0.5179","0.5173","0.5176","747193.8",1686078779999,"386771.79996",616,"369085.7","191069.22080"
"XRPUSDT","XRPUSDT#1686078780000",1686078780000,"0.5176","0.5187","0.5175","0.5184","2526854.1",1686078839999,"1309303.89741",1924,"1783164.4","923993.86107"
"XRPUSDT","XRPUSDT#1686078840000",1686078840000,"0.5185","0.5189","0.5181","0.5185","2053621.7",1686078899999,"1064731.51211",1346,"1158900.1","600933.39941"
"XRPUSDT","XRPUSDT#1686078900000",1686078900000,"0.5185","0.5185","0.5177","0.5180","1429613.3",1686078959999,"740587.80581",1203,"365176.9","189160.95073"
"XRPUSDT","XRPUSDT#1686078960000",1686078960000,"0.5179","0.5181","0.5176","0.5181","707671.9",1686079019999,"366484.04166",650,"407718.8","211159.33795"
"XRPUSDT","XRPUSDT#1686079020000",1686079020000,"0.5180","0.5184","0.5179","0.5184","439907.9",1686079079999,"227903.05886",381,"315141.4","163272.64850"
"XRPUSDT","XRPUSDT#1686079080000",1686079080000,"0.5184","0.5187","0.5183","0.5185","1901350.2",1686079139999,"985911.57464",724,"1298678.3","673380.52966"
"XRPUSDT","XRPUSDT#1686079140000",1686079140000,"0.5185","0.5194","0.5185","0.5192","3072245.2",1686079199999,"1594445.47477",1602,"2348670.0","1218914.54199"
"XRPUSDT","XRPUSDT#1686079200000",1686079200000,"0.5191","0.5193","0.5187","0.5188","1125366.9",1686079259999,"584164.20305",986,"378224.5","196360.05299"
"XRPUSDT","XRPUSDT#1686079260000",1686079260000,"0.5188","0.5190","0.5186","0.5188","718091.9",1686079319999,"372518.35454",499,"378733.8","196478.70415"
"XRPUSDT","XRPUSDT#1686079320000",1686079320000,"0.5187","0.5189","0.5181","0.5184","1167502.4",1686079379999,"605391.00144",666,"408014.8","211577.56571"
"XRPUSDT","XRPUSDT#1686079380000",1686079380000,"0.5185","0.5186","0.5183","0.5185","459045.8",1686079439999,"237985.72199",422,"160663.3","83293.13473"
"XRPUSDT","XRPUSDT#1686079440000",1686079440000,"0.5184","0.5197","0.5184","0.5188","5307964.8",1686079499999,"2755951.49584",2438,"2845985.2","1477734.37675"
"XRPUSDT","XRPUSDT#1686079500000",1686079500000,"0.5187","0.5198","0.5186","0.5195","2180362.8",1686079559999,"1132150.44919",1196,"1542743.2","801014.23203"
"XRPUSDT","XRPUSDT#1686079560000",1686079560000,"0.5195","0.5196","0.5191","0.5194","1549188.4",1686079619999,"804539.51019",771,"830614.8","431377.27243"
"XRPUSDT","XRPUSDT#1686079620000",1686079620000,"0.5194","0.5199","0.5192","0.5198","1739513.3",1686079679999,"903870.32839",1036,"1039745.7","540354.97543"
"XRPUSDT","XRPUSDT#1686079680000",1686079680000,"0.5198","0.5207","0.5196","0.5204","3546134.8",1686079739999,"1844377.35652",2521,"2059030.3","1071039.24745"
"XRPUSDT","XRPUSDT#1686079740000",1686079740000,"0.5204","0.5205","0.5198","0.5200","1821750.4",1686079799999,"947395.79420",1386,"685069.0","356300.95332"
"XRPUSDT","XRPUSDT#1686079800000",1686079800000,"0.5199","0.5206","0.5196","0.5205","1687961.4",1686079859999,"877881.41406",1076,"879126.5","457257.90411"
"XRPUSDT","XRPUSDT#1686079860000",1686079860000,"0.5205","0.5209","0.5204","0.5205","1033038.8",1686079919999,"537856.81873",1146,"551188.3","287010.34460"
"XRPUSDT","XRPUSDT#1686079920000",1686079920000,"0.5205","0.5209","0.5204","0.5207","996775.7",1686079979999,"518980.31978",779,"511463.7","266305.05731"
"XRPUSDT","XRPUSDT#1686079980000",1686079980000,"0.5207","0.5207","0.5197","0.5202","1223759.9",1686080039999,"636616.53856",1104,"377778.3","196522.32605"
"XRPUSDT","XRPUSDT#1686080040000",1686080040000,"0.5201","0.5204","0.5200","0.5202","911215.0",1686080099999,"473996.26568",718,"531983.1","276741.44170"
"XRPUSDT","XRPUSDT#1686080100000",1686080100000,"0.5203","0.5219","0.5203","0.5217","2515795.8",1686080159999,"1311395.66410",2321,"1648957.2","859526.90678"
"XRPUSDT","XRPUSDT#1686080160000",1686080160000,"0.5217","0.5218","0.5212","0.5216","2515248.6",1686080219999,"1311669.34549",1656,"1290861.1","673244.83022"
"XRPUSDT","XRPUSDT#1686080220000",1686080220000,"0.5215","0.5218","0.5212","0.5217","1159464.6",1686080279999,"604664.62693",996,"553082.7","288480.34302"
"XRPUSDT","XRPUSDT#1686080280000",1686080280000,"0.5218","0.5218","0.5213","0.5215","1217851.3",1686080339999,"635087.39204",1156,"373790.2","194919.21600"
"XRPUSDT","XRPUSDT#1686080340000",1686080340000,"0.5214","0.5218","0.5210","0.5218","1575891.9",1686080399999,"821627.17075",1152,"891201.5","464665.29419"
"XRPUSDT","XRPUSDT#1686080400000",1686080400000,"0.5218","0.5230","0.5216","0.5225","5240173.6",1686080459999,"2737833.77030",3548,"3097737.5","1618495.33261"
"XRPUSDT","XRPUSDT#1686080460000",1686080460000,"0.5224","0.5233","0.5224","0.5228","2799139.9",1686080519999,"1463846.71968",2129,"1439027.2","752561.01949"
"XRPUSDT","XRPUSDT#1686080520000",1686080520000,"0.5227","0.5228","0.5221","0.5225","1813270.7",1686080579999,"947454.16040",2000,"590706.8","308671.30372"
"XRPUSDT","XRPUSDT#1686080580000",1686080580000,"0.5225","0.5226","0.5218","0.5220","1037143.4",1686080639999,"541666.97271",1369,"465603.2","243184.04791"
"XRPUSDT","XRPUSDT#1686080640000",1686080640000,"0.5220","0.5222","0.5218","0.5221","737996.9",1686080699999,"385249.37770",769,"394747.0","206076.78464"
"XRPUSDT","XRPUSDT#1686080700000",1686080700000,"0.5222","0.5233","0.5217","0.5231","2988590.6",1686080759999,"1561715.57664",1431,"1937293.3","1012473.60105"
"XRPUSDT","XRPUSDT#1686080760000",1686080760000,"0.5230","0.5243","0.5229","0.5230","5048901.6",1686080819999,"2643648.96481",3079,"2940340.8","1539605.70810"
"XRPUSDT","XRPUSDT#1686080820000",1686080820000,"0.5229","0.5250","0.5224","0.5250","4207363.1",1686080879999,"2204636.37134",2993,"2675678.0","1401989.94231"
"XRPUSDT","XRPUSDT#1686080880000",1686080880000,"0.5250","0.5252","0.5239","0.5246","4141614.6",1686080939999,"2172221.51616",2658,"2462526.3","1291670.34928"
"XRPUSDT","XRPUSDT#1686080940000",1686080940000,"0.5247","0.5261","0.5246","0.5253","4407949.1",1686080999999,"2316536.08608",3237,"2948155.9","1549403.47104"
"XRPUSDT","XRPUSDT#1686081000000",1686081000000,"0.5253","0.5263","0.5248","0.5263","4390499.4",1686081059999,"2306701.37691",3220,"2782010.2","1461780.15865"
"XRPUSDT","XRPUSDT#1686081060000",1686081060000,"0.5263","0.5271","0.5258","0.5263","6941824.7",1686081119999,"3654501.00776",4168,"3867433.1","2036134.13827"
"XRPUSDT","XRPUSDT#1686081120000",1686081120000,"0.5262","0.5291","0.5262","0.5281","10382950.4",1686081179999,"5481747.29402",5639,"7319384.6","3864465.11113"
"XRPUSDT","XRPUSDT#1686081180000",1686081180000,"0.5280","0.5291","0.5264","0.5270","6235858.8",1686081239999,"3290511.30182",4783,"2631885.9","1388840.66132"
"XRPUSDT","XRPUSDT#1686081240000",1686081240000,"0.5270","0.5271","0.5261","0.5265","3608268.1",1686081299999,"1899643.98382",2884,"1627568.2","856849.00280"
"XRPUSDT","XRPUSDT#1686081300000",1686081300000,"0.5265","0.5283","0.5265","0.5277","3233147.3",1686081359999,"1705664.49067",2555,"2163098.7","1141236.39506"
"XRPUSDT","XRPUSDT#1686081360000",1686081360000,"0.5278","0.5295","0.5274","0.5293","4971299.4",1686081419999,"2628769.96830",3418,"2936634.2","1552772.04922"
"XRPUSDT","XRPUSDT#1686081420000",1686081420000,"0.5293","0.5293","0.5286","0.5288","4044130.2",1686081479999,"2139112.41005",2482,"2334860.9","1235047.78702"
"XRPUSDT","XRPUSDT#1686081480000",1686081480000,"0.5288","0.5295","0.5286","0.5293","3509598.8",1686081539999,"1856828.39535",2066,"2514598.8","1330454.89443"
"XRPUSDT","XRPUSDT#1686081540000",1686081540000,"0.5293","0.5293","0.5279","0.5280","4017735.2",1686081599999,"2123711.32472",2103,"1989140.0","1051527.57262"
"XRPUSDT","XRPUSDT#1686081600000",1686081600000,"0.5280","0.5293","0.5280","0.5292","3890472.3",1686081659999,"2057060.37487",2182,"2400544.7","1269437.86616"
