"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"XTZUSDT","XTZUSDT#1686060060000",1686060060000,"0.855","0.858","0.855","0.857","34496.8",1686060119999,"29549.6763",137,"27699.9","23732.1306"
"XTZUSDT","XTZUSDT#1686060120000",1686060120000,"0.857","0.861","0.856","0.859","216602.9",1686060179999,"186128.3695",458,"104334.7","89692.5092"
"XTZUSDT","XTZUSDT#1686060180000",1686060180000,"0.860","0.865","0.860","0.863","187447.3",1686060239999,"161609.1321",403,"79422.3","68442.1073"
"XTZUSDT","XTZUSDT#1686060240000",1686060240000,"0.863","0.864","0.860","0.860","88581.3",1686060299999,"76325.6448",204,"36164.9","31172.0677"
"XTZUSDT","XTZUSDT#1686060300000",1686060300000,"0.861","0.862","0.857","0.859","57828.8",1686060359999,"49676.5360",164,"9349.5","8026.4849"
"XTZUSDT","XTZUSDT#1686060360000",1686060360000,"0.858","0.860","0.858","0.860","57412.5",1686060419999,"49320.8001",109,"34987.0","30057.4585"
"XTZUSDT","XTZUSDT#1686060420000",1686060420000,"0.859","0.861","0.859","0.860","41618.7",1686060479999,"35791.4516",96,"22527.2","19374.2985"
"XTZUSDT","XTZUSDT#1686060480000",1686060480000,"0.859","0.861","0.858","0.861","55576.5",1686060539999,"47757.8054",131,"28140.2","24182.4024"
"XTZUSDT","XTZUSDT#1686060540000",1686060540000,"0.861","0.861","0.859","0.861","51779.5",1686060599999,"44552.3553",89,"33584.0","28904.5655"
"XTZUSDT","XTZUSDT#1686060600000",1686060600000,"0.861","0.863","0.860","0.863","41269.3",1686060659999,"35549.4116",138,"24384.2","21011.4636"
"XTZUSDT","XTZUSDT#1686060660000",1686060660000,"0.862","0.865","0.862","0.863","86114.3",1686060719999,"74361.2969",181,"46527.7","40184.4862"
"XTZUSDT","XTZUSDT#1686060720000",1686060720000,"0.863","0.863","0.861","0.862","72352.1",1686060779999,"62366.4654",207,"27805.8","23970.5065"
"XTZUSDT","XTZUSDT#1686060780000",1686060780000,"0.862","0.863","0.861","0.862","15684.2",1686060839999,"13519.6011",57,"9372.8","8079.3713"
"XTZUSDT","XTZUSDT#1686060840000",1686060840000,"0.862","0.862","0.859","0.859","71062.2",1686060899999,"61127.5079",141,"20937.4","18009.5469"
"XTZUSDT","XTZUSDT#1686060900000",1686060900000,"0.859","0.862","0.859","0.859","43467.1",1686060959999,"37392.7780",103,"17962.3","15456.6334"
"XTZUSDT","XTZUSDT#1686060960000",1686060960000,"0.859","0.861","0.859","0.860","34820.3",1686061019999,"29941.6450",119,"11954.4","10280.8784"
"XTZUSDT","XTZUSDT#1686061020000",1686061020000,"0.859","0.861","0.858","0.860","40922.8",1686061079999,"35176.4170",99,"15745.3","13537.7590"
"XTZUSDT","XTZUSDT#1686061080000",1686061080000,"0.860","0.860","0.858","0.858","15164.7",1686061139999,"13027.3393",48,"1684.9","1448.9951"
"XTZUSDT","XTZUSDT#1686061140000",1686061140000,"0.858","0.859","0.856","0.856","23346.9",1686061199999,"20019.1172",100,"6329.4","5427.6250"
"XTZUSDT","XTZUSDT#1686061200000",1686061200000,"0.857","0.859","0.856","0.859","30167.3",1686061259999,"25866.4523",104,"23334.5","20010.9956"
"XTZUSDT","XTZUSDT#1686061260000",1686061260000,"0.859","0.860","0.857","0.860","34832.1",1686061319999,"29908.1511",103,"28863.3","24783.7144"
"XTZUSDT","XTZUSDT#1686061320000",1686061320000,"0.860","0.862","0.859","0.862","29880.2",1686061379999,"25706.5675",70,"28056.0","24137.7791"
"XTZUSDT","XTZUSDT#1686061380000",1686061380000,"0.862","0.862","0.860","0.862","10434.5",1686061439999,"8983.5467",78,"5863.3","5048.3769"
"XTZUSDT","XTZUSDT#1686061440000",1686061440000,"0.861","0.862","0.861","0.861","1175.8",1686061499999,"1012.6559",18,"292.1","251.7902"
"XTZUSDT","XTZUSDT#1686061500000",1686061500000,"0.861","0.863","0.861","0.862","30808.1",1686061559999,"26552.2379",79,"10898.6","9394.6345"
