"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"AGIXUSDT","AGIXUSDT#1686114060000",1686114060000,"0.2749000","0.2751000","0.2745000","0.2748000","129699",1686114119999,"35632.1196000",187,"61483","16894.5340000"
"AGIXUSDT","AGIXUSDT#1686114120000",1686114120000,"0.2748000","0.2750000","0.2747000","0.2748000","64705",1686114179999,"17785.1196000",149,"44912","12345.8407000"
"AGIXUSDT","AGIXUSDT#1686114180000",1686114180000,"0.2748000","0.2751000","0.2748000","0.2748000","151059",1686114239999,"41524.6496000",182,"96927","26645.6977000"
"AGIXUSDT","AGIXUSDT#1686114240000",1686114240000,"0.2748000","0.2750000","0.2747000","0.2747000","95148",1686114299999,"26150.9087000",99,"43898","12066.0068000"
"AGIXUSDT","AGIXUSDT#1686114300000",1686114300000,"0.2747000","0.2774000","0.2746000","0.2768000","1536490",1686114359999,"424194.8300000",1248,"1033773","285195.4520000"
"AGIXUSDT","AGIXUSDT#1686114360000",1686114360000,"0.2768000","0.2769000","0.2762000","0.2765000","543745",1686114419999,"150346.7184000",444,"236340","65365.4725000"
"AGIXUSDT","AGIXUSDT#1686114420000",1686114420000,"0.2765000","0.2774000","0.2765000","0.2771000","361529",1686114479999,"100177.3651000",288,"206339","57170.7984000"
"AGIXUSDT","AGIXUSDT#1686114480000",1686114480000,"0.2770000","0.2779000","0.2770000","0.2775000","242760",1686114539999,"67372.3047000",297,"135380","37575.7970000"
"AGIXUSDT","AGIXUSDT#1686114540000",1686114540000,"0.2775000","0.2777000","0.2769000","0.2775000","224210",1686114599999,"62165.3061000",214,"138856","38502.3387000"
"AGIXUSDT","AGIXUSDT#1686114600000",1686114600000,"0.2775000","0.2775000","0.2764000","0.2765000","214323",1686114659999,"59314.9544000",220,"61655","17058.5365000"
"AGIXUSDT","AGIXUSDT#1686114660000",1686114660000,"0.2765000","0.2765000","0.2756000","0.2757000","478796",1686114719999,"132134.0777000",410,"132473","36559.4389000"
"AGIXUSDT","AGIXUSDT#1686114720000",1686114720000,"0.2757000","0.2758000","0.2754000","0.2758000","133757",1686114779999,"36867.1300000",169,"85768","23640.9237000"
"AGIXUSDT","AGIXUSDT#1686114780000",1686114780000,"0.2757000","0.2759000","0.2755000","0.2759000","101003",1686114839999,"27846.1027000",113,"78784","21721.4455000"
"AGIXUSDT","AGIXUSDT#1686114840000",1686114840000,"0.2759000","0.2759000","0.2753000","0.2753000","236343",1686114899999,"65114.7946000",208,"95737","26371.9581000"
"AGIXUSDT","AGIXUSDT#1686114900000",1686114900000,"0.2754000","0.2754000","0.2748000","0.2749000","322505",1686114959999,"88685.9823000",348,"133959","36839.2974000"
"AGIXUSDT","AGIXUSDT#1686114960000",1686114960000,"0.2749000","0.2750000","0.2747000","0.2749000","110440",1686115019999,"30355.0228000",112,"41983","11539.8308000"
"AGIXUSDT","AGIXUSDT#1686115020000",1686115020000,"0.2749000","0.2749000","0.2745000","0.2745000","93933",1686115079999,"25808.1937000",141,"26480","7276.8675000"
"AGIXUSDT","AGIXUSDT#1686115080000",1686115080000,"0.2746000","0.2746000","0.2740000","0.2741000","166153",1686115139999,"45567.3931000",255,"46689","12805.8527000"
"AGIXUSDT","AGIXUSDT#1686115140000",1686115140000,"0.2741000","0.2744000","0.2737000","0.2744000","316011",1686115199999,"86596.2317000",276,"146249","40086.7976000"
"AGIXUSDT","AGIXUSDT#1686115200000",1686115200000,"0.2745000","0.2748000","0.2741000","0.2748000","187029",1686115259999,"51315.5614000",172,"89527","24571.6040000"
"AGIXUSDT","AGIXUSDT#1686115260000",1686115260000,"0.2748000","0.2750000","0.2743000","0.2743000","172455",1686115319999,"47370.3535000",160,"58487","16071.3216000"
"AGIXUSDT","AGIXUSDT#1686115320000",1686115320000,"0.2742000","0.2742000","0.2739000","0.2740000","266992",1686115379999,"73160.3013000",217,"43068","11803.2241000"
"AGIXUSDT","AGIXUSDT#1686115380000",1686115380000,"0.2740000","0.2740000","0.2738000","0.2739000","92534",1686115439999,"25343.7215000",115,"12582","3446.7664000"
"AGIXUSDT","AGIXUSDT#1686115440000",1686115440000,"0.2738000","0.2743000","0.2736000","0.2740000","292120",1686115499999,"80024.5772000",237,"199171","54569.3197000"
"AGIXUSDT","AGIXUSDT#1686115500000",1686115500000,"0.2740000","0.2741000","0.2735000","0.2739000","137425",1686115559999,"37625.1080000",152,"39598","10844.1556000"
"AGIXUSDT","AGIXUSDT#1686115560000",1686115560000,"0.2740000","0.2740000","0.2738000","0.2740000","76589",1686115619999,"20976.2761000",101,"63680","17440.7241000"
"AGIXUSDT","AGIXUSDT#1686115620000",1686115620000,"0.2740000","0.2742000","0.2731000","0.2734000","468559",1686115679999,"128156.1406000",385,"244132","66770.3328000"
"AGIXUSDT","AGIXUSDT#1686115680000",1686115680000,"0.2733000","0.2733000","0.2728000","0.2729000","389664",1686115739999,"106410.4869000",304,"169322","46247.1637000"
"AGIXUSDT","AGIXUSDT#1686115740000",1686115740000,"0.2730000","0.2731000","0.2730000","0.2730000","145711",1686115799999,"39784.3171000",109,"111189","30359.0653000"
"AGIXUSDT","AGIXUSDT#1686115800000",1686115800000,"0.2731000","0.2734000","0.2726000","0.2728000","382294",1686115859999,"104337.4088000",342,"167945","45855.9172000"
"AGIXUSDT","AGIXUSDT#1686115860000",1686115860000,"0.2728000","0.2730000","0.2721000","0.2724000","305290",1686115919999,"83194.2909000",254,"84582","23059.3035000"
"AGIXUSDT","AGIXUSDT#1686115920000",1686115920000,"0.2723000","0.2725000","0.2721000","0.2725000","161014",1686115979999,"43839.6880000",157,"125973","34300.7341000"
"AGIXUSDT","AGIXUSDT#1686115980000",1686115980000,"0.2725000","0.2727000","0.2723000","0.2724000","141475",1686116039999,"38552.9472000",118,"80039","21813.5584000"
"AGIXUSDT","AGIXUSDT#1686116040000",1686116040000,"0.2723000","0.2725000","0.2722000","0.2722000","155084",1686116099999,"42230.7295000",145,"127683","34770.4978000"
"AGIXUSDT","AGIXUSDT#1686116100000",1686116100000,"0.2722000","0.2723000","0.2720000","0.2720000","132391",1686116159999,"36029.7595000",161,"51028","13890.6567000"
"AGIXUSDT","AGIXUSDT#1686116160000",1686116160000,"0.2721000","0.2727000","0.2721000","0.2727000","241965",1686116219999,"65903.3516000",234,"202009","55021.2782000"
"AGIXUSDT","AGIXUSDT#1686116220000",1686116220000,"0.2727000","0.2727000","0.2719000","0.2721000","150442",1686116279999,"40954.8986000",174,"20860","5678.5813000"
"AGIXUSDT","AGIXUSDT#1686116280000",1686116280000,"0.2720000","0.2723000","0.2720000","0.2723000","36792",1686116339999,"10014.5354000",54,"27668","7531.2484000"
"AGIXUSDT","AGIXUSDT#1686116340000",1686116340000,"0.2723000","0.2733000","0.2723000","0.2732000","544360",1686116399999,"148483.7177000",392,"416611","113622.0882000"
