"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BELUSDT","BELUSDT#1686092460000",1686092460000,"0.71260","0.71260","0.71170","0.71190","13236",1686092519999,"9424.68150",72,"5008","3565.08140"
"BELUSDT","BELUSDT#1686092520000",1686092520000,"0.71220","0.71260","0.71200","0.71240","11809",1686092579999,"8412.61650",78,"4179","2977.27540"
"BELUSDT","BELUSDT#1686092580000",1686092580000,"0.71240","0.71240","0.71170","0.71170","13445",1686092639999,"9573.26250",60,"544","387.44460"
"BELUSDT","BELUSDT#1686092640000",1686092640000,"0.71170","0.71170","0.71100","0.71100","27024",1686092699999,"19224.03130",104,"10167","7231.68660"
"BELUSDT","BELUSDT#1686092700000",1686092700000,"0.71110","0.71210","0.71110","0.71210","24362",1686092759999,"17333.59840",77,"15542","11056.58170"
"BELUSDT","BELUSDT#1686092760000",1686092760000,"0.71200","0.71230","0.71160","0.71160","19106",1686092819999,"13604.90410",68,"4241","3019.97810"
"BELUSDT","BELUSDT#1686092820000",1686092820000,"0.71160","0.71160","0.71120","0.71120","3436",1686092879999,"2444.20470",25,"1192","847.86210"
"BELUSDT","BELUSDT#1686092880000",1686092880000,"0.71110","0.71110","0.71070","0.71080","9846",1686092939999,"6999.23020",46,"5025","3571.92090"
"BELUSDT","BELUSDT#1686092940000",1686092940000,"0.71090","0.71180","0.71090","0.71150","11285",1686092999999,"8027.12550",52,"7755","5515.18010"
"BELUSDT","BELUSDT#1686093000000",1686093000000,"0.71140","0.71140","0.71060","0.71080","15672",1686093059999,"11139.72030",46,"3310","2353.02370"
"BELUSDT","BELUSDT#1686093060000",1686093060000,"0.71070","0.71150","0.71070","0.71070","19234",1686093119999,"13676.64730",66,"15197","10806.55360"
"BELUSDT","BELUSDT#1686093120000",1686093120000,"0.71070","0.71090","0.71070","0.71080","3352",1686093179999,"2382.63720",35,"2681","1905.71540"
"BELUSDT","BELUSDT#1686093180000",1686093180000,"0.71080","0.71140","0.71070","0.71130","4442",1686093239999,"3157.91850",30,"2216","1575.19600"
"BELUSDT","BELUSDT#1686093240000",1686093240000,"0.71100","0.71150","0.71080","0.71090","11502",1686093299999,"8178.67580",51,"2549","1812.66030"
"BELUSDT","BELUSDT#1686093300000",1686093300000,"0.71090","0.71140","0.71070","0.71070","14827",1686093359999,"10540.78620",62,"3650","2595.08980"
"BELUSDT","BELUSDT#1686093360000",1686093360000,"0.71080","0.71080","0.71070","0.71070","1390",1686093419999,"987.98770",13,"1147","815.28760"
"BELUSDT","BELUSDT#1686093420000",1686093420000,"0.71070","0.71110","0.71070","0.71070","7478",1686093479999,"5315.65010",47,"4139","2942.08560"
"BELUSDT","BELUSDT#1686093480000",1686093480000,"0.71080","0.71080","0.70980","0.70980","52116",1686093539999,"37026.19510",99,"766","544.09540"
"BELUSDT","BELUSDT#1686093540000",1686093540000,"0.70970","0.70990","0.70940","0.70950","19681",1686093599999,"13966.03190",56,"3980","2825.16930"
"BELUSDT","BELUSDT#1686093600000",1686093600000,"0.70950","0.70990","0.70940","0.70950","13794",1686093659999,"9788.63130",62,"10767","7640.52600"
"BELUSDT","BELUSDT#1686093660000",1686093660000,"0.70960","0.71030","0.70950","0.71010","9759",1686093719999,"6927.39480",62,"8979","6373.58110"
"BELUSDT","BELUSDT#1686093720000",1686093720000,"0.71020","0.71040","0.71000","0.71020","8526",1686093779999,"6055.07320",32,"6950","4935.92770"
"BELUSDT","BELUSDT#1686093780000",1686093780000,"0.71020","0.71050","0.71020","0.71030","5056",1686093839999,"3591.02280",31,"2854","2027.06470"
"BELUSDT","BELUSDT#1686093840000",1686093840000,"0.71050","0.71100","0.71030","0.71100","15417",1686093899999,"10958.25550",77,"9038","6424.25930"
"BELUSDT","BELUSDT#1686093900000",1686093900000,"0.71130","0.71150","0.71050","0.71050","10775",1686093959999,"7661.17300",47,"962","684.08820"
"BELUSDT","BELUSDT#1686093960000",1686093960000,"0.71040","0.71210","0.71040","0.71210","36310",1686094019999,"25837.15440",124,"23920","17018.11790"
"BELUSDT","BELUSDT#1686094020000",1686094020000,"0.71170","0.71180","0.71110","0.71180","21156",1686094079999,"15053.18210",104,"9053","6441.24560"
"BELUSDT","BELUSDT#1686094080000",1686094080000,"0.71180","0.71290","0.71160","0.71260","27395",1686094139999,"19516.18000",109,"10405","7410.75320"
"BELUSDT","BELUSDT#1686094140000",1686094140000,"0.71260","0.71270","0.71150","0.71150","35710",1686094199999,"25430.92600",103,"4107","2923.52090"
"BELUSDT","BELUSDT#1686094200000",1686094200000,"0.71160","0.71170","0.71030","0.71050","49828",1686094259999,"35416.94110",182,"31030","22053.12140"
"BELUSDT","BELUSDT#1686094260000",1686094260000,"0.71040","0.71040","0.70940","0.70980","14813",1686094319999,"10513.68530",89,"6893","4891.57390"
"BELUSDT","BELUSDT#1686094320000",1686094320000,"0.70990","0.71020","0.70940","0.70950","24916",1686094379999,"17682.14630",84,"15493","10993.76500"
"BELUSDT","BELUSDT#1686094380000",1686094380000,"0.70950","0.70980","0.70900","0.70980","9529",1686094439999,"6758.86210",48,"4831","3426.65890"
"BELUSDT","BELUSDT#1686094440000",1686094440000,"0.70990","0.70990","0.70820","0.70820","21057",1686094499999,"14927.69360",98,"3901","2765.30800"
"BELUSDT","BELUSDT#1686094500000",1686094500000,"0.70820","0.70880","0.70700","0.70700","21600",1686094559999,"15294.01750",119,"6726","4764.22910"
"BELUSDT","BELUSDT#1686094560000",1686094560000,"0.70690","0.70800","0.70690","0.70690","21903",1686094619999,"15497.01940",106,"16304","11535.22130"
"BELUSDT","BELUSDT#1686094620000",1686094620000,"0.70700","0.70790","0.70690","0.70720","49167",1686094679999,"34781.60490",120,"18695","13222.69070"
"BELUSDT","BELUSDT#1686094680000",1686094680000,"0.70730","0.70760","0.70670","0.70700","18209",1686094739999,"12876.05280",94,"4826","3412.08730"
"BELUSDT","BELUSDT#1686094740000",1686094740000,"0.70680","0.70780","0.70640","0.70750","42067",1686094799999,"29741.44110",111,"20622","14581.57580"
"BELUSDT","BELUSDT#1686094800000",1686094800000,"0.70760","0.70820","0.70700","0.70700","15459",1686094859999,"10941.37730",104,"6232","4411.65300"
"BELUSDT","BELUSDT#1686094860000",1686094860000,"0.70710","0.70780","0.70710","0.70760","9093",1686094919999,"6432.33170",58,"2681","1896.27800"
"BELUSDT","BELUSDT#1686094920000",1686094920000,"0.70750","0.70780","0.70730","0.70780","1133",1686094979999,"801.61750",20,"601","425.21820"
"BELUSDT","BELUSDT#1686094980000",1686094980000,"0.70780","0.70780","0.70720","0.70720","7869",1686095039999,"5567.56370",44,"3217","2275.66230"
"BELUSDT","BELUSDT#1686095040000",1686095040000,"0.70730","0.70850","0.70730","0.70830","16265",1686095099999,"11518.52390",71,"7116","5037.37910"
"BELUSDT","BELUSDT#1686095100000",1686095100000,"0.70840","0.70840","0.70790","0.70810","19172",1686095159999,"13575.34450",66,"8917","6312.56720"
