"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BLURUSDT","BLURUSDT#1686121260000",1686121260000,"0.4503000","0.4505000","0.4497000","0.4500000","11278",1686121319999,"5078.2661000",34,"1767","795.0160000"
"BLURUSDT","BLURUSDT#1686121320000",1686121320000,"0.4500000","0.4502000","0.4498000","0.4499000","12993",1686121379999,"5846.9176000",22,"2892","1301.4375000"
"BLURUSDT","BLURUSDT#1686121380000",1686121380000,"0.4498000","0.4503000","0.4495000","0.4501000","68208",1686121439999,"30688.0565000",94,"32206","14495.8575000"
"BLURUSDT","BLURUSDT#1686121440000",1686121440000,"0.4501000","0.4503000","0.4501000","0.4503000","7203",1686121499999,"3242.7892000",18,"6818","3069.4622000"
"BLURUSDT","BLURUSDT#1686121500000",1686121500000,"0.4503000","0.4508000","0.4503000","0.4507000","24111",1686121559999,"10862.8250000",70,"21982","9903.7977000"
"BLURUSDT","BLURUSDT#1686121560000",1686121560000,"0.4506000","0.4506000","0.4497000","0.4499000","35873",1686121619999,"16149.6856000",49,"4252","1913.1345000"
"BLURUSDT","BLURUSDT#1686121620000",1686121620000,"0.4499000","0.4507000","0.4499000","0.4507000","29216",1686121679999,"13156.0861000",65,"13767","6201.2346000"
"BLURUSDT","BLURUSDT#1686121680000",1686121680000,"0.4508000","0.4509000","0.4505000","0.4505000","4643",1686121739999,"2093.0769000",11,"495","223.1660000"
"BLURUSDT","BLURUSDT#1686121740000",1686121740000,"0.4507000","0.4508000","0.4496000","0.4496000","19431",1686121799999,"8750.3973000",44,"3510","1581.5271000"
"BLURUSDT","BLURUSDT#1686121800000",1686121800000,"0.4495000","0.4498000","0.4492000","0.4492000","32191",1686121859999,"14469.8954000",67,"13136","5905.5709000"
"BLURUSDT","BLURUSDT#1686121860000",1686121860000,"0.4491000","0.4494000","0.4489000","0.4494000","7705",1686121919999,"3460.8450000",31,"3562","1600.5147000"
"BLURUSDT","BLURUSDT#1686121920000",1686121920000,"0.4493000","0.4494000","0.4486000","0.4486000","12736",1686121979999,"5721.3401000",36,"675","303.3450000"
"BLURUSDT","BLURUSDT#1686121980000",1686121980000,"0.4487000","0.4488000","0.4473000","0.4474000","94680",1686122039999,"42413.6337000",255,"27529","12330.5596000"
"BLURUSDT","BLURUSDT#1686122040000",1686122040000,"0.4475000","0.4477000","0.4463000","0.4477000","92056",1686122099999,"41130.0922000",210,"37833","16907.7574000"
"BLURUSDT","BLURUSDT#1686122100000",1686122100000,"0.4476000","0.4479000","0.4471000","0.4474000","29450",1686122159999,"13181.4194000",72,"11931","5340.8346000"
"BLURUSDT","BLURUSDT#1686122160000",1686122160000,"0.4474000","0.4485000","0.4472000","0.4485000","35849",1686122219999,"16064.5038000",114,"29784","13347.0365000"
"BLURUSDT","BLURUSDT#1686122220000",1686122220000,"0.4485000","0.4487000","0.4482000","0.4487000","14112",1686122279999,"6326.9305000",42,"2485","1114.2952000"
"BLURUSDT","BLURUSDT#1686122280000",1686122280000,"0.4486000","0.4487000","0.4480000","0.4480000","49014",1686122339999,"21960.4885000",47,"44237","19818.7773000"
