"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BTCUSDT","BTCUSDT#1686099660000",1686099660000,"27187.20","27201.10","27176.00","27190.50","713.142",1686099719999,"19389571.52050",4882,"483.622","13149450.65470"
"BTCUSDT","BTCUSDT#1686099720000",1686099720000,"27190.50","27212.90","27189.20","27208.00","531.193",1686099779999,"14450697.14730",3765,"386.104","10503466.40660"
"BTCUSDT","BTCUSDT#1686099780000",1686099780000,"27207.90","27208.00","27158.00","27158.00","679.921",1686099839999,"18477975.95810",5122,"145.003","3940363.57070"
"BTCUSDT","BTCUSDT#1686099840000",1686099840000,"27158.10","27165.00","27147.10","27160.00","604.571",1686099899999,"16417232.60930",5594,"250.186","6794178.64360"
"BTCUSDT","BTCUSDT#1686099900000",1686099900000,"27160.00","27178.20","27156.70","27169.10","450.418",1686099959999,"12237427.13780",4374,"296.227","8048015.20000"
"BTCUSDT","BTCUSDT#1686099960000",1686099960000,"27169.10","27179.10","27166.10","27168.20","189.684",1686100019999,"5154240.59350",2175,"84.947","2308263.31280"
"BTCUSDT","BTCUSDT#1686100020000",1686100020000,"27168.20","27169.70","27153.20","27157.20","235.679",1686100079999,"6400946.80780",2743,"66.746","1812648.54930"
"BTCUSDT","BTCUSDT#1686100080000",1686100080000,"27157.20","27161.90","27146.00","27147.50","228.773",1686100139999,"6212299.54170",2768,"74.634","2026696.11570"
"BTCUSDT","BTCUSDT#1686100140000",1686100140000,"27147.50","27148.20","27128.10","27136.30","799.718",1686100199999,"21703649.60380",5984,"322.547","8753789.95840"
"BTCUSDT","BTCUSDT#1686100200000",1686100200000,"27136.20","27164.10","27136.20","27162.10","710.992",1686100259999,"19307056.96350",5762,"516.433","14023292.19720"
"BTCUSDT","BTCUSDT#1686100260000",1686100260000,"27162.10","27162.40","27146.00","27146.10","252.329",1686100319999,"6851967.28680",2348,"105.434","2863131.97750"
"BTCUSDT","BTCUSDT#1686100320000",1686100320000,"27146.00","27148.80","27128.00","27129.50","231.207",1686100379999,"6275265.19480",2537,"83.240","2259221.70330"
"BTCUSDT","BTCUSDT#1686100380000",1686100380000,"27129.50","27135.60","27113.40","27113.50","779.869",1686100439999,"21153248.92090",6907,"331.519","8992236.98010"
"BTCUSDT","BTCUSDT#1686100440000",1686100440000,"27113.50","27135.50","27101.60","27120.10","874.627",1686100499999,"23716729.18310",6937,"486.923","13204320.17800"
"BTCUSDT","BTCUSDT#1686100500000",1686100500000,"27120.00","27142.00","27117.40","27141.80","469.218",1686100559999,"12731843.51430",4243,"302.464","8207022.72240"
"BTCUSDT","BTCUSDT#1686100560000",1686100560000,"27141.80","27154.60","27126.50","27154.50","500.625",1686100619999,"13587778.06010",5233,"325.640","8838557.37620"
"BTCUSDT","BTCUSDT#1686100620000",1686100620000,"27154.50","27154.60","27122.00","27137.90","426.845",1686100679999,"11582383.29630",3558,"145.093","3936966.13270"
"BTCUSDT","BTCUSDT#1686100680000",1686100680000,"27137.80","27137.80","27120.40","27121.10","159.786",1686100739999,"4334306.71860",2237,"53.820","1459852.11370"
"BTCUSDT","BTCUSDT#1686100740000",1686100740000,"27121.10","27128.00","27101.50","27112.10","399.685",1686100799999,"10836572.98060",3826,"170.365","4619078.92160"
"BTCUSDT","BTCUSDT#1686100800000",1686100800000,"27112.10","27122.50","27068.90","27114.00","1492.717",1686100859999,"40442729.89490",10449,"611.656","16574210.81240"
"BTCUSDT","BTCUSDT#1686100860000",1686100860000,"27114.10","27126.20","27110.00","27110.10","292.174",1686100919999,"7923536.49770",3007,"156.065","4232426.02340"
