"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"C98USDT","C98USDT#1686092460000",1686092460000,"0.1828","0.1828","0.1827","0.1827","20267",1686092519999,"3703.4254",114,"10476","1914.6097"
"C98USDT","C98USDT#1686092520000",1686092520000,"0.1827","0.1827","0.1826","0.1827","22215",1686092579999,"4057.5150",57,"17024","3109.6384"
"C98USDT","C98USDT#1686092580000",1686092580000,"0.1827","0.1827","0.1825","0.1825","27533",1686092639999,"5027.3406",31,"883","161.3241"
"C98USDT","C98USDT#1686092640000",1686092640000,"0.1826","0.1826","0.1825","0.1825","3457",1686092699999,"630.9725",9,"700","127.8200"
"C98USDT","C98USDT#1686092700000",1686092700000,"0.1826","0.1827","0.1826","0.1827","32915",1686092759999,"6011.4984",73,"26435","4827.6024"
"C98USDT","C98USDT#1686092760000",1686092760000,"0.1827","0.1828","0.1826","0.1826","24479",1686092819999,"4471.5359",49,"6242","1140.4271"
"C98USDT","C98USDT#1686092820000",1686092820000,"0.1826","0.1826","0.1825","0.1825","2573",1686092879999,"469.5791",6,"66","12.0516"
"C98USDT","C98USDT#1686092880000",1686092880000,"0.1825","0.1825","0.1825","0.1825","1012",1686092939999,"184.6900",1,"0","0.0000"
"C98USDT","C98USDT#1686092940000",1686092940000,"0.1826","0.1826","0.1826","0.1826","29405",1686092999999,"5369.3530",61,"13299","2428.3974"
"C98USDT","C98USDT#1686093000000",1686093000000,"0.1825","0.1826","0.1825","0.1825","18229",1686093059999,"3326.8286",37,"8081","1474.8186"
"C98USDT","C98USDT#1686093060000",1686093060000,"0.1825","0.1826","0.1825","0.1825","19850",1686093119999,"3624.2213",51,"12309","2247.6234"
"C98USDT","C98USDT#1686093120000",1686093120000,"0.1826","0.1826","0.1826","0.1826","18016",1686093179999,"3289.7216",41,"11372","2076.5272"
"C98USDT","C98USDT#1686093180000",1686093180000,"0.1825","0.1825","0.1825","0.1825","14155",1686093239999,"2583.2875",15,"62","11.3150"
"C98USDT","C98USDT#1686093240000",1686093240000,"0.1825","0.1825","0.1825","0.1825","7680",1686093299999,"1401.6000",27,"4498","820.8850"
"C98USDT","C98USDT#1686093300000",1686093300000,"0.1825","0.1826","0.1825","0.1825","23664",1686093359999,"4319.0582",43,"21152","3860.6182"
