"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"CKBUSDT","CKBUSDT#1686164460000",1686164460000,"0.0031750","0.0031760","0.0031740","0.0031740","842529",1686164519999,"2674.8760420",80,"97695","310.2381190"
"CKBUSDT","CKBUSDT#1686164520000",1686164520000,"0.0031740","0.0031740","0.0031710","0.0031720","1222667",1686164579999,"3878.5095460",79,"507146","1608.6861600"
"CKBUSDT","CKBUSDT#1686164580000",1686164580000,"0.0031710","0.0031720","0.0031670","0.0031710","2198773",1686164639999,"6970.6852600",85,"1443365","4575.8945230"
"CKBUSDT","CKBUSDT#1686164640000",1686164640000,"0.0031710","0.0031720","0.0031710","0.0031720","529426",1686164699999,"1679.1351220",32,"432484","1371.7288960"
"CKBUSDT","CKBUSDT#1686164700000",1686164700000,"0.0031730","0.0031730","0.0031730","0.0031730","610895",1686164759999,"1938.3698350",30,"373743","1185.8865390"
"CKBUSDT","CKBUSDT#1686164760000",1686164760000,"0.0031740","0.0031750","0.0031740","0.0031750","65990",1686164819999,"209.4608810",7,"65990","209.4608810"
"CKBUSDT","CKBUSDT#1686164820000",1686164820000,"0.0031750","0.0031750","0.0031740","0.0031750","31754",1686164879999,"100.8029940",8,"15798","50.1586500"
"CKBUSDT","CKBUSDT#1686164880000",1686164880000,"0.0031740","0.0031740","0.0031650","0.0031650","3069981",1686164939999,"9736.9578780",65,"667898","2117.7841000"
"CKBUSDT","CKBUSDT#1686164940000",1686164940000,"0.0031660","0.0031670","0.0031650","0.0031670","239700",1686164999999,"758.8728340",14,"186050","589.0169340"
"CKBUSDT","CKBUSDT#1686165000000",1686165000000,"0.0031670","0.0031680","0.0031660","0.0031660","777692",1686165059999,"2462.8628860",31,"601737","1905.6134010"
"CKBUSDT","CKBUSDT#1686165060000",1686165060000,"0.0031680","0.0031690","0.0031680","0.0031690","669673",1686165119999,"2121.8582790",19,"669673","2121.8582790"
"CKBUSDT","CKBUSDT#1686165120000",1686165120000,"0.0031710","0.0031730","0.0031710","0.0031730","629393",1686165179999,"1996.4016540",18,"489882","1553.8341400"
"CKBUSDT","CKBUSDT#1686165180000",1686165180000,"0.0031740","0.0031740","0.0031730","0.0031740","355338",1686165239999,"1127.8403570",19,"352883","1120.0506420"
"CKBUSDT","CKBUSDT#1686165240000",1686165240000,"0.0031740","0.0031740","0.0031730","0.0031730","190011",1686165299999,"602.9412560",6,"0","0.0000000"
"CKBUSDT","CKBUSDT#1686165300000",1686165300000,"0.0031730","0.0031750","0.0031730","0.0031730","325361",1686165359999,"1032.5104160",18,"181487","575.8997490"
"CKBUSDT","CKBUSDT#1686165360000",1686165360000,"0.0031750","0.0031770","0.0031740","0.0031750","281756",1686165419999,"894.7608270",15,"163793","520.0966680"
"CKBUSDT","CKBUSDT#1686165420000",1686165420000,"0.0031750","0.0031760","0.0031720","0.0031720","421326",1686165479999,"1336.7895860",27,"252647","801.4337390"
"CKBUSDT","CKBUSDT#1686165480000",1686165480000,"0.0031710","0.0031710","0.0031680","0.0031680","524784",1686165539999,"1663.1365450",25,"83212","263.6388970"
"CKBUSDT","CKBUSDT#1686165540000",1686165540000,"0.0031690","0.0031710","0.0031690","0.0031690","371572",1686165599999,"1177.6290540",16,"248539","787.7336690"
"CKBUSDT","CKBUSDT#1686165600000",1686165600000,"0.0031700","0.0031730","0.0031700","0.0031730","1130922",1686165659999,"3587.0747400",26,"469699","1489.4348380"
"CKBUSDT","CKBUSDT#1686165660000",1686165660000,"0.0031710","0.0031730","0.0031710","0.0031730","209313",1686165719999,"663.9029450",9,"90122","285.8688240"
"CKBUSDT","CKBUSDT#1686165720000",1686165720000,"0.0031730","0.0031800","0.0031730","0.0031800","1694543",1686165779999,"5383.1275480",49,"1529572","4858.9206460"
"CKBUSDT","CKBUSDT#1686165780000",1686165780000,"0.0031800","0.0031800","0.0031740","0.0031770","1839265",1686165839999,"5842.7114220",59,"295400","938.2157940"
"CKBUSDT","CKBUSDT#1686165840000",1686165840000,"0.0031770","0.0031770","0.0031750","0.0031750","387439",1686165899999,"1230.5437130",21,"314421","998.6413890"
"CKBUSDT","CKBUSDT#1686165900000",1686165900000,"0.0031740","0.0031780","0.0031730","0.0031770","1014923",1686165959999,"3222.7080440",65,"681515","2164.0006580"
"CKBUSDT","CKBUSDT#1686165960000",1686165960000,"0.0031770","0.0031770","0.0031760","0.0031760","64519",1686166019999,"204.9723590",2,"60015","190.6676550"
"CKBUSDT","CKBUSDT#1686166020000",1686166020000,"0.0031770","0.0031770","0.0031770","0.0031770","333856",1686166079999,"1060.6605120",9,"333856","1060.6605120"
"CKBUSDT","CKBUSDT#1686166080000",1686166080000,"0.0031780","0.0031790","0.0031770","0.0031770","588641",1686166139999,"1870.9731460",23,"343554","1092.0940120"
