"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DODOBUSD","DODOBUSD#1686099660000",1686099660000,"0.1172000","0.1173000","0.1172000","0.1173000","23912",1686099719999,"2802.9372000",24,"20878","2447.3524000"
"DODOBUSD","DODOBUSD#1686099720000",1686099720000,"0.1172000","0.1174000","0.1172000","0.1174000","9721",1686099779999,"1140.8591000",10,"8568","1005.7275000"
"DODOBUSD","DODOBUSD#1686099780000",1686099780000,"0.1173000","0.1173000","0.1170000","0.1170000","38009",1686099839999,"4453.9620000",37,"3982","466.3248000"
"DODOBUSD","DODOBUSD#1686099840000",1686099840000,"0.1170000","0.1170000","0.1170000","0.1170000","1104",1686099899999,"129.1680000",2,"0","0.0000000"
"DODOBUSD","DODOBUSD#1686099900000",1686099900000,"0.1170000","0.1170000","0.1167000","0.1167000","55943",1686099959999,"6533.8586000",53,"15970","1864.0355000"
"DODOBUSD","DODOBUSD#1686099960000",1686099960000,"0.1167000","0.1168000","0.1167000","0.1168000","15058",1686100019999,"1757.3016000",6,"15058","1757.3016000"
"DODOBUSD","DODOBUSD#1686100020000",1686100020000,"0.1167000","0.1167000","0.1167000","0.1167000","7106",1686100079999,"829.2702000",7,"681","79.4727000"
"DODOBUSD","DODOBUSD#1686100080000",1686100080000,"0.1167000","0.1167000","0.1167000","0.1167000","0",1686100139999,"0.0000000",0,"0","0.0000000"
"DODOBUSD","DODOBUSD#1686100140000",1686100140000,"0.1166000","0.1166000","0.1164000","0.1165000","33908",1686100199999,"3950.1048000",35,"852","99.2580000"
"DODOBUSD","DODOBUSD#1686100200000",1686100200000,"0.1164000","0.1165000","0.1162000","0.1165000","59799",1686100259999,"6956.7523000",47,"27161","3162.1640000"
"DODOBUSD","DODOBUSD#1686100260000",1686100260000,"0.1165000","0.1165000","0.1165000","0.1165000","1340",1686100319999,"156.1100000",2,"0","0.0000000"
"DODOBUSD","DODOBUSD#1686100320000",1686100320000,"0.1165000","0.1165000","0.1165000","0.1165000","0",1686100379999,"0.0000000",0,"0","0.0000000"
"DODOBUSD","DODOBUSD#1686100380000",1686100380000,"0.1164000","0.1164000","0.1164000","0.1164000","10839",1686100439999,"1261.6596000",4,"0","0.0000000"
