"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GALUSDT","GALUSDT#1686092460000",1686092460000,"1.23140","1.23230","1.23130","1.23140","4173",1686092519999,"5139.91650",91,"2576","3172.99710"
"GALUSDT","GALUSDT#1686092520000",1686092520000,"1.23150","1.23150","1.23060","1.23090","5576",1686092579999,"6863.55360",103,"3629","4466.83390"
"GALUSDT","GALUSDT#1686092580000",1686092580000,"1.23060","1.23060","1.22890","1.22890","4090",1686092639999,"5029.59410",99,"693","852.18740"
"GALUSDT","GALUSDT#1686092640000",1686092640000,"1.22890","1.22930","1.22870","1.22900","8369",1686092699999,"10283.87340",67,"2924","3593.33130"
"GALUSDT","GALUSDT#1686092700000",1686092700000,"1.22900","1.23030","1.22900","1.23030","3099",1686092759999,"3811.10210",45,"2343","2881.22070"
"GALUSDT","GALUSDT#1686092760000",1686092760000,"1.23020","1.23040","1.22950","1.22950","2337",1686092819999,"2875.05060",54,"533","655.59800"
"GALUSDT","GALUSDT#1686092820000",1686092820000,"1.22980","1.23020","1.22950","1.23020","924",1686092879999,"1136.26860",22,"380","467.28820"
"GALUSDT","GALUSDT#1686092880000",1686092880000,"1.23020","1.23020","1.22980","1.22980","1510",1686092939999,"1857.25980",48,"210","258.27900"
"GALUSDT","GALUSDT#1686092940000",1686092940000,"1.22940","1.23020","1.22940","1.22970","2181",1686092999999,"2682.62630",32,"1381","1698.49480"
"GALUSDT","GALUSDT#1686093000000",1686093000000,"1.23000","1.23070","1.22870","1.22870","14985",1686093059999,"18423.46700",146,"4333","5329.13940"
"GALUSDT","GALUSDT#1686093060000",1686093060000,"1.22890","1.22960","1.22890","1.22930","1792",1686093119999,"2202.96710",38,"1005","1235.50800"
"GALUSDT","GALUSDT#1686093120000",1686093120000,"1.22910","1.22960","1.22910","1.22930","1983",1686093179999,"2437.96270",38,"616","757.17500"
