"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"HFTUSDT","HFTUSDT#1686175260000",1686175260000,"0.3970000","0.3975000","0.3969000","0.3973000","26781",1686175319999,"10636.2616000",111,"12088","4801.0752000"
"HFTUSDT","HFTUSDT#1686175320000",1686175320000,"0.3973000","0.3973000","0.3971000","0.3972000","10430",1686175379999,"4142.6744000",62,"3408","1353.6617000"
"HFTUSDT","HFTUSDT#1686175380000",1686175380000,"0.3973000","0.3974000","0.3968000","0.3968000","16708",1686175439999,"6633.1156000",42,"2137","849.1470000"
"HFTUSDT","HFTUSDT#1686175440000",1686175440000,"0.3970000","0.3971000","0.3969000","0.3971000","6744",1686175499999,"2677.7755000",26,"6367","2528.1442000"
"HFTUSDT","HFTUSDT#1686175500000",1686175500000,"0.3970000","0.3973000","0.3969000","0.3973000","7094",1686175559999,"2817.2139000",30,"3878","1540.0937000"
"HFTUSDT","HFTUSDT#1686175560000",1686175560000,"0.3974000","0.3978000","0.3973000","0.3975000","18487",1686175619999,"7350.3601000",55,"12572","4998.6802000"
"HFTUSDT","HFTUSDT#1686175620000",1686175620000,"0.3974000","0.3977000","0.3973000","0.3976000","5290",1686175679999,"2102.7886000",18,"3332","1324.5354000"
"HFTUSDT","HFTUSDT#1686175680000",1686175680000,"0.3975000","0.3979000","0.3975000","0.3979000","12587",1686175739999,"5005.8039000",45,"2791","1110.2776000"
"HFTUSDT","HFTUSDT#1686175740000",1686175740000,"0.3979000","0.3980000","0.3977000","0.3980000","8546",1686175799999,"3400.9110000",26,"7090","2821.7441000"
"HFTUSDT","HFTUSDT#1686175800000",1686175800000,"0.3980000","0.3982000","0.3978000","0.3981000","7340",1686175859999,"2920.7142000",27,"1844","733.9924000"
"HFTUSDT","HFTUSDT#1686175860000",1686175860000,"0.3981000","0.3982000","0.3980000","0.3981000","5454",1686175919999,"2171.2557000",25,"3272","1302.7588000"
"HFTUSDT","HFTUSDT#1686175920000",1686175920000,"0.3980000","0.3981000","0.3980000","0.3981000","761",1686175979999,"302.9527000",9,"76","30.2542000"
"HFTUSDT","HFTUSDT#1686175980000",1686175980000,"0.3981000","0.3988000","0.3981000","0.3988000","16610",1686176039999,"6619.0917000",52,"16095","6413.9532000"
"HFTUSDT","HFTUSDT#1686176040000",1686176040000,"0.3989000","0.3991000","0.3989000","0.3991000","1547",1686176099999,"617.1252000",17,"1393","555.6907000"
"HFTUSDT","HFTUSDT#1686176100000",1686176100000,"0.3990000","0.3990000","0.3985000","0.3986000","13782",1686176159999,"5496.0322000",57,"2141","853.9818000"
"HFTUSDT","HFTUSDT#1686176160000",1686176160000,"0.3987000","0.3991000","0.3987000","0.3990000","9647",1686176219999,"3847.8526000",31,"7579","3022.8116000"
"HFTUSDT","HFTUSDT#1686176220000",1686176220000,"0.3991000","0.3995000","0.3991000","0.3995000","6279",1686176279999,"2507.4754000",27,"3597","1436.4400000"
"HFTUSDT","HFTUSDT#1686176280000",1686176280000,"0.3995000","0.3995000","0.3991000","0.3992000","4947",1686176339999,"1974.8204000",16,"201","80.2897000"
