"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"HIGHUSDT","HIGHUSDT#1686146460000",1686146460000,"1.566000","1.567000","1.560000","1.565000","169349.0",1686146519999,"264717.4425000",854,"55990.0","87561.6791000"
"HIGHUSDT","HIGHUSDT#1686146520000",1686146520000,"1.564000","1.566000","1.561000","1.562000","72088.1",1686146579999,"112697.7909000",372,"26138.2","40875.7493000"
"HIGHUSDT","HIGHUSDT#1686146580000",1686146580000,"1.562000","1.564000","1.558000","1.563000","141613.2",1686146639999,"221096.8378000",744,"71067.3","110988.6639000"
"HIGHUSDT","HIGHUSDT#1686146640000",1686146640000,"1.562000","1.566000","1.561000","1.566000","86585.3",1686146699999,"135395.0361000",444,"53307.3","83375.0384000"
"HIGHUSDT","HIGHUSDT#1686146700000",1686146700000,"1.565000","1.567000","1.564000","1.565000","28695.3",1686146759999,"44919.2806000",223,"16970.4","26567.2626000"
"HIGHUSDT","HIGHUSDT#1686146760000",1686146760000,"1.566000","1.566000","1.564000","1.565000","33583.0",1686146819999,"52537.2508000",145,"11183.5","17496.1924000"
"HIGHUSDT","HIGHUSDT#1686146820000",1686146820000,"1.564000","1.566000","1.563000","1.564000","50103.3",1686146879999,"78391.6775000",290,"21681.5","33927.4691000"
"HIGHUSDT","HIGHUSDT#1686146880000",1686146880000,"1.564000","1.566000","1.563000","1.566000","46704.0",1686146939999,"73079.1342000",230,"21084.7","33000.5344000"
"HIGHUSDT","HIGHUSDT#1686146940000",1686146940000,"1.566000","1.567000","1.564000","1.565000","41018.9",1686146999999,"64186.5029000",167,"15924.2","24924.6665000"
"HIGHUSDT","HIGHUSDT#1686147000000",1686147000000,"1.564000","1.568000","1.563000","1.567000","62009.6",1686147059999,"97077.3138000",263,"43508.6","68136.2811000"
"HIGHUSDT","HIGHUSDT#1686147060000",1686147060000,"1.568000","1.568000","1.565000","1.566000","43119.0",1686147119999,"67569.9402000",238,"24031.1","37662.7633000"
"HIGHUSDT","HIGHUSDT#1686147120000",1686147120000,"1.566000","1.570000","1.564000","1.569000","74624.2",1686147179999,"116948.1472000",331,"49729.8","77936.8196000"
"HIGHUSDT","HIGHUSDT#1686147180000",1686147180000,"1.568000","1.573000","1.568000","1.570000","69815.6",1686147239999,"109652.2426000",392,"32416.7","50917.5497000"
"HIGHUSDT","HIGHUSDT#1686147240000",1686147240000,"1.569000","1.570000","1.565000","1.565000","38373.4",1686147299999,"60133.1062000",224,"13395.7","20994.5962000"
"HIGHUSDT","HIGHUSDT#1686147300000",1686147300000,"1.565000","1.566000","1.561000","1.564000","170612.6",1686147359999,"266819.1564000",543,"57455.2","89900.1061000"
"HIGHUSDT","HIGHUSDT#1686147360000",1686147360000,"1.565000","1.567000","1.564000","1.567000","62292.7",1686147419999,"97506.4073000",251,"38978.1","61016.5554000"
"HIGHUSDT","HIGHUSDT#1686147420000",1686147420000,"1.567000","1.572000","1.567000","1.571000","49708.1",1686147479999,"78040.7530000",275,"31836.0","49975.3797000"
"HIGHUSDT","HIGHUSDT#1686147480000",1686147480000,"1.571000","1.571000","1.568000","1.570000","29432.2",1686147539999,"46201.3897000",164,"13107.9","20578.2979000"
