"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"HOTUSDT","HOTUSDT#1686124860000",1686124860000,"0.001490","0.001491","0.001489","0.001489","3208872",1686124919999,"4781.434264",70,"2838388","4229.442761"
"HOTUSDT","HOTUSDT#1686124920000",1686124920000,"0.001490","0.001491","0.001490","0.001490","903890",1686124979999,"1346.806660",34,"876071","1305.356350"
"HOTUSDT","HOTUSDT#1686124980000",1686124980000,"0.001491","0.001492","0.001489","0.001490","21378255",1686125039999,"31879.232289",166,"7775835","11598.929503"
"HOTUSDT","HOTUSDT#1686125040000",1686125040000,"0.001489","0.001490","0.001489","0.001490","79255",1686125099999,"118.020768",7,"10073","15.008770"
"HOTUSDT","HOTUSDT#1686125100000",1686125100000,"0.001489","0.001490","0.001488","0.001490","5109567",1686125159999,"7607.613684",53,"1937273","2884.847815"
"HOTUSDT","HOTUSDT#1686125160000",1686125160000,"0.001490","0.001491","0.001490","0.001490","2741181",1686125219999,"4084.596135",46,"2696716","4018.343285"
"HOTUSDT","HOTUSDT#1686125220000",1686125220000,"0.001490","0.001490","0.001490","0.001490","46192",1686125279999,"68.826080",2,"0","0.000000"
"HOTUSDT","HOTUSDT#1686125280000",1686125280000,"0.001490","0.001491","0.001490","0.001491","169138",1686125339999,"252.082734",4,"67114","100.066974"
"HOTUSDT","HOTUSDT#1686125340000",1686125340000,"0.001491","0.001491","0.001490","0.001491","407096",1686125399999,"606.972133",7,"399093","595.047663"
"HOTUSDT","HOTUSDT#1686125400000",1686125400000,"0.001491","0.001491","0.001489","0.001489","3250995",1686125459999,"4843.270471",43,"196335","292.567635"
"HOTUSDT","HOTUSDT#1686125460000",1686125460000,"0.001490","0.001490","0.001489","0.001490","365200",1686125519999,"544.108285",4,"325485","484.972650"
"HOTUSDT","HOTUSDT#1686125520000",1686125520000,"0.001490","0.001490","0.001490","0.001490","0",1686125579999,"0.000000",0,"0","0.000000"
"HOTUSDT","HOTUSDT#1686125580000",1686125580000,"0.001490","0.001490","0.001488","0.001490","4441206",1686125639999,"6612.923833",46,"1716522","2556.084933"
"HOTUSDT","HOTUSDT#1686125640000",1686125640000,"0.001489","0.001490","0.001489","0.001490","156202",1686125699999,"232.591032",5,"6254","9.318460"
"HOTUSDT","HOTUSDT#1686125700000",1686125700000,"0.001489","0.001490","0.001489","0.001490","3223192",1686125759999,"4802.160696",56,"2818578","4199.681220"
"HOTUSDT","HOTUSDT#1686125760000",1686125760000,"0.001490","0.001491","0.001490","0.001491","1675678",1686125819999,"2498.290050",38,"1529830","2280.976530"
"HOTUSDT","HOTUSDT#1686125820000",1686125820000,"0.001492","0.001492","0.001491","0.001492","6475276",1686125879999,"9658.488310",95,"3646220","5440.160240"
"HOTUSDT","HOTUSDT#1686125880000",1686125880000,"0.001492","0.001492","0.001491","0.001491","2462809",1686125939999,"3673.017113",54,"642320","958.341440"
"HOTUSDT","HOTUSDT#1686125940000",1686125940000,"0.001492","0.001492","0.001491","0.001491","249596",1686125999999,"372.185688",2,"38052","56.773584"
"HOTUSDT","HOTUSDT#1686126000000",1686126000000,"0.001492","0.001493","0.001491","0.001491","3372053",1686126059999,"5031.008779",81,"1333343","1989.566228"
"HOTUSDT","HOTUSDT#1686126060000",1686126060000,"0.001492","0.001493","0.001492","0.001492","1051398",1686126119999,"1568.731943",26,"1012575","1510.808027"
"HOTUSDT","HOTUSDT#1686126120000",1686126120000,"0.001492","0.001492","0.001492","0.001492","1499480",1686126179999,"2237.224160",36,"139550","208.208600"
"HOTUSDT","HOTUSDT#1686126180000",1686126180000,"0.001492","0.001493","0.001491","0.001492","1377539",1686126239999,"2055.825669",42,"1308409","1952.732159"
"HOTUSDT","HOTUSDT#1686126240000",1686126240000,"0.001492","0.001492","0.001491","0.001491","360564",1686126299999,"537.912510",12,"0","0.000000"
"HOTUSDT","HOTUSDT#1686126300000",1686126300000,"0.001492","0.001492","0.001491","0.001491","389901",1686126359999,"581.430646",3,"88255","131.676460"
"HOTUSDT","HOTUSDT#1686126360000",1686126360000,"0.001491","0.001491","0.001490","0.001490","14906178",1686126419999,"22224.653707",41,"46126","68.773866"
"HOTUSDT","HOTUSDT#1686126420000",1686126420000,"0.001491","0.001491","0.001490","0.001490","2128554",1686126479999,"3172.925848",26,"1380388","2058.158508"
"HOTUSDT","HOTUSDT#1686126480000",1686126480000,"0.001491","0.001491","0.001490","0.001490","3009329",1686126539999,"4486.832828",55,"1613030","2405.027730"
"HOTUSDT","HOTUSDT#1686126540000",1686126540000,"0.001491","0.001492","0.001490","0.001492","4603719",1686126599999,"6867.409556",63,"4470371","6668.606430"
"HOTUSDT","HOTUSDT#1686126600000",1686126600000,"0.001492","0.001492","0.001492","0.001492","394318",1686126659999,"588.322456",6,"0","0.000000"
"HOTUSDT","HOTUSDT#1686126660000",1686126660000,"0.001492","0.001493","0.001491","0.001492","11349947",1686126719999,"16934.317100",63,"248965","371.666136"
"HOTUSDT","HOTUSDT#1686126720000",1686126720000,"0.001491","0.001492","0.001491","0.001491","651089",1686126779999,"971.190403",12,"416704","621.722368"
"HOTUSDT","HOTUSDT#1686126780000",1686126780000,"0.001491","0.001491","0.001490","0.001490","4040205",1686126839999,"6023.413923",19,"5341","7.963431"
"HOTUSDT","HOTUSDT#1686126840000",1686126840000,"0.001490","0.001490","0.001490","0.001490","27574",1686126899999,"41.085260",3,"0","0.000000"
"HOTUSDT","HOTUSDT#1686126900000",1686126900000,"0.001491","0.001491","0.001490","0.001491","2513615",1686126959999,"3747.786350",22,"2500000","3727.500000"
"HOTUSDT","HOTUSDT#1686126960000",1686126960000,"0.001490","0.001491","0.001490","0.001490","798385",1686127019999,"1189.639776",18,"46126","68.773866"
"HOTUSDT","HOTUSDT#1686127020000",1686127020000,"0.001490","0.001491","0.001490","0.001491","1177234",1686127079999,"1755.242258",40,"1149263","1713.551133"
"HOTUSDT","HOTUSDT#1686127080000",1686127080000,"0.001492","0.001492","0.001491","0.001491","606974",1686127139999,"905.362532",6,"364298","543.532616"
"HOTUSDT","HOTUSDT#1686127140000",1686127140000,"0.001491","0.001491","0.001491","0.001491","670838",1686127199999,"1000.219458",17,"0","0.000000"
"HOTUSDT","HOTUSDT#1686127200000",1686127200000,"0.001492","0.001492","0.001491","0.001491","1764848",1686127259999,"2633.054904",4,"1666536","2486.471712"
"HOTUSDT","HOTUSDT#1686127260000",1686127260000,"0.001492","0.001492","0.001491","0.001491","203152",1686127319999,"303.031352",4,"131720","196.526240"
"HOTUSDT","HOTUSDT#1686127320000",1686127320000,"0.001492","0.001495","0.001492","0.001494","11587721",1686127379999,"17307.269016",109,"8865457","13241.359140"
"HOTUSDT","HOTUSDT#1686127380000",1686127380000,"0.001494","0.001495","0.001494","0.001494","1904782",1686127439999,"2845.894689",13,"150381","224.819595"
"HOTUSDT","HOTUSDT#1686127440000",1686127440000,"0.001494","0.001495","0.001494","0.001494","2117879",1686127499999,"3165.449466",16,"1338240","2000.668800"
"HOTUSDT","HOTUSDT#1686127500000",1686127500000,"0.001494","0.001494","0.001494","0.001494","587495",1686127559999,"877.717530",6,"0","0.000000"
"HOTUSDT","HOTUSDT#1686127560000",1686127560000,"0.001495","0.001495","0.001494","0.001494","749511",1686127619999,"1119.899228",9,"129794","194.042030"
"HOTUSDT","HOTUSDT#1686127620000",1686127620000,"0.001494","0.001494","0.001494","0.001494","466066",1686127679999,"696.302604",7,"0","0.000000"
"HOTUSDT","HOTUSDT#1686127680000",1686127680000,"0.001494","0.001495","0.001494","0.001494","74531",1686127739999,"111.369600",3,"20286","30.327570"
"HOTUSDT","HOTUSDT#1686127740000",1686127740000,"0.001494","0.001494","0.001494","0.001494","183814",1686127799999,"274.618116",4,"0","0.000000"
"HOTUSDT","HOTUSDT#1686127800000",1686127800000,"0.001494","0.001495","0.001494","0.001494","499796",1686127859999,"747.072234",16,"377010","563.629950"
"HOTUSDT","HOTUSDT#1686127860000",1686127860000,"0.001495","0.001495","0.001494","0.001494","221449",1686127919999,"330.890933",2,"46127","68.959865"
"HOTUSDT","HOTUSDT#1686127920000",1686127920000,"0.001494","0.001495","0.001494","0.001494","380665",1686127979999,"568.753335",9,"39825","59.538375"
"HOTUSDT","HOTUSDT#1686127980000",1686127980000,"0.001495","0.001495","0.001494","0.001495","3697577",1686128039999,"5525.179440",56,"999402","1494.105990"
"HOTUSDT","HOTUSDT#1686128040000",1686128040000,"0.001494","0.001495","0.001494","0.001495","451338",1686128099999,"674.489414",6,"190442","284.710790"
"HOTUSDT","HOTUSDT#1686128100000",1686128100000,"0.001495","0.001495","0.001494","0.001495","937718",1686128159999,"1401.490094",19,"539402","806.405990"
"HOTUSDT","HOTUSDT#1686128160000",1686128160000,"0.001495","0.001496","0.001494","0.001496","4185259",1686128219999,"6257.571167",55,"4078569","6098.176307"
"HOTUSDT","HOTUSDT#1686128220000",1686128220000,"0.001496","0.001496","0.001495","0.001495","193316",1686128279999,"289.031683",2,"24263","36.297448"
"HOTUSDT","HOTUSDT#1686128280000",1686128280000,"0.001496","0.001496","0.001494","0.001495","5953737",1686128339999,"8900.905314",72,"1833642","2741.367760"
"HOTUSDT","HOTUSDT#1686128340000",1686128340000,"0.001495","0.001496","0.001495","0.001495","414426",1686128399999,"619.588605",14,"21735","32.515560"
"HOTUSDT","HOTUSDT#1686128400000",1686128400000,"0.001495","0.001496","0.001494","0.001494","3367247",1686128459999,"5034.117761",54,"867337","1297.052754"
