"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ICXUSDT","ICXUSDT#1686114060000",1686114060000,"0.2249","0.2250","0.2248","0.2248","22826",1686114119999,"5131.8340",84,"11914","2678.3883"
"ICXUSDT","ICXUSDT#1686114120000",1686114120000,"0.2248","0.2249","0.2248","0.2248","1137",1686114179999,"255.6661",13,"685","154.0565"
"ICXUSDT","ICXUSDT#1686114180000",1686114180000,"0.2248","0.2249","0.2248","0.2249","182",1686114239999,"40.9159",5,"23","5.1727"
"ICXUSDT","ICXUSDT#1686114240000",1686114240000,"0.2248","0.2248","0.2248","0.2248","144",1686114299999,"32.3712",3,"0","0.0000"
"ICXUSDT","ICXUSDT#1686114300000",1686114300000,"0.2249","0.2251","0.2248","0.2251","31987",1686114359999,"7195.9662",34,"31930","7183.1526"
"ICXUSDT","ICXUSDT#1686114360000",1686114360000,"0.2252","0.2252","0.2251","0.2251","351",1686114419999,"79.0233",6,"132","29.7264"
"ICXUSDT","ICXUSDT#1686114420000",1686114420000,"0.2251","0.2251","0.2251","0.2251","142",1686114479999,"31.9642",3,"0","0.0000"
"ICXUSDT","ICXUSDT#1686114480000",1686114480000,"0.2251","0.2252","0.2251","0.2251","36105",1686114539999,"8128.5381",60,"13026","2933.4552"
"ICXUSDT","ICXUSDT#1686114540000",1686114540000,"0.2250","0.2251","0.2249","0.2251","45768",1686114599999,"10295.4383",63,"26593","5981.4921"
"ICXUSDT","ICXUSDT#1686114600000",1686114600000,"0.2250","0.2251","0.2250","0.2250","27371",1686114659999,"6158.5078",44,"11121","2502.2578"
"ICXUSDT","ICXUSDT#1686114660000",1686114660000,"0.2249","0.2249","0.2248","0.2248","16790",1686114719999,"3775.3958",27,"5172","1162.6787"
"ICXUSDT","ICXUSDT#1686114720000",1686114720000,"0.2247","0.2248","0.2247","0.2248","17622",1686114779999,"3961.3812",15,"17178","3861.6144"
"ICXUSDT","ICXUSDT#1686114780000",1686114780000,"0.2248","0.2250","0.2247","0.2250","4979",1686114839999,"1119.2013",16,"3535","794.7138"
"ICXUSDT","ICXUSDT#1686114840000",1686114840000,"0.2250","0.2251","0.2250","0.2250","14281",1686114899999,"3213.2369",25,"10505","2363.6369"
"ICXUSDT","ICXUSDT#1686114900000",1686114900000,"0.2250","0.2252","0.2250","0.2250","25986",1686114959999,"5847.3346",43,"10527","2368.9956"
"ICXUSDT","ICXUSDT#1686114960000",1686114960000,"0.2249","0.2249","0.2248","0.2248","19884",1686115019999,"4470.0295",15,"3415","767.6920"
"ICXUSDT","ICXUSDT#1686115020000",1686115020000,"0.2247","0.2248","0.2247","0.2248","2233",1686115079999,"501.8861",11,"1310","294.4880"
"ICXUSDT","ICXUSDT#1686115080000",1686115080000,"0.2247","0.2247","0.2247","0.2247","173",1686115139999,"38.8731",3,"0","0.0000"
"ICXUSDT","ICXUSDT#1686115140000",1686115140000,"0.2247","0.2247","0.2247","0.2247","27361",1686115199999,"6148.0167",19,"27361","6148.0167"
"ICXUSDT","ICXUSDT#1686115200000",1686115200000,"0.2248","0.2249","0.2247","0.2248","35737",1686115259999,"8033.6768",31,"30814","6926.9897"
"ICXUSDT","ICXUSDT#1686115260000",1686115260000,"0.2248","0.2250","0.2248","0.2249","10705",1686115319999,"2408.2722",21,"4860","1093.1543"
"ICXUSDT","ICXUSDT#1686115320000",1686115320000,"0.2249","0.2249","0.2248","0.2249","7034",1686115379999,"1581.9438",18,"6250","1405.6250"
"ICXUSDT","ICXUSDT#1686115380000",1686115380000,"0.2249","0.2249","0.2249","0.2249","26",1686115439999,"5.8474",2,"0","0.0000"
"ICXUSDT","ICXUSDT#1686115440000",1686115440000,"0.2250","0.2252","0.2250","0.2252","16948",1686115499999,"3816.1504",35,"7881","1774.2638"
"ICXUSDT","ICXUSDT#1686115500000",1686115500000,"0.2252","0.2252","0.2251","0.2252","5794",1686115559999,"1304.7898",17,"5532","1245.8064"
"ICXUSDT","ICXUSDT#1686115560000",1686115560000,"0.2251","0.2251","0.2251","0.2251","5471",1686115619999,"1231.5221",13,"0","0.0000"
"ICXUSDT","ICXUSDT#1686115620000",1686115620000,"0.2250","0.2250","0.2250","0.2250","7503",1686115679999,"1688.1750",14,"0","0.0000"
"ICXUSDT","ICXUSDT#1686115680000",1686115680000,"0.2249","0.2249","0.2248","0.2248","17418",1686115739999,"3917.2426",23,"5762","1295.8738"
"ICXUSDT","ICXUSDT#1686115740000",1686115740000,"0.2247","0.2249","0.2246","0.2249","37714",1686115799999,"8476.6175",39,"31812","7150.7122"
"ICXUSDT","ICXUSDT#1686115800000",1686115800000,"0.2249","0.2249","0.2248","0.2248","18540",1686115859999,"4167.8766",31,"3435","772.2726"
"ICXUSDT","ICXUSDT#1686115860000",1686115860000,"0.2247","0.2247","0.2246","0.2246","14681",1686115919999,"3298.8173",31,"4329","972.7263"
"ICXUSDT","ICXUSDT#1686115920000",1686115920000,"0.2247","0.2247","0.2245","0.2246","32174",1686115979999,"7225.3326",53,"21134","4746.2921"
"ICXUSDT","ICXUSDT#1686115980000",1686115980000,"0.2245","0.2245","0.2245","0.2245","2111",1686116039999,"473.9195",8,"0","0.0000"
"ICXUSDT","ICXUSDT#1686116040000",1686116040000,"0.2244","0.2245","0.2244","0.2245","9566",1686116099999,"2146.9246",16,"3142","705.3790"
"ICXUSDT","ICXUSDT#1686116100000",1686116100000,"0.2245","0.2248","0.2245","0.2248","68033",1686116159999,"15277.3671",35,"68033","15277.3671"
"ICXUSDT","ICXUSDT#1686116160000",1686116160000,"0.2248","0.2250","0.2247","0.2247","57005",1686116219999,"12816.3489",87,"26992","6069.6984"
"ICXUSDT","ICXUSDT#1686116220000",1686116220000,"0.2246","0.2246","0.2246","0.2246","5237",1686116279999,"1176.2302",6,"0","0.0000"
"ICXUSDT","ICXUSDT#1686116280000",1686116280000,"0.2246","0.2246","0.2246","0.2246","12784",1686116339999,"2871.2864",18,"11561","2596.6006"
"ICXUSDT","ICXUSDT#1686116340000",1686116340000,"0.2246","0.2248","0.2246","0.2247","10428",1686116399999,"2343.1475",20,"7496","1684.3271"
"ICXUSDT","ICXUSDT#1686116400000",1686116400000,"0.2247","0.2248","0.2247","0.2247","4160",1686116459999,"934.7814",17,"2883","647.8395"
"ICXUSDT","ICXUSDT#1686116460000",1686116460000,"0.2247","0.2247","0.2247","0.2247","8173",1686116519999,"1836.4731",20,"2235","502.2045"
"ICXUSDT","ICXUSDT#1686116520000",1686116520000,"0.2247","0.2247","0.2247","0.2247","4471",1686116579999,"1004.6337",6,"4471","1004.6337"
"ICXUSDT","ICXUSDT#1686116580000",1686116580000,"0.2248","0.2248","0.2247","0.2247","452",1686116639999,"101.6046",3,"402","90.3696"
"ICXUSDT","ICXUSDT#1686116640000",1686116640000,"0.2248","0.2248","0.2247","0.2247","1621",1686116699999,"364.2875",5,"488","109.7024"
"ICXUSDT","ICXUSDT#1686116700000",1686116700000,"0.2247","0.2248","0.2246","0.2248","19496",1686116759999,"4380.7717",28,"14979","3365.8068"
"ICXUSDT","ICXUSDT#1686116760000",1686116760000,"0.2247","0.2247","0.2246","0.2246","9683",1686116819999,"2175.2025",21,"511","114.7706"
"ICXUSDT","ICXUSDT#1686116820000",1686116820000,"0.2245","0.2247","0.2243","0.2243","75084",1686116879999,"16850.6466",69,"6724","1510.0782"
"ICXUSDT","ICXUSDT#1686116880000",1686116880000,"0.2242","0.2242","0.2239","0.2240","105071",1686116939999,"23538.1603",95,"30969","6939.6307"
"ICXUSDT","ICXUSDT#1686116940000",1686116940000,"0.2241","0.2241","0.2240","0.2241","12368",1686116999999,"2771.5068",18,"10748","2408.6268"
"ICXUSDT","ICXUSDT#1686117000000",1686117000000,"0.2242","0.2243","0.2241","0.2243","17536",1686117059999,"3932.6578",21,"16570","3716.1772"
"ICXUSDT","ICXUSDT#1686117060000",1686117060000,"0.2244","0.2245","0.2244","0.2244","20918",1686117119999,"4694.2392",21,"19861","4457.0484"
"ICXUSDT","ICXUSDT#1686117120000",1686117120000,"0.2244","0.2244","0.2241","0.2241","39492",1686117179999,"8861.0573",35,"2371","531.5782"
"ICXUSDT","ICXUSDT#1686117180000",1686117180000,"0.2241","0.2241","0.2241","0.2241","313",1686117239999,"70.1433",3,"0","0.0000"
"ICXUSDT","ICXUSDT#1686117240000",1686117240000,"0.2242","0.2242","0.2241","0.2241","21477",1686117299999,"4814.6617",29,"9591","2149.9037"
"ICXUSDT","ICXUSDT#1686117300000",1686117300000,"0.2242","0.2243","0.2242","0.2243","2878",1686117359999,"645.2530",9,"2878","645.2530"
"ICXUSDT","ICXUSDT#1686117360000",1686117360000,"0.2243","0.2244","0.2243","0.2244","5088",1686117419999,"1141.6554",11,"4964","1113.8349"
"ICXUSDT","ICXUSDT#1686117420000",1686117420000,"0.2244","0.2244","0.2243","0.2243","21155",1686117479999,"4745.7286",36,"4584","1028.1912"
"ICXUSDT","ICXUSDT#1686117480000",1686117480000,"0.2242","0.2243","0.2242","0.2243","6695",1686117539999,"1501.3903",19,"4735","1061.9583"
"ICXUSDT","ICXUSDT#1686117540000",1686117540000,"0.2243","0.2243","0.2241","0.2241","5173",1686117599999,"1159.8245",14,"147","32.9690"
"ICXUSDT","ICXUSDT#1686117600000",1686117600000,"0.2242","0.2243","0.2241","0.2242","14055",1686117659999,"3151.1877",42,"8793","1971.4721"
