"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LTCBUSD","LTCBUSD#1686106860000",1686106860000,"90.190000","90.210000","90.180000","90.210000","15.15",1686106919999,"1366.45680000",10,"5.25","473.56890000"
"LTCBUSD","LTCBUSD#1686106920000",1686106920000,"90.200000","90.210000","90.200000","90.200000","11.15",1686106979999,"1005.74290000",5,"9.50","856.91290000"
"LTCBUSD","LTCBUSD#1686106980000",1686106980000,"90.220000","90.250000","90.220000","90.250000","31.81",1686107039999,"2870.23470000",9,"30.56","2757.42220000"
"LTCBUSD","LTCBUSD#1686107040000",1686107040000,"90.220000","90.220000","90.080000","90.080000","63.07",1686107099999,"5688.48920000",14,"0.14","12.61400000"
"LTCBUSD","LTCBUSD#1686107100000",1686107100000,"90.080000","90.180000","90.080000","90.180000","181.02",1686107159999,"16316.85540000",33,"161.20","14529.96330000"
"LTCBUSD","LTCBUSD#1686107160000",1686107160000,"90.190000","90.200000","90.190000","90.190000","15.11",1686107219999,"1362.77790000",9,"0.70","63.14000000"
"LTCBUSD","LTCBUSD#1686107220000",1686107220000,"90.140000","90.180000","90.130000","90.130000","44.83",1686107279999,"4041.09490000",9,"0.60","54.08150000"
"LTCBUSD","LTCBUSD#1686107280000",1686107280000,"90.120000","90.150000","90.120000","90.150000","5.43",1686107339999,"489.36870000",5,"2.80","252.35310000"
"LTCBUSD","LTCBUSD#1686107340000",1686107340000,"90.140000","90.140000","90.070000","90.100000","187.69",1686107399999,"16912.12530000",31,"82.12","7399.35800000"
"LTCBUSD","LTCBUSD#1686107400000",1686107400000,"90.120000","90.260000","90.120000","90.120000","239.45",1686107459999,"21599.41670000",55,"120.80","10895.12020000"
"LTCBUSD","LTCBUSD#1686107460000",1686107460000,"90.110000","90.110000","90.020000","90.020000","148.57",1686107519999,"13377.61510000",33,"20.84","1876.66680000"
"LTCBUSD","LTCBUSD#1686107520000",1686107520000,"90.020000","90.020000","89.960000","89.960000","78.18",1686107579999,"7035.58100000",34,"8.33","749.86660000"
"LTCBUSD","LTCBUSD#1686107580000",1686107580000,"89.960000","89.970000","89.920000","89.960000","87.90",1686107639999,"7905.11950000",26,"74.71","6718.80850000"
"LTCBUSD","LTCBUSD#1686107640000",1686107640000,"89.980000","89.980000","89.930000","89.960000","210.65",1686107699999,"18948.28310000",31,"95.78","8615.21120000"
"LTCBUSD","LTCBUSD#1686107700000",1686107700000,"89.990000","90.040000","89.990000","90.040000","57.47",1686107759999,"5173.45660000",18,"53.79","4842.21980000"
"LTCBUSD","LTCBUSD#1686107760000",1686107760000,"90.050000","90.150000","90.050000","90.150000","50.12",1686107819999,"4514.17640000",13,"38.90","3503.49280000"
"LTCBUSD","LTCBUSD#1686107820000",1686107820000,"90.150000","90.150000","90.040000","90.040000","94.33",1686107879999,"8500.83660000",16,"5.42","488.03080000"
"LTCBUSD","LTCBUSD#1686107880000",1686107880000,"90.080000","90.080000","89.990000","89.990000","131.34",1686107939999,"11823.03250000",26,"4.95","445.75600000"
"LTCBUSD","LTCBUSD#1686107940000",1686107940000,"89.980000","89.980000","89.920000","89.940000","155.70",1686107999999,"14002.62470000",29,"105.91","9524.65780000"
"LTCBUSD","LTCBUSD#1686108000000",1686108000000,"89.950000","90.000000","89.950000","90.000000","25.79",1686108059999,"2320.27820000",8,"25.79","2320.27820000"
"LTCBUSD","LTCBUSD#1686108060000",1686108060000,"90.020000","90.070000","90.020000","90.040000","43.35",1686108119999,"3903.75740000",11,"1.88","169.28450000"
"LTCBUSD","LTCBUSD#1686108120000",1686108120000,"90.040000","90.080000","90.040000","90.080000","11.55",1686108179999,"1040.08270000",6,"11.27","1014.87150000"
