"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LUNA2USDT","LUNA2USDT#1686135660000",1686135660000,"0.7770000","0.7785000","0.7770000","0.7779000","23383",1686135719999,"18188.2158000",120,"15750","12250.0835000"
"LUNA2USDT","LUNA2USDT#1686135720000",1686135720000,"0.7779000","0.7788000","0.7776000","0.7781000","18011",1686135779999,"14018.6981000",103,"13624","10604.9684000"
"LUNA2USDT","LUNA2USDT#1686135780000",1686135780000,"0.7781000","0.7786000","0.7780000","0.7783000","7154",1686135839999,"5567.8345000",70,"4402","3426.1173000"
"LUNA2USDT","LUNA2USDT#1686135840000",1686135840000,"0.7781000","0.7781000","0.7765000","0.7770000","29057",1686135899999,"22584.6681000",114,"7208","5601.4449000"
"LUNA2USDT","LUNA2USDT#1686135900000",1686135900000,"0.7770000","0.7772000","0.7758000","0.7758000","22894",1686135959999,"17773.0322000",122,"8296","6439.2577000"
"LUNA2USDT","LUNA2USDT#1686135960000",1686135960000,"0.7757000","0.7760000","0.7755000","0.7755000","8778",1686136019999,"6809.6009000",53,"2389","1853.6475000"
"LUNA2USDT","LUNA2USDT#1686136020000",1686136020000,"0.7755000","0.7760000","0.7750000","0.7751000","21562",1686136079999,"16718.3876000",116,"6517","5053.8612000"
"LUNA2USDT","LUNA2USDT#1686136080000",1686136080000,"0.7750000","0.7753000","0.7745000","0.7753000","27957",1686136139999,"21664.2865000",131,"10215","7916.7280000"
"LUNA2USDT","LUNA2USDT#1686136140000",1686136140000,"0.7750000","0.7762000","0.7749000","0.7761000","13264",1686136199999,"10288.3879000",88,"8066","6257.4465000"
"LUNA2USDT","LUNA2USDT#1686136200000",1686136200000,"0.7760000","0.7769000","0.7759000","0.7766000","16863",1686136259999,"13093.3709000",108,"7242","5622.9702000"
"LUNA2USDT","LUNA2USDT#1686136260000",1686136260000,"0.7767000","0.7776000","0.7767000","0.7773000","9179",1686136319999,"7134.8259000",79,"5754","4472.6011000"
"LUNA2USDT","LUNA2USDT#1686136320000",1686136320000,"0.7771000","0.7778000","0.7766000","0.7775000","20513",1686136379999,"15945.0318000",121,"14716","11439.6324000"
"LUNA2USDT","LUNA2USDT#1686136380000",1686136380000,"0.7774000","0.7792000","0.7773000","0.7787000","55619",1686136439999,"43296.4472000",246,"41177","32056.6451000"
"LUNA2USDT","LUNA2USDT#1686136440000",1686136440000,"0.7786000","0.7786000","0.7775000","0.7776000","5810",1686136499999,"4520.5470000",50,"2378","1850.0379000"
"LUNA2USDT","LUNA2USDT#1686136500000",1686136500000,"0.7779000","0.7780000","0.7765000","0.7769000","14602",1686136559999,"11347.2983000",75,"5675","4409.0499000"
"LUNA2USDT","LUNA2USDT#1686136560000",1686136560000,"0.7768000","0.7772000","0.7765000","0.7768000","12864",1686136619999,"9991.9653000",74,"10043","7801.1170000"
"LUNA2USDT","LUNA2USDT#1686136620000",1686136620000,"0.7768000","0.7768000","0.7757000","0.7763000","13245",1686136679999,"10280.0361000",73,"4966","3855.0747000"
"LUNA2USDT","LUNA2USDT#1686136680000",1686136680000,"0.7765000","0.7779000","0.7764000","0.7770000","21360",1686136739999,"16602.2276000",131,"14771","11480.4136000"
"LUNA2USDT","LUNA2USDT#1686136740000",1686136740000,"0.7772000","0.7773000","0.7768000","0.7773000","7501",1686136799999,"5829.4131000",52,"5373","4175.7428000"
"LUNA2USDT","LUNA2USDT#1686136800000",1686136800000,"0.7774000","0.7776000","0.7760000","0.7773000","34495",1686136859999,"26794.6546000",164,"15492","12034.0856000"
"LUNA2USDT","LUNA2USDT#1686136860000",1686136860000,"0.7772000","0.7796000","0.7770000","0.7796000","53898",1686136919999,"41969.3911000",184,"25058","19504.2253000"
"LUNA2USDT","LUNA2USDT#1686136920000",1686136920000,"0.7795000","0.7816000","0.7794000","0.7816000","69473",1686136979999,"54207.4085000",244,"26667","20812.7195000"
"LUNA2USDT","LUNA2USDT#1686136980000",1686136980000,"0.7816000","0.7821000","0.7808000","0.7809000","49418",1686137039999,"38619.2167000",258,"17221","13460.4262000"
"LUNA2USDT","LUNA2USDT#1686137040000",1686137040000,"0.7810000","0.7822000","0.7809000","0.7814000","23472",1686137099999,"18344.0554000",126,"11534","9014.6957000"
"LUNA2USDT","LUNA2USDT#1686137100000",1686137100000,"0.7814000","0.7815000","0.7798000","0.7803000","27420",1686137159999,"21404.3790000",152,"15971","12467.1626000"
"LUNA2USDT","LUNA2USDT#1686137160000",1686137160000,"0.7804000","0.7811000","0.7803000","0.7811000","6904",1686137219999,"5389.8468000",53,"5498","4292.2423000"
"LUNA2USDT","LUNA2USDT#1686137220000",1686137220000,"0.7810000","0.7810000","0.7802000","0.7810000","8158",1686137279999,"6369.3454000",48,"3005","2346.5014000"
"LUNA2USDT","LUNA2USDT#1686137280000",1686137280000,"0.7810000","0.7810000","0.7805000","0.7808000","9055",1686137339999,"7069.6575000",64,"3445","2689.7018000"
"LUNA2USDT","LUNA2USDT#1686137340000",1686137340000,"0.7804000","0.7808000","0.7802000","0.7807000","12521",1686137399999,"9774.7239000",56,"8253","6442.8012000"
"LUNA2USDT","LUNA2USDT#1686137400000",1686137400000,"0.7808000","0.7814000","0.7797000","0.7809000","43979",1686137459999,"34329.8026000",209,"30879","24103.9372000"
"LUNA2USDT","LUNA2USDT#1686137460000",1686137460000,"0.7809000","0.7820000","0.7806000","0.7818000","28673",1686137519999,"22402.6898000",152,"15335","11981.5536000"
"LUNA2USDT","LUNA2USDT#1686137520000",1686137520000,"0.7819000","0.7849000","0.7813000","0.7849000","45544",1686137579999,"35663.8359000",249,"34737","27204.4938000"
"LUNA2USDT","LUNA2USDT#1686137580000",1686137580000,"0.7849000","0.7852000","0.7829000","0.7835000","50792",1686137639999,"39819.1896000",254,"14529","11393.1395000"
"LUNA2USDT","LUNA2USDT#1686137640000",1686137640000,"0.7836000","0.7836000","0.7825000","0.7826000","22184",1686137699999,"17367.7451000",124,"14008","10967.7530000"
"LUNA2USDT","LUNA2USDT#1686137700000",1686137700000,"0.7826000","0.7826000","0.7809000","0.7814000","26344",1686137759999,"20588.9100000",129,"10756","8404.9143000"
"LUNA2USDT","LUNA2USDT#1686137760000",1686137760000,"0.7814000","0.7814000","0.7803000","0.7806000","36141",1686137819999,"28216.6829000",157,"10762","8402.8844000"
"LUNA2USDT","LUNA2USDT#1686137820000",1686137820000,"0.7807000","0.7808000","0.7795000","0.7799000","14099",1686137879999,"10996.4605000",79,"4931","3846.0418000"
"LUNA2USDT","LUNA2USDT#1686137880000",1686137880000,"0.7798000","0.7798000","0.7782000","0.7787000","36604",1686137939999,"28512.4972000",138,"4632","3609.2874000"
"LUNA2USDT","LUNA2USDT#1686137940000",1686137940000,"0.7788000","0.7799000","0.7785000","0.7799000","15169",1686137999999,"11816.4394000",103,"11086","8636.9113000"
"LUNA2USDT","LUNA2USDT#1686138000000",1686138000000,"0.7798000","0.7802000","0.7778000","0.7778000","36365",1686138059999,"28316.1807000",195,"11758","9153.3464000"
"LUNA2USDT","LUNA2USDT#1686138060000",1686138060000,"0.7777000","0.7787000","0.7775000","0.7783000","16361",1686138119999,"12729.6949000",94,"11158","8681.9859000"
"LUNA2USDT","LUNA2USDT#1686138120000",1686138120000,"0.7782000","0.7788000","0.7780000","0.7782000","17721",1686138179999,"13792.6593000",97,"6657","5181.1616000"
"LUNA2USDT","LUNA2USDT#1686138180000",1686138180000,"0.7780000","0.7784000","0.7773000","0.7775000","16227",1686138239999,"12622.1112000",91,"2968","2308.1086000"
"LUNA2USDT","LUNA2USDT#1686138240000",1686138240000,"0.7776000","0.7780000","0.7773000","0.7776000","12030",1686138299999,"9355.1801000",56,"4230","3289.4853000"
